"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","value"
0.752,0.73,11,-3.897,0,0.0412,0.00272,3.62e-05,0.175,0.769,120.032,"audio_features","5FQazQxWUHsJ8QDaXLdFzR","spotify:track:5FQazQxWUHsJ8QDaXLdFzR","https://api.spotify.com/v1/tracks/5FQazQxWUHsJ8QDaXLdFzR","https://api.spotify.com/v1/audio-analysis/5FQazQxWUHsJ8QDaXLdFzR",218825,4,NA
0.736,0.949,7,-3.519,1,0.0392,0.0107,0.486,0.152,0.782,126.004,"audio_features","3quro90AtocAnEW6LrBb6n","spotify:track:3quro90AtocAnEW6LrBb6n","https://api.spotify.com/v1/tracks/3quro90AtocAnEW6LrBb6n","https://api.spotify.com/v1/audio-analysis/3quro90AtocAnEW6LrBb6n",186667,4,NA
0.572,0.81,1,-5.791,0,0.0558,0.0157,6.53e-06,0.13,0.11,126.052,"audio_features","6PUIzlqotEmPuBfjbwYWOB","spotify:track:6PUIzlqotEmPuBfjbwYWOB","https://api.spotify.com/v1/tracks/6PUIzlqotEmPuBfjbwYWOB","https://api.spotify.com/v1/audio-analysis/6PUIzlqotEmPuBfjbwYWOB",214912,4,NA
0.551,0.874,11,-4.559,0,0.0496,0.0427,0.00129,0.396,0.421,125.985,"audio_features","4aBDS6611oBs5LBiVMuQmh","spotify:track:4aBDS6611oBs5LBiVMuQmh","https://api.spotify.com/v1/tracks/4aBDS6611oBs5LBiVMuQmh","https://api.spotify.com/v1/audio-analysis/4aBDS6611oBs5LBiVMuQmh",227115,4,NA
0.564,0.737,9,-4.079,1,0.0414,0.0175,0,0.054,0.211,104.764,"audio_features","2bKhIGdMdcqCqQ2ZhSv5nE","spotify:track:2bKhIGdMdcqCqQ2ZhSv5nE","https://api.spotify.com/v1/tracks/2bKhIGdMdcqCqQ2ZhSv5nE","https://api.spotify.com/v1/audio-analysis/2bKhIGdMdcqCqQ2ZhSv5nE",220573,4,NA
0.716,0.73,6,-4.126,0,0.0364,0.058,7.32e-06,0.151,0.339,136.05,"audio_features","3fo6DYGktjENCiagUeU9yH","spotify:track:3fo6DYGktjENCiagUeU9yH","https://api.spotify.com/v1/tracks/3fo6DYGktjENCiagUeU9yH","https://api.spotify.com/v1/audio-analysis/3fo6DYGktjENCiagUeU9yH",204086,4,NA
0.412,0.809,7,-3.199,1,0.154,0.0223,0,0.0411,0.312,173.812,"audio_features","6Q97WUFu7QrLr85Nct7iOT","spotify:track:6Q97WUFu7QrLr85Nct7iOT","https://api.spotify.com/v1/tracks/6Q97WUFu7QrLr85Nct7iOT","https://api.spotify.com/v1/audio-analysis/6Q97WUFu7QrLr85Nct7iOT",296552,4,NA
0.54,0.59,0,-4.359,1,0.0528,0.446,0,0.14,0.267,119.878,"audio_features","6y0igZArWVi6Iz0rj35c1Y","spotify:track:6y0igZArWVi6Iz0rj35c1Y","https://api.spotify.com/v1/tracks/6y0igZArWVi6Iz0rj35c1Y","https://api.spotify.com/v1/audio-analysis/6y0igZArWVi6Iz0rj35c1Y",234910,4,NA
0.72,0.8,0,-5.33,0,0.112,0.0369,0.00284,0.109,0.536,145.04,"audio_features","1SBAgf1HDKwXXzIdWjDyCf","spotify:track:1SBAgf1HDKwXXzIdWjDyCf","https://api.spotify.com/v1/tracks/1SBAgf1HDKwXXzIdWjDyCf","https://api.spotify.com/v1/audio-analysis/1SBAgf1HDKwXXzIdWjDyCf",236891,4,NA
0.377,0.904,9,-2.912,0,0.0821,0.1,0.0527,0.318,0.473,127.796,"audio_features","40qjDdULzkFRlivTqTggLH","spotify:track:40qjDdULzkFRlivTqTggLH","https://api.spotify.com/v1/tracks/40qjDdULzkFRlivTqTggLH","https://api.spotify.com/v1/audio-analysis/40qjDdULzkFRlivTqTggLH",215088,4,NA
0.726,0.79,7,-3.521,1,0.1,0.0474,3.18e-06,0.0337,0.96,91.012,"audio_features","5bCZnCdzo3K5lNxbiUpF3Y","spotify:track:5bCZnCdzo3K5lNxbiUpF3Y","https://api.spotify.com/v1/tracks/5bCZnCdzo3K5lNxbiUpF3Y","https://api.spotify.com/v1/audio-analysis/5bCZnCdzo3K5lNxbiUpF3Y",242920,4,NA
0.734,0.821,8,-4.893,1,0.0406,0.00709,0.00281,0.127,0.648,119.993,"audio_features","0Ji2g9AlYLVHAMG5PJoHPU","spotify:track:0Ji2g9AlYLVHAMG5PJoHPU","https://api.spotify.com/v1/tracks/0Ji2g9AlYLVHAMG5PJoHPU","https://api.spotify.com/v1/audio-analysis/0Ji2g9AlYLVHAMG5PJoHPU",204150,4,NA
0.715,0.733,8,-9.522,1,0.0553,0.000214,0.863,0.0826,0.0242,121.003,"audio_features","5irjZfaPWlYVTnvbfIOUqE","spotify:track:5irjZfaPWlYVTnvbfIOUqE","https://api.spotify.com/v1/tracks/5irjZfaPWlYVTnvbfIOUqE","https://api.spotify.com/v1/audio-analysis/5irjZfaPWlYVTnvbfIOUqE",536534,4,NA
0.564,0.778,9,-6.763,1,0.0369,0.000101,0.00682,0.0661,0.616,120.012,"audio_features","0A4nmNFa3HNGiyJLGoHJUg","spotify:track:0A4nmNFa3HNGiyJLGoHJUg","https://api.spotify.com/v1/tracks/0A4nmNFa3HNGiyJLGoHJUg","https://api.spotify.com/v1/audio-analysis/0A4nmNFa3HNGiyJLGoHJUg",187053,4,NA
0.725,0.534,11,-6.238,1,0.0946,0.0752,0,0.0919,0.558,91.974,"audio_features","32lmL4vQAAotg6MrJnhlQZ","spotify:track:32lmL4vQAAotg6MrJnhlQZ","https://api.spotify.com/v1/tracks/32lmL4vQAAotg6MrJnhlQZ","https://api.spotify.com/v1/audio-analysis/32lmL4vQAAotg6MrJnhlQZ",219320,4,NA
0.61,0.887,9,-4.41,0,0.171,0.116,1.32e-05,0.379,0.472,129.983,"audio_features","3fkzH9bTGZfd2UMNajYe1q","spotify:track:3fkzH9bTGZfd2UMNajYe1q","https://api.spotify.com/v1/tracks/3fkzH9bTGZfd2UMNajYe1q","https://api.spotify.com/v1/audio-analysis/3fkzH9bTGZfd2UMNajYe1q",196613,4,NA
0.686,0.994,6,-2.217,1,0.094,0.00756,0.279,0.0654,0.409,130.01,"audio_features","12Z3yBfnHJJumIJbdBZeH5","spotify:track:12Z3yBfnHJJumIJbdBZeH5","https://api.spotify.com/v1/tracks/12Z3yBfnHJJumIJbdBZeH5","https://api.spotify.com/v1/audio-analysis/12Z3yBfnHJJumIJbdBZeH5",242307,4,NA
0.605,0.903,11,-3.247,1,0.107,0.0304,0.000147,0.162,0.139,127.965,"audio_features","0WLQtCcKQ9r9VuQEF5MoOp","spotify:track:0WLQtCcKQ9r9VuQEF5MoOp","https://api.spotify.com/v1/tracks/0WLQtCcKQ9r9VuQEF5MoOp","https://api.spotify.com/v1/audio-analysis/0WLQtCcKQ9r9VuQEF5MoOp",193133,4,NA
0.491,0.693,0,-6.487,0,0.0377,0.211,6.92e-06,0.325,0.412,90.027,"audio_features","3RiPr603aXAoi4GHyXx0uy","spotify:track:3RiPr603aXAoi4GHyXx0uy","https://api.spotify.com/v1/tracks/3RiPr603aXAoi4GHyXx0uy","https://api.spotify.com/v1/audio-analysis/3RiPr603aXAoi4GHyXx0uy",258267,4,NA
0.733,0.334,1,-11.314,1,0.0811,0.327,0,0.116,0.267,119.935,"audio_features","6rje9f1wRFJDO2iTORw0lH","spotify:track:6rje9f1wRFJDO2iTORw0lH","https://api.spotify.com/v1/tracks/6rje9f1wRFJDO2iTORw0lH","https://api.spotify.com/v1/audio-analysis/6rje9f1wRFJDO2iTORw0lH",319973,4,NA
0.644,0.799,4,-10.856,0,0.0598,0.0821,0.00154,0.055,0.889,108.381,"audio_features","3Pu3IChaAoa5EjgUBv5F6x","spotify:track:3Pu3IChaAoa5EjgUBv5F6x","https://api.spotify.com/v1/tracks/3Pu3IChaAoa5EjgUBv5F6x","https://api.spotify.com/v1/audio-analysis/3Pu3IChaAoa5EjgUBv5F6x",246573,4,NA
