"Hour","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration"
"00",0.666494894671623,0.631617001239157,-6.89158686493185,0.193790061957869,0.217158115589839,0.0154744138698885,0.212152565055762,0.450489355638166,117.701534944238,3.67297623089632
"01",0.670136904933122,0.635602761397958,-6.88040514885661,0.189623515029484,0.212543261350496,0.0143005895009348,0.212525212138645,0.462286926506544,119.422616136919,3.6061052663119
"02",0.66781266601426,0.63655165664756,-6.82972626869845,0.183343366419684,0.207577190907312,0.0124419145183839,0.209932182301132,0.459902264784007,120.207552355655,3.57884723892073
"03",0.663895146891738,0.63415117675702,-6.95950381431586,0.180005193962019,0.209499320279175,0.0188161537461451,0.208606768381756,0.469343694205486,119.361249797111,3.56874082400043
"04",0.659210850549041,0.631317848501768,-6.945906942118,0.172133854457473,0.219470030876605,0.0181223969142006,0.201620398287735,0.470093876791364,118.546828587381,3.52384741609281
"05",0.652259275815825,0.624557957085382,-7.10703196244971,0.161438332588288,0.219170137074207,0.0201239935918641,0.205912896736701,0.460529190880644,120.266719043362,3.45132197511548
"06",0.644628228446708,0.628844525281921,-7.06168897781011,0.159727791924336,0.220124023935977,0.0159525201309567,0.212397744634413,0.474822990178247,118.95118770462,3.48287208075664
"07",0.628908199018921,0.640104695164681,-7.04125928521374,0.140788997897687,0.227133354933427,0.0209111164540995,0.200955150665732,0.477667974772249,120.238055360897,3.46502164213969
"08",0.636109144542773,0.620880383480826,-7.21094690265487,0.158217994100295,0.22820573879056,0.0169647197345133,0.199105899705015,0.448433333333333,115.916423303835,3.51960575221239
"09",0.656587921847247,0.644515097690941,-6.89513676731794,0.211040319715808,0.206262667850799,0.0104710754174067,0.228209769094139,0.443556127886323,117.002198934281,3.68283143872114
"10",0.655588930581613,0.629145928705441,-7.12381876172608,0.218161031894934,0.240711985577861,0.0126341897617261,0.223970150093809,0.442116529080675,117.640438461538,3.62480514071295
"11",0.663586069493146,0.624925023908192,-7.07448852406758,0.212403857188397,0.239334556667198,0.0142384310790564,0.224156805865477,0.440041552438636,118.096028371055,3.68295902667092
"12",0.662939443535188,0.626147081287507,-7.16505019094381,0.212990780141844,0.233958114293508,0.0153727434506274,0.22613917075832,0.437056055646481,117.630766230224,3.76573865248227
"13",0.669868299445471,0.628853743068392,-6.96690226432532,0.20225887245841,0.227275169835952,0.0135824076432532,0.212987268946396,0.447758664510166,118.814939232902,3.66186657424522
"14",0.668445866586358,0.632363514530944,-6.97956301761783,0.204990694172564,0.216957928968529,0.0136382193178738,0.217249947297094,0.452376765547357,119.152720373438,3.64370400793053
"15",0.666453922214898,0.627279393539881,-7.02772498352011,0.20072614370468,0.217254687115359,0.0134156451100857,0.21692508899143,0.444305458141068,118.890674884641,3.61119473082839
"16",0.656085953377167,0.627745534967125,-7.08354046622833,0.201672683801554,0.226728787126121,0.0142876158601315,0.217176461446503,0.446630818888225,118.205278063359,3.66448801354852
"17",0.657742312552654,0.630353633108677,-7.03097419966302,0.196921461668071,0.226848582759056,0.0136796405633951,0.213624589300758,0.453896535383319,118.012248209773,3.62395159365347
"18",0.661551503880983,0.629364836675291,-6.99809047542044,0.20290768919793,0.22398689638826,0.0128542961877426,0.218350452781371,0.446005029107374,118.237652652005,3.65019960246874
"19",0.66026217720736,0.636244031235503,-6.95958558837173,0.203345013143652,0.220406580577548,0.0158291819800526,0.219532379774238,0.453797162517396,117.925245013144,3.64090379748467
"20",0.659651767778224,0.635305624748895,-6.98939031739654,0.19856041582965,0.220964233448172,0.0152390622840498,0.215347278023303,0.45623856970671,118.166289373242,3.63595963238248
"21",0.662371524048216,0.630979758921112,-7.04117245494689,0.201620754266619,0.221054756910132,0.0141105294617496,0.215649134741616,0.454525563909774,118.668167084378,3.62617890758643
"22",0.663934463155637,0.626823243591119,-7.04649393971897,0.196555261182023,0.218204175085273,0.0142085639225571,0.215037155422074,0.454503164217527,119.529999249169,3.62161804676606
"23",0.667188925081433,0.630051238835768,-6.98502805505937,0.195641263003047,0.212991658291478,0.013590955513292,0.214654029631186,0.455025344121047,118.532135126616,3.61247287835803
