"Season","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration"
"Spring",0.661203637963545,0.631875610307982,-7.00108030169705,0.195579715901948,0.216408396939032,0.0166810837335009,0.21667310370836,0.450696032683847,119.126632935261,3.65699946783993
"Summer",0.65890246820146,0.632101939405776,-6.96746085300652,0.198228163374918,0.226320789020776,0.011636447364078,0.215618222211372,0.457724816288665,118.102436610434,3.64187928151168
"Fall",0.655985817393522,0.632437033919918,-7.01816809487376,0.195311140015302,0.219175501085437,0.0159019678518235,0.2176975337924,0.45393883703137,117.840652945677,3.60411330060359
"Winter",0.672191792051194,0.62717170849089,-7.01440859930719,0.194404389560251,0.221955467978951,0.0146263560271835,0.210280971520745,0.451275833619801,119.361103974403,3.58054897048065
