"MonthYear","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-08",0.631459459459459,0.705409459459459,-6.30568918918919,0.100745945945946,0.205543243243243,0.117427303648649,0.204218918918919,0.484768918918919,123.968459459459,3.65658671171171
"2016-09",0.605757281553398,0.643271844660194,-7.54889320388349,0.0812728155339806,0.306806310679612,0.18742160407767,0.211457281553398,0.438322330097087,121.88927184466,3.61944174757282
"2016-10",0.688465517241379,0.705258620689655,-5.90401724137931,0.131046551724138,0.135764965517241,0.0116125796551724,0.223543103448276,0.499293103448276,117.282275862069,3.80392442528736
"2016-11",0.53225,0.470130337837838,-11.1801891891892,0.091,0.503931644594595,0.288738487027027,0.140586486486486,0.326523648648649,125.766364864865,3.89873457207207
"2016-12",0.610619047619048,0.606428571428571,-7.42613095238095,0.119507142857143,0.213630952380952,0.0269885841666667,0.162535714285714,0.392983333333333,137.423571428571,4.46077876984127
"2017-01",0.682272727272727,0.657772727272727,-6.12609090909091,0.128572727272727,0.257772727272727,0.1065,0.1693,0.508545454545455,110.200454545455,3.98356893939394
"2017-02",0.56503007518797,0.493493984962406,-10.0382556390977,0.0869383458646616,0.403074511278195,0.191069985639098,0.150965413533835,0.301148120300752,125.535127819549,4.44153521303258
"2017-03",0.663565217391304,0.682565217391304,-5.63695652173913,0.139882608695652,0.280204347826087,6.87434782608696e-06,0.205986956521739,0.690434782608696,136.823347826087,3.7605884057971
"2017-04",0.633875,0.721,-6.1065,0.0890875,0.16796625,0.11625228875,0.1806875,0.610375,126.397625,3.8185625
"2017-05",0.640666666666667,0.749888888888889,-5.10188888888889,0.113066666666667,0.214451111111111,0.0420115888888889,0.168066666666667,0.637222222222222,156.893666666667,3.79246851851852
"2017-06",0.641727272727273,0.525848484848485,-7.17815151515151,0.168345454545455,0.223864848484848,0.101876391515152,0.190821212121212,0.329124242424242,122.472121212121,3.86463484848485
"2017-07",0.681666666666667,0.595333333333333,-7.341,0.0547333333333333,0.581666666666667,1.11e-05,0.152333333333333,0.597,140.967,5.04266666666667
"2017-08",0.625514207650273,0.544626448087432,-9.434,0.11065956284153,0.287551092896175,0.154027503825137,0.150968852459016,0.414711475409836,121.828918032787,4.02958570127505
"2017-09",0.636819620253165,0.624802215189873,-8.07203164556962,0.0859753164556962,0.316534746835443,0.114739358481013,0.159512658227848,0.544248101265823,120.114424050633,3.82259757383966
"2017-10",0.643592708333333,0.6498234375,-8.40015625,0.0949875,0.313318854166667,0.151301330520833,0.16190625,0.589501041666667,116.442895833333,4.01258524305556
"2017-11",0.713649122807018,0.717409356725146,-5.71876608187134,0.0845695906432749,0.263933040935673,0.000290478538011696,0.163147953216374,0.689736842105263,126.551350877193,3.64870584795322
"2017-12",0.677086507936508,0.671245529100529,-6.6033253968254,0.0842751322751323,0.273842753968254,0.0540615208994709,0.144674338624339,0.571972751322751,123.132142857143,3.62028597883598
"2018-01",0.621034976152623,0.617679650238474,-7.21815898251192,0.0758513513513514,0.400773594594595,0.240398984562798,0.144765500794913,0.514448330683625,121.847662957075,3.71970670376259
"2018-02",0.58364979757085,0.529334331983806,-7.78570769230769,0.0612599190283401,0.483230992712551,0.159133119927126,0.145804858299595,0.430131983805668,122.663749797571,3.6187848582996
"2018-03",0.61695905511811,0.574302834645669,-7.33826456692913,0.0630011023622047,0.415276738425197,0.136931215322835,0.146636220472441,0.479108188976378,123.736125984252,3.68593690288714
"2018-04",0.635774580335731,0.556028896882494,-7.22367745803357,0.0894276978417266,0.382266726858513,0.0530798923141487,0.168970383693046,0.464681055155875,121.447941247002,3.57269632294165
"2018-05",0.628023357664234,0.567898700729927,-7.03733576642336,0.0726029927007299,0.363479660437956,0.0393713277153285,0.146717299270073,0.424828248175182,123.18294379562,3.5091051703163
"2018-06",0.615816693944354,0.533983142389525,-7.81683306055646,0.0789703764320786,0.446073322422259,0.0960444452373159,0.159911292962357,0.423797708674304,125.440304418985,3.59105837424986
"2018-07",0.649239263803681,0.60128527607362,-6.63508282208589,0.0989705521472393,0.261260444785276,0.00973326714723926,0.167102607361963,0.414732208588957,126.092878834356,3.5123898006135
"2018-08",0.632962112514351,0.543600562571757,-7.32787772675086,0.0784045924225029,0.358424384041332,0.0230656340470723,0.157275487944891,0.429221125143513,120.27203272101,3.67544587638729
"2018-09",0.62772878699942,0.536919849100406,-7.57850899593732,0.0819874637260592,0.385936125188624,0.0433699407661056,0.16350934416715,0.426249738827626,116.529679048172,3.64291745018379
"2018-10",0.607424648359009,0.474052109845948,-8.6240676490288,0.0765638981915606,0.498348539852646,0.053841607716008,0.142498861352981,0.378283322170127,116.382337575352,3.63163678276401
"2018-11",0.625010481586402,0.482938413597734,-8.73894948064212,0.0750596789423985,0.48886578904627,0.121792540533522,0.143363739376771,0.40389074598678,117.75905618508,3.49697131728045
"2018-12",0.639637506041566,0.505296534557757,-8.12645480908651,0.0839589656839053,0.425814010053166,0.0492666768970517,0.147372450459159,0.446795553407443,118.108813436443,3.48285418076365
