"Month","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration"
"01",0.666910690852953,0.637659552296411,-6.88788259359321,0.198121319953686,0.217695497440371,0.0123150448058665,0.208209710536472,0.455458054805095,119.977215978387,3.6349303383507
"02",0.669465380155706,0.619776884214014,-7.11944376345867,0.188812324001988,0.221760735155706,0.0162010679609077,0.211522743084313,0.442885514328309,118.819631108166,3.57928315940589
"03",0.674015248735563,0.624381120253642,-7.04080606929871,0.201742719106213,0.221961840759417,0.0137666588963539,0.210212440552578,0.451148071261418,119.283993356986,3.5777432814977
"04",0.675924690022468,0.632215411500374,-7.00624107514355,0.204911833236249,0.20496809429891,0.013695088895731,0.220351052675377,0.45140358658567,118.788395523009,3.67807932096197
"05",0.654921275034847,0.632433012985107,-6.99286141882474,0.186909749834935,0.227674934242535,0.0186515499897293,0.21588623725332,0.448051221480449,119.404127796933,3.65000938057858
"06",0.649738193655841,0.630455363767129,-6.99361238549474,0.196016988416988,0.219178763196306,0.017501034904232,0.217022287834053,0.459996252555076,117.918395260807,3.65378868952987
"07",0.658044573369181,0.643936691665488,-6.8376262204613,0.200730140087732,0.216585514149568,0.0131011790370737,0.220619336352059,0.457780437243526,118.643682114051,3.64752457431253
"08",0.661527141049079,0.622437146674167,-7.07492272535508,0.193170102657854,0.240935223577556,0.0110476991991281,0.212118942483476,0.45888439741246,117.94556271973,3.6225857743871
"09",0.662406802954819,0.63162633911699,-7.04512970280021,0.206873552654183,0.218360803371414,0.00933473930682013,0.211477349252706,0.451516251503178,117.716331729943,3.68380294622917
"10",0.656418870461676,0.634654347826087,-7.01914515165098,0.211785200956223,0.21998710232407,0.0128878438570148,0.219452599731062,0.456857507844016,116.811281936351,3.57355687907764
"11",0.647122479302188,0.639113416617386,-6.87946976641041,0.181470476049675,0.21607114984181,0.0167615761782969,0.220422434949734,0.451139266706091,118.581386309876,3.61574474669821
"12",0.669517349467852,0.621849307479224,-7.11824828692229,0.182811138649949,0.22365014725616,0.0203406161065753,0.213473742528065,0.454610628371483,119.254019609272,3.55208347183749
