"Hour","Artist","Plays"
"21","Calvin Harris",42
"22","Future",42
"01","Childish Gambino",41
"01","Frank Ocean",41
"14","Baby Keem",41
"14","Kendrick Lamar",41
"18","Bryson Tiller",41
"22","Tyler, The Creator",41
"23","Post Malone",41
"01","Calvin Harris",40
"01","Don Toliver",40
"02","Maroon 5",40
"06","Frank Ocean",40
"06","Tyler, The Creator",40
"13","Bryson Tiller",40
"17","Jack Harlow",40
"18","Don Toliver",40
"19","blackbear",40
"20","Roddy Ricch",40
"23","Future",40
"04","Future",39
"06","Justin Timberlake",39
"08","Frank Ocean",39
"11","Bryson Tiller",39
"15","Logic",39
"18","Cage The Elephant",39
"20","Tyler, The Creator",39
"23","Childish Gambino",39
"00","blackbear",38
"02","J. Cole",38
"03","Post Malone",38
"03","Tyler, The Creator",38
"04","Playboi Carti",38
"04","Post Malone",38
"15","Bryson Tiller",38
"20","Future",38
"21","Post Malone",38
"22","Young Thug",38
"04","Eminem",37
"04","Lil Uzi Vert",37
"06","Eminem",37
"07","Tyler, The Creator",37
"12","Bryson Tiller",37
"15","Jack Harlow",37
"17","Cage The Elephant",37
"19","Maroon 5",37
"00","Post Malone",36
"01","Eminem",36
"05","Eminem",36
"05","Future",36
"06","blackbear",36
"14","Drake",36
"20","Bryson Tiller",36
"22","Frank Ocean",36
"23","Don Toliver",36
"23","blackbear",36
"00","Childish Gambino",35
"01","blackbear",35
"03","Cage The Elephant",35
"04","blackbear",35
"05","Marshmello",35
"05","Playboi Carti",35
"06","Post Malone",35
"09","Cage The Elephant",35
"14","Logic",35
"16","Logic",35
"19","Don Toliver",35
"21","Future",35
"01","Cage The Elephant",34
"03","Maroon 5",34
"04","Cage The Elephant",34
"04","Khalid",34
"05","blackbear",34
"06","A$AP Rocky",34
"06","Tame Impala",34
"07","OneRepublic",34
"14","Travis Scott",34
"20","Lil Wayne",34
"21","Young Thug",34
"22","Marshmello",34
"22","Playboi Carti",34
"23","Billie Eilish",34
"23","Bryson Tiller",34
"23","Frank Ocean",34
"23","Lil Uzi Vert",34
"01","OneRepublic",33
"03","Frank Ocean",33
"03","Queen",33
"05","Cage The Elephant",33
"05","Tyler, The Creator",33
"14","Kid Cudi",33
"18","Maroon 5",33
"18","Post Malone",33
"19","Future",33
"19","Post Malone",33
"20","Joey Bada$$",33
