"MonthYear","Artist","Plays"
"2020-05","Kota the Friend",116
"2016-07","ScHoolboy Q",115
"2020-01","Madlib, Freddie Gibbs",115
"2017-06","Vince Staples",114
"2017-08","Isaiah Rashad",114
"2020-02","Lil Wayne",114
"2017-06","Joyner Lucas",113
"2018-11","Lil Peep",113
"2019-04","Anderson .Paak",113
"2016-09","Frank Ocean",112
"2018-08","Mac Miller",112
"2017-05","Kendrick Lamar",111
"2017-08","Daniel Caesar",111
"2018-02","Lil Uzi Vert",111
"2018-05","Swae Lee, Slim Jxmmi, Rae Sremmurd",111
"2020-03","Lil Baby",111
"2020-04","Lil Uzi Vert",111
"2017-09","Kanye West",110
"2020-01","Roddy Ricch",110
"2017-03","Joey Bada$$",109
"2017-10","Mick Jenkins",109
"2017-11","Big K.R.I.T.",109
"2020-06","Radiohead",109
"2021-08","Mick Jenkins",109
"2016-09","J. Cole",108
"2019-10","Kendrick Lamar",108
"2018-07","Buddy",107
"2019-12","NxWorries, Knxwledge, Anderson .Paak",107
"2016-01","Bryson Tiller",106
"2016-04","Anderson .Paak",106
"2017-10","Earl Sweatshirt",106
"2019-09","EARTHGANG",106
"2020-10","whiterosemoxie",106
"2020-12","Lil Uzi Vert, Future",106
"2022-06","whiterosemoxie",106
"2016-07","Lil Uzi Vert",105
"2017-02","A$AP Rocky",105
"2018-01","SiR",105
"2020-07","Lil Uzi Vert",105
"2017-06","Drake",104
"2017-06","SZA",104
"2017-07","JAY-Z",104
"2022-08","Kendrick Lamar",104
"2016-11","Mick Jenkins",103
"2017-03","Smino",103
"2019-02","Future",103
"2019-08","Young Thug",103
"2017-02","Isaiah Rashad",101
"2018-04","BROCKHAMPTON",101
"2020-02","Jack Harlow",101
"2020-12","Jack Harlow",100
"2016-08","Rae Sremmurd",99
"2018-08","Amine",99
"2018-10","Kevin Gates",99
"2019-12","Lil Uzi Vert",99
"2020-04","Knxwledge",99
"2021-02","Verzache",99
"2022-02","whiterosemoxie",99
"2016-08","Kanye West",98
"2016-10","Bryson Tiller",98
"2017-12","Bryson Tiller",98
"2018-06","Jay Rock",98
"2016-09","Joey Bada$$",97
"2017-10","Travis Scott",97
"2018-09","Joey Purp",97
"2020-04","Aries",97
"2020-05","Pink Floyd",97
"2020-12","Aries",97
"2022-07","Brent Faiyaz",97
"2017-05","Chance the Rapper",96
"2018-04","Rich The Kid",96
"2019-03","Gunna",96
"2019-08","Jack Harlow",96
"2017-05","Isaiah Rashad",95
"2017-07","Amine",95
"2018-03","Kanye West",95
"2021-03","Grouplove",95
"2016-04","Rae Sremmurd",94
"2017-01","Joey Bada$$",94
"2017-08","Kendrick Lamar",94
"2019-08","Mick Jenkins",94
"2020-11","The Beatles",94
"2017-04","blackbear",93
"2017-06","Kendrick Lamar",93
"2018-02","Kendrick Lamar",93
"2017-05","A$AP Rocky",92
"2017-05","The Underachievers",92
"2017-09","Travis Scott",92
"2018-07","Denzel Curry",92
"2019-11","Trippie Redd",92
"2017-01","Isaiah Rashad",91
"2017-07","Joey Bada$$",91
"2018-08","Jazz Cartier",91
"2019-07","Joey Bada$$",90
"2020-03","PARTYNEXTDOOR",90
"2017-02","Kirk Knight",89
"2017-03","Mike WiLL Made-It",89
"2018-10","Lil Wayne",89
"2020-03","The Weeknd",89
"2020-09","whiterosemoxie",89
"2016-04","Domo Genesis",88
"2016-10","Rae Sremmurd",88
"2017-03","Drake",88
"2017-03","Isaiah Rashad",88
"2018-11","Anderson .Paak",88
"2018-11","Metro Boomin",88
"2020-05","Future",88
"2022-03","midwxst",88
"2016-07","Desiigner",87
"2016-11","A$AP Mob",87
"2022-06","Post Malone",87
"2016-03","J. Cole",86
"2017-12","Eminem",86
"2018-07","Wiz Khalifa",86
"2020-05","The Beach Boys",86
"2021-08","whiterosemoxie",86
"2016-06","Kendrick Lamar",85
"2016-08","Anderson .Paak",85
"2017-07","Young Thug",85
"2022-02","Hippo Campus",85
"2017-11","Isaiah Rashad",84
"2017-11","ScHoolboy Q",84
"2018-03","Young Thug",84
"2018-07","Kendrick Lamar",84
"2019-03","Isaiah Rashad",84
"2022-07","Koi",84
"2016-06","Isaiah Rashad",83
"2016-08","Lil Uzi Vert",83
"2018-03","Kendrick Lamar",83
"2016-10","Kanye West",82
"2018-01","Travis Scott",82
"2018-10","Travis Scott",82
"2018-11","Takeoff",82
"2019-06","Playboi Carti",82
"2022-10","Koi",82
"2017-12","Joey Bada$$",81
"2018-02","Migos",81
"2018-05","Pusha T",81
"2018-12","Trippie Redd",81
"2019-05","Beast Coast",81
"2019-06","Denzel Curry",81
"2016-09","Dr. Dre",80
"2017-03","Future",80
"2022-09","Dro Kenji",80
"2022-09","Koi",80
"2018-06","Kendrick Lamar",79
"2017-11","Kendrick Lamar",78
"2018-09","Mick Jenkins",78
"2018-11","Mick Jenkins",78
"2021-10","Kid Cudi",78
"2022-08","Mick Jenkins",78
"2016-07","Flatbush Zombies",77
"2017-08","Dave East",77
"2018-08","Mick Jenkins",77
"2018-11","Jack Harlow",77
"2018-12","Lil Uzi Vert",77
"2021-01","Kota the Friend",77
"2022-06","Greta Van Fleet",77
"2016-02","Macklemore & Ryan Lewis",76
"2016-08","Flatbush Zombies",76
"2017-12","Travis Scott",76
"2018-06","Joey Bada$$",76
"2019-09","Kendrick Lamar",76
"2020-01","Jack Harlow",76
"2020-06","Polo G",76
"2020-07","Logic",76
"2016-11","Pusha T",75
"2017-07","Bryson Tiller",75
"2017-09","A$AP Mob",75
"2020-01","Lil Uzi Vert",75
"2022-07","Tom The Mail Man",75
"2022-12","whiterosemoxie",75
"2017-05","Mick Jenkins",74
"2017-06","Kanye West",74
"2018-08","Ariana Grande",74
"2019-03","2 Chainz",74
"2019-05","Kendrick Lamar",74
"2019-06","Kendrick Lamar",74
"2020-01","Future",74
"2020-12","The Beatles",74
"2022-04","Kendrick Lamar",74
"2022-12","Felly",74
"2016-05","Vince Staples",73
"2016-11","6LACK",73
"2017-12","Miguel",73
"2018-01","Travis Scott, Quavo, HUNCHO JACK",73
"2018-09","BROCKHAMPTON",73
"2018-10","Earl Sweatshirt",73
"2018-10","Quavo",73
"2016-06","Anderson .Paak",72
"2017-02","Jazz Cartier",72
"2017-08","Lil Uzi Vert",72
"2017-11","Bryson Tiller",72
"2018-03","Bryson Tiller",72
"2018-03","Mir Fontane",72
"2021-01","Beach House",72
"2021-02","Grouplove",72
"2021-05","Daniyel",72
"2021-06","whiterosemoxie",72
"2021-12","Mick Jenkins",72
"2018-09","Travis Scott",71
"2019-02","J. Cole",71
"2020-02","Lil Baby",71
"2021-12","Isaiah Rashad",71
"2017-08","Kanye West",70
"2019-03","Offset",70
"2017-07","Isaiah Rashad",69
"2017-08","Joey Bada$$",69
"2017-08","XXXTENTACION",69
"2017-10","Kid Cudi",69
"2018-07","Lil Skies",69
"2019-10","Earl Sweatshirt",69
"2019-11","Lil Uzi Vert",69
"2020-02","Mac Miller",69
"2021-02","Aries",69
"2016-05","Kendrick Lamar",68
"2017-01","J. Cole",68
"2017-02","Migos",68
"2017-02","NAV",68
"2019-05","Mir Fontane",68
"2020-02","The Beatles",68
"2020-12","whiterosemoxie",68
"2021-04","BROCKHAMPTON",68
"2021-07","Isaiah Rashad",68
"2017-01","Kid Cudi",67
"2018-12","Earl Sweatshirt",67
"2019-01","Mick Jenkins",67
"2019-06","Jack Harlow",67
"2019-11","Aries",67
"2020-02","Roddy Ricch",67
"2020-03","Felly",67
"2021-12","midwxst",67
"2021-12","whiterosemoxie",67
"2022-02","Mick Jenkins",67
"2022-02","Saba",67
"2022-11","MAVI",67
"2016-09","Kendrick Lamar",66
"2018-02","BROCKHAMPTON",66
"2018-06","Nas",66
"2018-08","Denzel Curry",66
"2018-08","Johnny Rain",66
"2019-04","ScHoolboy Q",66
"2019-05","whiterosemoxie",66
"2020-04","Tory Lanez",66
"2020-05","Lil Uzi Vert",66
"2021-11","Mick Jenkins",66
"2022-01","The Weeknd",66
"2016-07","6LACK",65
"2016-11","Kendrick Lamar",65
"2017-01","Travis Scott",65
"2018-10","Tory Lanez",65
"2018-12","Meek Mill",65
"2019-07","Jaden",65
"2021-05","Isaiah Rashad",65
"2021-11","Bryson Tiller",65
"2017-01","Kanye West",64
"2017-02","PnB Rock",64
"2017-09","JID",64
"2017-10","Young Thug, Future",64
"2018-02","Bryson Tiller",64
"2018-06","Pusha T",64
"2020-04","Kendrick Lamar",64
"2022-05","Greta Van Fleet",64
"2016-12","Bryson Tiller",63
"2017-02","Chance the Rapper",63
"2017-07","Kid Cudi",63
"2017-09","BROCKHAMPTON",63
"2018-03","Isaiah Rashad",63
"2018-04","Famous Dex",63
"2018-06","Frank Ocean",63
"2019-02","Aries",63
"2019-07","Playboi Carti",63
"2019-11","NxWorries, Knxwledge, Anderson .Paak",63
"2020-02","Future",63
"2020-03","Rich The Kid",63
"2021-02","Kota the Friend",63
"2022-01","Gunna",63
"2016-01","A$AP Rocky",62
"2016-01","Danny Brown",62
"2016-12","DJ Khaled",62
"2017-07","French Montana",62
"2017-09","Bryson Tiller",62
"2018-02","Mike WiLL Made-It",62
"2018-04","Smokepurpp, Murda Beatz",62
"2018-12","21 Savage",62
"2019-03","ScHoolboy Q",62
"2020-01","Kenny Beats, 03 Greedo",62
"2020-02","Anderson .Paak",62
"2020-04","Jack Harlow",62
"2020-12","Playboi Carti",62
"2021-02","Bryson Tiller",62
"2021-03","Aries",62
"2021-07","Daniyel",62
"2017-05","Snoop Dogg",61
"2017-06","2 Chainz",61
"2017-12","Vince Staples",61
"2018-08","Southside, G Herbo",61
"2018-09","Lil Uzi Vert",61
"2019-09","Young Thug",61
"2019-11","Anderson .Paak",61
"2020-03","Drake",61
"2021-06","Bryson Tiller",61
"2021-07","whiterosemoxie",61
"2022-07","Lil Uzi Vert",61
"2017-01","Mick Jenkins",60
"2017-04","Smino",60
"2019-03","Lil Skies",60
"2020-01","Travis Scott",60
"2020-06","The Beatles",60
"2020-07","Pop Smoke",60
"2020-09","Bryson Tiller",60
"2022-01","whiterosemoxie",60
"2017-07","VIC MENSA",59
"2017-10","Gucci Mane",59
"2018-06","Flatbush Zombies",59
"2018-11","Trippie Redd",59
"2019-09","Mick Jenkins",59
"2022-01","Kanye West",59
"2022-12","JID",59
"2016-09","Kanye West",58
"2017-12","Earl Sweatshirt",58
"2017-12","PnB Rock",58
"2018-05","BROCKHAMPTON",58
"2019-12","A Boogie wit da Hoodie",58
"2020-12","Lil Uzi Vert",58
"2021-06","Mick Jenkins",58
"2021-07","Jack Harlow",58
"2017-04","Mike WiLL Made-It",57
"2017-08","Action Bronson",57
"2017-09","Isaiah Rashad",57
"2017-10","A$AP Rocky",57
"2018-02","Lil Skies",57
"2018-04","G Herbo",57
"2018-10","REASON",57
"2019-03","Travis Scott",57
"2019-06","Aries",57
"2019-06","Vince Staples",57
"2020-11","Lil Uzi Vert, Future",57
"2021-04","Verzache",57
"2022-01","Bryson Tiller",57
"2022-03","Aries",57
"2022-03","Kendrick Lamar",57
"2022-06","Kendrick Lamar",57
"2016-06","Chance the Rapper",56
"2017-06","Playboi Carti",56
"2017-11","A$AP Rocky",56
"2018-01","Drake",56
"2018-06","XXXTENTACION",56
"2018-08","Playboi Carti",56
"2019-12","Young Thug",56
"2021-06","Lil Durk, Lil Baby",56
"2021-12","Aries",56
"2022-01","Mick Jenkins",56
"2022-02","midwxst",56
"2022-05","Drake",56
"2022-06","Drake",56
"2016-10","Isaiah Rashad",55
"2016-12","Anderson .Paak",55
"2017-04","Chance the Rapper",55
"2017-04","Travis Scott",55
"2017-09","Anderson .Paak",55
"2018-01","Kendrick Lamar",55
"2018-07","Jay Rock",55
"2018-08","YG",55
"2018-11","Ramzoid",55
"2019-02","Ariana Grande",55
"2020-03","whiterosemoxie",55
"2020-06","The 1975",55
"2021-01","Jack Harlow",55
"2021-06","Verzache",55
"2021-07","Bryson Tiller",55
"2021-08","Aries",55
"2022-01","Joey Bada$$",55
"2022-04","Drake",55
"2022-07","Drake",55
"2016-03","Macklemore & Ryan Lewis",54
"2017-05","Mike WiLL Made-It",54
"2018-02","Drake",54
