"Season","Artist","Plays"
"Fall","Jeff Birma",5
"Fall","Jeremih",5
"Fall","John Goodlove",5
"Fall","Jonathan Coffey",5
"Fall","Joseph Alphane",5
"Fall","Joseph Gatscyjk",5
"Fall","Josie O'Connor",5
"Fall","Justice Skolnik",5
"Fall","Justin Hurwitz",5
"Fall","KALEO",5
"Fall","Keeva Craig",5
"Fall","Ken-Y",5
"Fall","Kevin Roldan",5
"Fall","Kris Bowers",5
"Fall","Kumbhaka",5
"Fall","Lance Allen",5
"Fall","Leonid Antonov",5
"Fall","Leven Kali",5
"Fall","Little Venice",5
"Fall","LoFi Waiter",5
"Fall","Logic",5
"Fall","Lost Fables",5
"Fall","Lost Wings",5
"Fall","Ludwig van Beethoven",5
"Fall","Lunaire",5
"Fall","Lyn Lapid",5
"Fall","MGMT",5
"Fall","Macklemore & Ryan Lewis",5
"Fall","Maite Perroni",5
"Fall","Mana",5
"Fall","Mariah the Scientist",5
"Fall","Martin Lindgaarden",5
"Fall","Matthew Mole",5
"Fall","Maty Noyes",5
"Fall","Maurie",5
"Fall","Mehdi Teyt & Rehla X",5
"Fall","Michael Jackson",5
"Fall","Mike WiLL Made-It",5
"Fall","Mike Williams",5
"Fall","Mild Minds",5
"Fall","Mintrapiz",5
"Fall","Mitalosam",5
"Fall","Morgan Evans",5
"Fall","NREM",5
"Fall","Nathanael Ekstrom",5
"Fall","Next Town Down",5
"Fall","Night Poets",5
"Fall","Nimrat Khaira",5
"Fall","No Spirit",5
"Fall","Noname",5
"Fall","Noriel",5
"Fall","Oliver Riot",5
"Fall","Orion Sun",5
"Fall","Otis Kane",5
"Fall","Ouse",5
"Fall","Petros Idris",5
"Fall","Pipe Calderon",5
"Fall","Planet Giza",5
"Fall","Pontsy",5
"Fall","Prateek Kuhad",5
"Fall","Pretty Lights",5
"Fall","Reka Ioescu",5
"Fall","Relajar",5
"Fall","Reykon",5
"Fall","Richard Ramsey",5
"Fall","Rita Ora",5
"Fall","Ritt Momney",5
"Fall","Roddy Ricch",5
"Fall","Roger Reuse",5
"Fall","Ronald Sims",5
"Fall","Rusted Root",5
"Fall","S1mba",5
"Fall","SG Lewis",5
"Fall","Samm Henshaw",5
"Fall","Sander W.",5
"Fall","Shafqat Amanat Ali",5
"Fall","Shake Shake Go",5
"Fall","Shibb",5
"Fall","Skofee",5
"Fall","Smooth Piana",5
"Fall","Soulja Boy",5
"Fall","Souly Had",5
"Fall","Sufjan Stevens",5
