"Year","Album","Plays"
"2020","Miguel ~ War & Leisure",91
"2019","NAV ~ RECKLESS",90
"2018","Travis Scott ~ Birds In The Trap Sing McKnight",88
"2022","Joey Bada$$ ~ ALL-AMERIKKKAN BADA$$",88
"2020","Drake ~ More Life",87
"2021","Bryson Tiller ~ A N N I V E R S A R Y",87
"2021","Baby Keem ~ The Sound of Bad Habit",87
"2021","Kanye West ~ ye",87
"2022","Kid Cudi ~ Man On The Moon II: The Legend Of Mr. Rager",87
"2022","The Beatles ~ Sgt. Pepper's Lonely Hearts Club Band",86
"2022","Kanye West ~ Late Registration",85
"2019","Tory Lanez ~ LoVE me NOw",84
"2021","Queen ~ Jazz",84
"2022","Queen ~ Jazz",84
"2020","The Beatles ~ Sgt. Pepper's Lonely Hearts Club Band",83
"2022","Tyler, The Creator ~ CALL ME IF YOU GET LOST",83
"2022","Miguel ~ War & Leisure",83
"2021","TOTO ~ Toto",82
"2017","Drake ~ More Life",80
"2019","fun. ~ Some Nights",80
"2020","Drake ~ Take Care",80
"2021","Cage The Elephant ~ Social Cues",80
"2022","Drake ~ Take Care",80
"2020","Don Toliver ~ Donny Womack",79
"2020","Post Malone ~ Hollywood's Bleeding",79
"2020","Billie Eilish ~ dont smile at me",79
"2021","Fitz and The Tantrums ~ More Than Just a Dream",79
"2022","Joey Bada$$ ~ 1999",79
"2022","Baby Keem ~ The Sound of Bad Habit",78
"2019","blackbear ~ digital druglord",77
"2019","Shaan ~ Dil Chahta Hai",76
"2019","Dizaro ~ Sunny Day",76
"2021","MGMT ~ Oracular Spectacular",76
"2021","Baby Keem ~ hooligan / sons & critics",76
"2021","Don Toliver ~ Donny Womack",75
"2021","Bryce Vine ~ Lazy Fair",75
"2022","Kanye West ~ 808s & Heartbreak",75
"2019","6ix9ine ~ DUMMY BOY",74
"2020","Billie Eilish ~ WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",74
"2021","Fleetwood Mac ~ Rumours",74
"2017","Logic ~ Bobby Tarantino",73
"2020","Kanye West ~ Yeezus",73
"2021","Coldplay ~ A Head Full of Dreams",73
"2021","Drake ~ Take Care",73
"2022","The Weeknd ~ Starboy",73
"2022","Drake ~ Views",73
"2019","Lil Wayne ~ Tha Carter V",72
"2021","Mura Masa ~ Mura Masa",72
"2018","Logic ~ Bobby Tarantino",71
"2021","Tyler, The Creator ~ IGOR",71
"2022","Jack Harlow ~ Loose",71
"2019","Logic ~ Supermarket (Soundtrack)",70
"2021","Calvin Harris ~ Funk Wav Bounces Vol.1",70
"2021","Mac Miller ~ Swimming",70
"2017","Drake ~ Take Care",69
"2021","The Weeknd ~ Starboy",69
"2021","Miguel ~ War & Leisure",69
"2019","DaBaby ~ KIRK",68
"2020","Lil Uzi Vert ~ Luv Is Rage 2",68
"2021","KIDS SEE GHOSTS ~ KIDS SEE GHOSTS",68
"2021","Bryson Tiller ~ T R A P S O U L",68
"2018","Logic ~ Under Pressure",67
"2022","Frank Ocean ~ channel ORANGE",67
"2019","Bas ~ Milky Way",66
"2021","Kid Cudi ~ Passion, Pain & Demon Slayin'",66
"2021","A$AP Rocky ~ Sundress",66
"2021","Bruno Mars ~ Unorthodox Jukebox",66
"2017","Travis Scott ~ Birds In The Trap Sing McKnight",65
"2021","GoldLink ~ At What Cost",65
"2021","Coldplay ~ X&Y",65
"2022","Post Malone ~ beerbongs & bentleys",65
"2019","Meek Mill ~ Championships",64
"2019","The Beatles ~ Please Please Me",64
"2020","The Beatles ~ 1",64
