"Year","Album","Plays"
"2020","Elton John ~ Honky Chateau",9
"2020","Lil Wayne ~ I Am Not A Human Being II",9
"2020","Peter Green ~ In the Skies",9
"2020","Carly Rae Jepsen ~ Kiss",9
"2020","Queen ~ News Of The World",9
"2020","PARTYNEXTDOOR ~ PARTYNEXTDOOR 3 (P3)",9
"2020","Ramones ~ Ramones",9
"2020","Iyaz ~ Replay",9
"2020","Calvin Harris ~ Rollin (feat. Future & Khalid)",9
"2020","Santana ~ Santana (Legacy Edition)",9
"2020","The Police ~ Synchronicity",9
"2021","E I S U ~ 2 Am. Study Session",9
"2021","Billy Joel ~ An Innocent Man",9
"2021","brillion. ~ Bedtime Stories Pt. 2",9
"2021","Cage The Elephant ~ Cage The Elephant",9
"2021","Eric Bellinger ~ Eric B for President: Term 1",9
"2021","Roy Woods ~ Exis",9
"2021","The Killers ~ Hot Fuss",9
"2021","Gesaffelstein ~ Hyperion",9
"2021","PARTYNEXTDOOR ~ LOYAL (feat. Drake)",9
"2021","Dua Lipa ~ Levitating (feat. DaBaby)",9
"2021","Looking Glass ~ Looking Glass",9
"2021","Lorde ~ Melodrama",9
"2021","Kodhanda Raman ~ Nadaswaram",9
"2021","Casiio ~ Particles",9
"2021","Marshmello ~ Project Dreams",9
"2021","Endor ~ Pump It Up",9
"2021","Internet Money ~ Somebody",9
"2021","kudo ~ Staring Through",9
"2021","The Police ~ Synchronicity",9
"2021","Young Thug ~ The London (feat. J. Cole & Travis Scott)",9
"2021","NF ~ The Search",9
"2021","Tom Petty ~ Wildflowers",9
"2021","Rex Orange County ~ You've Got a Friend in Me",9
"2022","J. Cole ~ 4 Your Eyez Only",9
"2022","Big Time Rush ~ BTR",9
"2022","Baby Smoove ~ Baby",9
"2022","Labh Janjua ~ Best Of Neha Kakkar",9
"2022","Meek Mill ~ Championships",9
"2022","Mac Miller ~ Circles",9
"2022","Gorillaz ~ Demon Days",9
"2022","Blaccmass ~ Dragon Energy",9
"2022","Kirko Bangz ~ Drank in My Cup",9
"2022","M83 ~ Hurry Up, We're Dreaming",9
"2022","Lil Wayne ~ I Am Not A Human Being II",9
"2022","Masego ~ Judas and the Black Messiah: The Inspired Album",9
"2022","The Weeknd ~ Kiss Land",9
"2022","Wham! ~ LAST CHRISTMAS",9
"2022","Roddy Ricch ~ LIVE LIFE FAST",9
"2022","Elton John ~ Madman Across The Water",9
"2022","The Beatles ~ Magical Mystery Tour",9
"2022","Pop Smoke ~ Meet The Woo",9
"2022","Lorde ~ Melodrama",9
"2022","Brenda Lee ~ Merry Christmas From Brenda Lee",9
"2022","Tee Grizzley ~ My Moment",9
"2022","PARTYNEXTDOOR ~ PARTYNEXTDOOR 3 (P3)",9
"2022","Galantis ~ Pharmacy",9
"2022","Doja Cat ~ Planet Her",9
"2022","T-Wayne ~ Player",9
"2022","Panic! At The Disco ~ Pray for the Wicked",9
"2022","Endor ~ Pump It Up",9
"2022","Jay Rock ~ Redemption",9
"2022","Mac Dre ~ Ronald Dregan For President 2004: Dreganomics",9
"2022","Drake ~ Thank Me Later",9
"2022","Kendrick Lamar ~ The Heart Part 5",9
"2022","JID ~ The Never Story",9
"2022","Calvin Harris ~ This Is What You Came For",9
"2022","Brent Faiyaz ~ Wasting Time ( feat. Drake & The Neptunes )",9
"2022","tsubi club ~ burbank house",9
"2022","Baby Keem ~ family ties (with Kendrick Lamar)",9
"2016","Shakira ~ Oral Fixation, Vol. 2",8
"2017","Usher ~ Confessions",8
"2017","Tom Petty ~ Full Moon Fever",8
"2017","Pitbull ~ Globalization",8
"2017","ZAYN ~ Mind Of Mine",8
"2017","Travis Scott ~ Rodeo",8
"2017","Demi Lovato ~ Tell Me You Love Me",8
"2017","JAY-Z ~ Top Five",8
"2018","Ed Sheeran ~ Divide",8
"2018","Eminem ~ Encore",8
"2018","Amine ~ Good For You",8
"2018","Queen ~ Greatest Hits",8
"2018","Queen ~ Hot Space",8
"2018","Beyonce ~ I AM...SASHA FIERCE",8
"2018","Major Lazer ~ Know No Better",8
"2018","Sheck Wes ~ Mo Bamba",8
"2018","Coldplay ~ Mylo Xyloto",8
"2018","Camila Cabello ~ Never Be the Same",8
"2018","Logic ~ One Day (feat. Ryan Tedder)",8
"2018","Justin Bieber ~ Purpose",8
"2018","Ayo & Teo ~ Rolex",8
"2018","Calvin Harris ~ Rollin (feat. Future & Khalid)",8
"2018","Liam Payne ~ Strip That Down",8
"2018","A$AP Rocky ~ TESTING",8
"2018","Majid Jordan ~ The Space Between",8
"2018","Queen ~ The Works",8
"2018","Shakira ~ Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground)",8
"2018","AJR ~ What Everyone's Thinking",8
"2019","Van Halen ~ 1984",8
"2019","Taylor Swift ~ 1989",8
"2019","Queen ~ A Night At The Opera",8
"2019","Khalid ~ American Teen",8
"2019","Tee Grizzley ~ Colors",8
"2019","Logic ~ Confessions of a Dangerous Mind",8
"2019","Polo G ~ Die A Legend",8
"2019","Melanie Laurent ~ En t'attendant",8
"2019","Blueface ~ Famous Cryp",8
"2019","Adele ~ Hello",8
"2019","Post Malone ~ Hollywood's Bleeding",8
"2019","Elton John ~ Honky Chateau",8
"2019","The Beach Boys ~ Pet Sounds",8
"2019","Led Zeppelin ~ Physical Graffiti",8
"2019","Roddy Ricch ~ Please Excuse Me for Being Antisocial",8
"2019","Marshmello ~ Roll The Dice",8
"2019","Matt Stewart-Evans ~ Solo",8
"2019","Zedd ~ Stay",8
"2019","Young Thug ~ The London (feat. J. Cole & Travis Scott)",8
"2020","A$AP Rocky ~ AT.LONG.LAST.A$AP",8
"2020","Hardwell ~ Bella Ciao",8
"2020","Blood, Sweat & Tears ~ Blood, Sweat & Tears",8
"2020","Bruce Springsteen ~ Born In The U.S.A.",8
"2020","Crosby, Stills & Nash ~ Crosby, Stills & Nash",8
"2020","Drake ~ Dark Lane Demo Tapes",8
"2020","Journey ~ Departure",8
"2020","6LACK ~ FREE 6LACK",8
"2020","Travis Scott ~ HIGHEST IN THE ROOM",8
"2020","Huncho Jack ~ Huncho Jack, Jack Huncho",8
"2020","Osibih ~ No Reason",8
"2020","Aitch ~ Polaris",8
"2020","Osibih ~ Pressure 2.0",8
"2020","Lynyrd Skynyrd ~ Pronounced' Leh-'Nerd 'Skin-'Nerd",8
"2020","Pop Smoke ~ Shoot For The Stars Aim For The Moon",8
"2020","Lil Wayne ~ Tha Carter III",8
"2020","Young Thug ~ The London (feat. J. Cole & Travis Scott)",8
"2020","The Who ~ The Who By Numbers",8
"2021","HYTYD ~ 7 Years (Remix)",8
"2021","Aerosmith ~ Aerosmith",8
"2021","A Boogie Wit da Hoodie ~ Artist 2.0",8
"2021","Crystal Fighters ~ Cave Rave",8
"2021","Migos ~ Culture",8
"2021","Gianni ~ De La Hoya",8
"2021","Meek Mill ~ Dreams Worth More Than Money",8
"2021","Pop Smoke ~ Faith",8
"2021","Chief Keef ~ Finally Rich",8
"2021","Macklemore ~ GEMINI",8
"2021","Huncho Jack ~ Huncho Jack, Jack Huncho",8
"2021","Lil Wayne ~ I Am Not A Human Being II",8
"2021","Thin Lizzy ~ Jailbreak",8
"2021","Traffic ~ John Barleycorn Must Die",8
"2021","Wham! ~ LAST CHRISTMAS",8
"2021","Traffic ~ Mr. Fantasy",8
"2021","RL Grime ~ NOVA",8
"2021","Wallows ~ Pleaser",8
"2021","Arizona Zervas ~ ROXANNE",8
"2021","Bee Gees ~ Saturday Night Fever",8
"2021","Rae Sremmurd ~ SremmLife 2",8
"2021","Outkast ~ Stankonia",8
"2021","Post Malone ~ Stoney",8
"2021","Olivia Rodrigo ~ good 4 u",8
"2021","Roddy Ricch ~ late at night",8
"2022","Pi'erre Bourne ~ 4U",8
"2022","Hariharan ~ Alaipayuthey (Original Motion Picture Soundtrack)",8
"2022","Kendrick Lamar ~ Alright",8
"2022","A Boogie Wit da Hoodie ~ Artist 2.0",8
"2022","Atomic Drum Assembly ~ Atomic Drum Assembly",8
"2022","Hippo Campus ~ Bambi",8
"2022","Lil Mosey ~ Certified Hitmaker",8
"2022","Mustard ~ Dangerous World (feat. Travis Scott & YG)",8
"2022","Vance Joy ~ Dream Your Life Away",8
"2022","Gunna ~ Drip or Drown 2",8
"2022","Kodak Black ~ Dying to Live",8
"2022","Jaden ~ ERYS",8
"2022","Future ~ EVOL",8
"2022","Alina Baraz ~ Electric (feat. Khalid)",8
"2022","6LACK ~ FREE 6LACK",8
"2022","Arctic Monkeys ~ Favourite Worst Nightmare",8
"2022","Roddy Ricch ~ Feed Tha Streets II",8
"2022","Waka Flocka Flame ~ Flockaveli",8
"2022","The Weeknd ~ House Of Balloons",8
"2022","a-ha ~ Hunting High and Low",8
"2022","Gloria Gaynor ~ I Will Survive",8
"2022","The Mamas & The Papas ~ If You Can Believe Your Eyes & Ears",8
"2022","Pusha T ~ It's Almost Dry",8
"2022","Jason Derulo ~ Jason Derulo",8
"2022","Mac Miller ~ Knock Knock - Single",8
"2022","Lil Yachty ~ Lil Boat 3.5",8
"2022","King Harvest ~ Lost tapes",8
"2022","Sheck Wes ~ MUDBOY",8
"2022","Felly ~ Mariposa",8
"2022","Marvin Gaye ~ Midnight Love",8
"2022","P-Lo ~ More Than Anything",8
"2022","GROUPLOVE ~ Never Trust a Happy Song",8
"2022","Imagine Dragons ~ Night Visions",8
"2022","Moe ~ Outta There",8
"2022","Lil Yachty ~ Poland",8
"2022","Young Money ~ Rise Of An Empire",8
"2022","Internet Money ~ Somebody",8
"2022","Michael Jackson ~ Thriller 25 Super Deluxe Edition",8
"2022","Avicii ~ True",8
"2022","ABBA ~ Voulez-Vous",8
"2022","Drake ~ What A Time To Be Alive",8
"2022","Smino ~ blkswn",8
"2016","Rihanna ~ ANTI",7
"2016","Bassnectar ~ Into the Sun",7
"2016","Enrique Iglesias ~ SEX AND LOVE",7
"2017","Adele ~ 21",7
"2017","James Arthur ~ Back from the Edge",7
"2017","Luis Fonsi ~ Despacito Feat. Justin Bieber",7
"2017","Big Sean ~ I Decided.",7
"2017","Kid Cudi ~ Man On The Moon: The End Of Day",7
"2017","Ariana Grande ~ My Everything",7
"2017","American Authors ~ Oh, What A Life",7
"2017","Taio Cruz ~ Rokstarr",7
"2017","Kendrick Lamar ~ The Blacker The Berry",7
"2017","Gym Class Heroes ~ The Papercut Chronicles II",7
"2018","Drake ~ 0 To 100 / The Catch Up",7
"2018","P!nk ~ Beautiful Trauma",7
"2018","Childish Gambino ~ Camp",7
"2018","Post Malone ~ Candy Paint",7
"2018","Calvin Harris ~ Funk Wav Bounces Vol.1",7
"2018","Lil Baby ~ Harder Than Ever",7
"2018","Capital Cities ~ In A Tidal Wave Of Mystery",7
"2018","NAV ~ NAV",7
"2018","Metro Boomin ~ NOT ALL HEROES WEAR CAPES",7
"2018","Camila Cabello ~ OMG (feat. Quavo)",7
"2018","Young Thug ~ Old English",7
"2018","Old Man Canyon ~ Phantoms & Friends",7
"2018","Marshmello ~ Silence",7
"2018","Drake ~ Sneakin'",7
"2018","Zedd ~ Stay",7
"2018","G-Eazy ~ Step Brothers",7
"2018","Gym Class Heroes ~ The Papercut Chronicles II",7
"2018","Childish Gambino ~ This Is America",7
"2018","Jason Derulo ~ Tip Toe (feat. French Montana)",7
"2018","Portugal. The Man ~ Woodstock",7
"2018","blackbear ~ do re mi (feat. Gucci Mane)",7
"2018","Halsey ~ hopeless fountain kingdom",7
"2019","Childish Gambino ~ Because the Internet",7
"2019","Macklemore ~ GEMINI",7
"2019","Chance the Rapper ~ GRoCERIES",7
"2019","YG ~ Go Loko",7
"2019","Lil Yachty ~ Nuthin' 2 Prove",7
"2019","Post Malone ~ Spider-Man: Into the Spider-Verse",7
"2019","James Heather ~ Stories From Far Away On Piano",7
"2019","Lil Baby ~ Street Gossip",7
"2019","Kanye West ~ Yeezus",7
"2020","Suraj Jagan ~ 3 Idiots",7
"2020","Queen ~ A Day At The Races",7
"2020","Queen ~ A Kind of Magic",7
"2020","Electric Light Orchestra ~ A New World Record",7
"2020","Magic System ~ Africainement votre",7
"2020","Roy Woods ~ Exis",7
"2020","Tee Grizzley ~ From The D To The A (feat. Lil Yachty)",7
"2020","Maroon 5 ~ Hands All Over",7
"2020","Lil Baby ~ Harder Than Ever",7
"2020","Beyonce ~ I AM...SASHA FIERCE",7
"2020","Lil Wayne ~ I Am Not A Human Being",7
"2020","John Sebastian ~ John B. Sebastian",7
"2020","Wham! ~ LAST CHRISTMAS",7
"2020","J. Cole ~ MIDDLE CHILD",7
"2020","Brent Faiyaz ~ Make Luv",7
"2020","R.E.M. ~ Out Of Time",7
"2020","Rupert Holmes ~ Partners In Crime",7
"2020","The Beach Boys ~ Pet Sounds",7
"2020","Clean Bandit ~ Rather Be (feat. Jess Glynne)",7
"2020","Sha Na Na ~ Rock & Roll Is Here to Stay",7
"2020","Veorra ~ Sapphire",7
"2020","DripReport ~ Skechers",7
"2020","Sweetwater ~ Sweetwater",7
"2020","Yes ~ Symphonic Live",7
"2020","Jethro Tull ~ Thick as a Brick",7
"2020","Foster The People ~ Torches",7
"2020","The Doobie Brothers ~ Toulouse Street",7
"2020","ABBA ~ Waterloo",7
"2020","Lil Tecca ~ We Love You Tecca",7
"2021","David Bowie ~ """"Heroes""""",7
"2021","Queen ~ A Day At The Races",7
"2021","Joey Bada$$ ~ B4.DA.$$",7
"2021","Don Toliver ~ Best You Had",7
"2021","HM Surf ~ Cocobolo",7
"2021","Del Water Gap ~ Del Water Gap",7
"2021","Lata Mangeshkar ~ Dilwale Dulhania Le Jayenge (Original Motion Picture Soundtrack)",7
"2021","Big Sean ~ Double Or Nothing (& Metro Boomin)",7
"2021","Laffey ~ Forever Changing",7
"2021","The Weeknd ~ House Of Balloons",7
"2021","Kanye West ~ JESUS IS KING",7
"2021","Tiesto ~ Jackie Chan",7
"2021","The Beatles ~ Magical Mystery Tour",7
"2021","Pop Smoke ~ Meet The Woo 2",7
"2021","Future ~ Monster",7
"2021","Bryce Hase ~ Off the Planet",7
"2021","The Rolling Stones ~ Out Of Our Heads",7
"2021","Old Man Canyon ~ Phantoms & Friends",7
"2021","boy pablo ~ Roy Pablo",7
"2021","The Chainsmokers ~ Sick Boy",7
"2021","Young Stoner Life ~ Slime Language 2",7
"2021","Young Thug ~ So Much Fun",7
"2021","Childish Gambino ~ Summer Pack",7
"2021","Drake ~ Summer Sixteen",7
"2021","boy pablo ~ Wachito Rico",7
"2021","Frank Ocean ~ channel ORANGE",7
"2021","Baby Keem ~ family ties (with Kendrick Lamar)",7
"2022","Bruno Mars ~ 24K Magic",7
"2022","Fetty Wap ~ 679 (feat. Remy Boyz)",7
"2022","Brent Faiyaz ~ Allure",7
"2022","Guns N' Roses ~ Appetite For Destruction",7
"2022","ABBA ~ Arrival",7
"2022","The O'Jays ~ Back Stabbers",7
"2022","Young Thug ~ Beautiful Thugger Girls",7
"2022","The Rolling Stones ~ Beggars Banquet",7
"2022","BabyTron ~ Bin Reaper 2",7
"2022","BabyTron ~ Bin Reaper 3: Old Testament",7
"2022","Ellie Goulding ~ Close To Me (feat. Swae Lee)",7
"2022","Tame Impala ~ Currents",7
"2022","Gunna ~ DS4EVER",7
"2022","Big Sean ~ Dark Sky Paradise",7
"2022","Panic! At The Disco ~ Death of a Bachelor",7
"2022","Lata Mangeshkar ~ Diamonds Forever - Lata Mangeshkar",7
"2022","Meek Mill ~ Dreams and Nightmares",7
"2022","Chief Keef ~ Finally Rich",7
"2022","Tee Grizzley ~ From The D To The A (feat. Lil Yachty)",7
"2022","Dayglow ~ Fuzzybrain",7
"2022","Hippo Campus ~ Good Dog, Bad Dream",7
"2022","Maroon 5 ~ Hands All Over",7
"2022","Future ~ High Off Life",7
"2022","Jay Rock ~ King's Dead (with Kendrick Lamar, Future & James Blake)",7
"2022","Looking Glass ~ Looking Glass",7
"2022","WESTSIDE BOOGIE ~ MORE BLACK SUPERHEROES",7
"2022","Mac Miller ~ Macadelic (Remastered Edition)",7
"2022","One Direction ~ Made In The A.M.",7
"2022","Future ~ Mask Off (feat. Kendrick Lamar)",7
"2022","NAV ~ NAV",7
"2022","American Authors ~ Oh, What A Life",7
"2022","Eagles ~ One of These Nights",7
"2022","Larry June ~ Orange Print",7
"2022","The Police ~ Outlandos D'Amour",7
"2022","Rupert Holmes ~ Partners In Crime",7
"2022","Rex Orange County ~ Pony",7
"2022","Usher ~ Raymond v Raymond",7
"2022","21 Savage ~ SAVAGE MODE II",7
"2022","SOB X RBE ~ SOB X RBE",7
"2022","Queen ~ Sheer Heart Attack",7
"2022","Outkast ~ Stankonia",7
"2022","Bob Seger ~ Stranger In Town",7
"2022","Martin Garrix ~ Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy)",7
"2022","Lil Wayne ~ Tha Carter IV",7
"2022","Cage The Elephant ~ Thank You Happy Birthday",7
"2022","The 1975 ~ The 1975",7
"2022","The Beach Boys ~ The Beach Boys' Christmas Album",7
"2022","A Boogie Wit da Hoodie ~ The Bigger Artist",7
"2022","Poco ~ The Essential Poco",7
"2022","Rejjie Snow ~ The Moon & You",7
"2022","Odd Future ~ The OF Tape Vol. 2",7
"2022","The Wanted ~ The Wanted",7
"2022","NoMBe ~ They Might've Even Loved Me",7
"2022","YoungBoy Never Broke Again ~ Top",7
"2022","Sonder ~ What You Heard",7
"2022","The Backseat Lovers ~ When We Were Friends",7
"2022","The Who ~ Who's Next",7
"2022","Majid Jordan ~ Wildest Dreams",7
"2022","Logic ~ YSIV",7
"2022","Rex Orange County ~ You've Got a Friend in Me",7
"2022","Snoop Dogg ~ Young, Wild & Free (feat. Bruno Mars)",7
"2017","Journey ~ 80s 100 Hits",6
"2017","Boston ~ Boston",6
"2017","Green Day ~ Dookie",6
"2017","Jonas Blue ~ Fast Car",6
"2017","Amine ~ Good For You",6
"2017","Skrillex ~ HUMBLE.",6
"2017","AC/DC ~ Highway to Hell",6
"2017","2 Chainz ~ Pretty Girls Like Trap Music",6
"2017","Lil Dicky ~ Professional Rapper",6
"2017","Taylor Swift ~ Red",6
"2017","Macklemore & Ryan Lewis ~ This Unruly Mess I've Made",6
"2017","Coldplay ~ X&Y",6
"2018","G-Eazy ~ 1942 (feat. Yo Gotti & YBN Nahmir)",6
"2018","Cashmere Cat ~ 9",6
"2018","2 Chainz ~ Bigger Than You feat. Drake & Quavo",6
"2018","Calvin Harris ~ Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",6
"2018","Machine Gun Kelly ~ General Admission",6
"2018","Maroon 5 ~ Hands All Over",6
"2018","Cardi B ~ Invasion of Privacy",6
"2018","Lil Dicky ~ Professional Rapper",6
"2018","Bon Jovi ~ Slippery When Wet",6
"2018","Maroon 5 ~ Songs About Jane",6
"2018","A Boogie Wit da Hoodie ~ The Bigger Artist",6
"2018","Lil Uzi Vert ~ The Way Life Goes (feat. Nicki Minaj & Oh Wonder)",6
"2018","Trey Songz ~ Tremaine the Album",6
"2018","Coldplay ~ X&Y",6
"2019","Green Day ~ American Idiot",6
"2019","NAV ~ Bad Habits",6
"2019","Gunna ~ Drip or Drown 2",6
"2019","Daniel Caesar ~ Freudian",6
"2019","Carl Stark Willgold ~ Hymn",6
"2019","John Lennon ~ Imagine",6
"2019","Led Zeppelin ~ Led Zeppelin III",6
"2019","Kid Cudi ~ Man On The Moon: The End Of Day",6
"2019","Adam Fincher ~ Pearly White",6
"2019","Joep Beving ~ Prehension",6
"2019","Robin Bennich ~ Preludium",6
"2019","Owl City ~ The Midsummer Station",6
"2019","Jhene Aiko ~ Trip",6
"2019","Jack Johnson ~ Upside Down",6
"2019","The Neighbourhood ~ Wiped Out!",6
"2019","Yung Gravy ~ Yung Gravity",6
"2020","Van Halen ~ 1984",6
"2020","GoldLink ~ At What Cost",6
"2020","R.E.M. ~ Automatic For The People",6
"2020","Don Toliver ~ Best You Had",6
"2020","Daryl Hall & John Oates ~ Bigger Than Both Of Us",6
"2020","Ozzy Osbourne ~ Blizzard of Ozz",6
"2020","Lil Mosey ~ Blueberry Faygo",6
"2020","Logic ~ Bobby Tarantino",6
"2020","Supertramp ~ Breakfast In America",6
"2020","Bryson Tiller ~ Canceled",6
"2020","Logic ~ Confessions of a Dangerous Mind",6
"2020","Jack Harlow ~ Confetti",6
"2020","TLC ~ Crazysexycool",6
"2020","SZA ~ Ctrl",6
"2020","Playboi Carti ~ Die Lit",6
"2020","Phil Collins ~ Face Value (Deluxe Editon)",6
"2020","Elton John ~ Goodbye Yellow Brick Road",6
"2020","Matthew Wilder ~ I Don't Speak The Language",6
"2020","Thin Lizzy ~ Jailbreak",6
"2020","Juice WRLD ~ Legends Never Die",6
"2020","P-Lo ~ More Than Anything",6
"2020","Ben Platt ~ Music From The Netflix Original Series The Politician",6
"2020","Summer Walker ~ Over It",6
"2020","P-Lo ~ PRIME",6
"2020","Selena Gomez ~ Revival",6
"2020","Marshmello ~ Silence",6
"2020","Drake ~ Summer Sixteen",6
"2020","Dizaro ~ Sunny Day",6
"2020","Mac Miller ~ Swimming",6
"2020","Redbone ~ The Best Of Redbone",6
"2020","Canned Heat ~ The Boogie House Tapes Volume Three (Original Recording Remastered)",6
"2020","Cordae ~ The Lost Boy",6
"2020","Louis Armstrong ~ What A Wonderful World",6
"2020","21 Savage ~ i am > i was",6
"2021","6LACK ~ 6pc Hot EP",6
"2021","tender spring ~ A Friendly Warmth",6
"2021","Trippie Redd ~ A Love Letter To You 3",6
"2021","Queen ~ A Night At The Opera",6
"2021","Wasuremono ~ Are You OK?",6
"2021","Young Thug ~ Beautiful Thugger Girls",6
"2021","Vince Staples ~ Big Fish Theory",6
"2021","Thouxanbanfauni ~ CLAIRVOYANCE",6
"2021","Shordie Shordie ~ Captain Hook",6
"2021","Chance the Rapper ~ Coloring Book",6
"2021","Purrple Cat ~ Cozy Winter",6
"2021","Mustard ~ Dangerous World (feat. Travis Scott & YG)",6
"2021","Drake ~ Dark Lane Demo Tapes",6
"2021","Journey ~ Departure",6
"2021","Kirko Bangz ~ Drank in My Cup",6
"2021","The Growlers ~ Dream World",6
"2021","Hoogway ~ Forever Ago",6
"2021","Brent Faiyaz ~ Fuck The World",6
"2021","Rooga ~ GD Anthem",6
"2021","A$AP Rocky ~ LONG.LIVE.A$AP",6
"2021","Hailee Steinfeld ~ Let Me Go (with Alesso, Florida Georgia Line & watt)",6
"2021","Brent Faiyaz ~ Make Luv",6
"2021","The Chainsmokers ~ Memories...Do Not Open",6
"2021","Bas ~ Milky Way",6
"2021","Living Room ~ Rituals",6
"2021","Olivia Rodrigo ~ SOUR",6
"2021","Post Malone ~ Spider-Man: Into the Spider-Verse",6
"2021","Lil Wayne ~ Tha Carter IV",6
"2021","Lil Wayne ~ Tha Carter V",6
"2021","Queen ~ The Miracle",6
"2021","The Temptations ~ The Temptations Sing Smokey",6
"2021","YNW Melly ~ We All Shine",6
"2021","blackbear ~ digital druglord",6
"2021","kudo ~ love you two",6
"2022","The Ponderosa Twins Plus One ~ 2+2+1=",6
"2022","Adele ~ 21",6
"2022","KAYTRANADA ~ 99.9%",6
"2022","Dean Martin ~ A Winter Romance",6
"2022","Thundercat ~ Apocalypse",6
"2022","midwxst ~ BACK IN ACTION 3.0",6
"2022","Bastille ~ Bad Blood",6
"2022","Justin Bieber ~ Believe",6
"2022","Nico & Vinz ~ Black Star Elephant",6
"2022","Ozzy Osbourne ~ Blizzard Of Ozz",6
"2022","Logic ~ Bobby Tarantino",6
"2022","Thouxanbanfauni ~ CLAIRVOYANCE",6
"2022","Drake ~ Certified Lover Boy",6
"2022","Logic ~ Everybody",6
"2022","Lorey ~ FaCE CaRD",6
"2022","The J. Geils Band ~ Freeze Frame",6
"2022","Mac Miller ~ GO:OD AM",6
"2022","Coldplay ~ Ghost Stories",6
"2022","Chris Brown ~ Heartbreak on a Full Moon",6
"2022","Briston Maroney ~ Indiana",6
"2022","Bobby Helms ~ Jingle Bell Rock/Captain Santa Claus (And His Reindeer Space Patrol)",6
"2022","Carly Rae Jepsen ~ Kiss",6
"2022","Akon ~ Konvicted",6
"2022","Kansas ~ Leftoverture",6
"2022","Tory Lanez ~ MEMORIES DON'T DIE",6
"2022","Mome Boys ~ Mistakes Were Made",6
"2022","Lil Baby ~ My Turn",6
"2022","Lil Tecca ~ NEVER LEFT",6
"2022","Jack Harlow ~ Nail Tech",6
"2022","Queen ~ News Of The World",6
"2022","The Vamps ~ Night & Day",6
"2022","Only The Family ~ Only The Family - Lil Durk Presents: Loyal Bros",6
"2022","Shakira ~ Oral Fixation, Vol. 2",6
"2022","Tory Lanez ~ PLAYBOY",6
"2022","Marshmello ~ Project Dreams",6
"2022","Justin Bieber ~ Purpose",6
"2022","NAV ~ RECKLESS",6
"2022","whiterosemoxie ~ RFGL",6
"2022","Drake ~ Relapse: Refill",6
"2022","Selena Gomez ~ Revival",6
"2022","Jaden ~ SYRE",6
"2022","Drake ~ Scary Hours 2",6
"2022","Yung Gravy ~ Snow Cougar",6
"2022","Earl Sweatshirt ~ Some Rap Songs",6
"2022","A$AP Ferg ~ Still Striving",6
"2022","Masego ~ Studying Abroad: Extended Stay",6
"2022","Lil Wayne ~ Sucker for Pain (with Logic & Ty Dolla $ign feat. X Ambassadors)",6
"2022","Katy Perry ~ Teenage Dream: The Complete Confection",6
"2022","Billy Joel ~ The Essential Billy Joel",6
"2022","Thundercat ~ The Golden Age of Apocalypse",6
"2022","Macklemore & Ryan Lewis ~ The Heist",6
"2022","Queen ~ The Miracle",6
"2022","Bakermat ~ The Ringmaster",6
"2022","UB40 ~ The Very Best Of",6
"2022","Outkast ~ The Way You Move / Hey Ya!",6
"2022","SZA ~ The Weekend",6
"2022","Cage The Elephant ~ Unpeeled",6
"2022","Anderson .Paak ~ Venice",6
"2022","Flying Lotus ~ You're Dead!",6
"2016","Ferreck Dawn ~ Baby Slow Down",5
"2016","Future ~ DS2",5
"2016","Big Sean ~ Dark Sky Paradise",5
"2016","David Guetta ~ Listen Again",5
"2016","Cash Cash ~ Take Me Home (feat. Bebe Rexha)",5
"2016","The Little Ones ~ The Dawn Sang Along",5
"2016","Jordy Dazz ~ The Sound Of Revealed 2012",5
"2017","Dr. Dre ~ 2001",5
"2017","AC/DC ~ Back In Black",5
"2017","Kanye West ~ Champions",5
"2017","Usher ~ DJ Got Us Fallin' In Love",5
"2017","Kirko Bangz ~ Drank in My Cup",5
"2017","Black Eyed Peas ~ Elephunk",5
"2017","Fetty Wap ~ Fetty Wap",5
"2017","Maroon 5 ~ Hands All Over",5
"2017","Clean Bandit ~ I Miss You (feat. Julia Michaels)",5
"2017","The Beatles ~ Let It Be",5
"2017","Big Shaq ~ Man's Not Hot",5
"2017","Justin Timberlake ~ The 20/20 Experience",5
"2017","Logic ~ The Incredible True Story",5
"2017","Lil Uzi Vert ~ The Way Life Goes (feat. Nicki Minaj & Oh Wonder)",5
"2017","ILOVEMAKONNEN ~ Tuesday (feat. Drake)",5
"2018","2Pac ~ All Eyez On Me",5
"2018","GoldLink ~ At What Cost",5
"2018","Usher ~ Confessions",5
"2018","Hoodie Allen ~ Crew Cuts",5
"2018","Big Sean ~ Dark Sky Paradise",5
"2018","Lil Dicky ~ Freaky Friday (feat. Chris Brown)",5
"2018","Kanye West ~ Graduation",5
"2018","Led Zeppelin ~ Led Zeppelin III",5
"2018","Famous Dex ~ Pick It Up (feat. A$AP Rocky)",5
"2018","Taylor Swift ~ Red",5
"2018","Taio Cruz ~ Rokstarr",5
"2018","Fleetwood Mac ~ Rumours",5
"2018","Mac Miller ~ Swimming",5
"2018","Black Eyed Peas ~ THE E.N.D. (THE ENERGY NEVER DIES)",5
"2018","Eminem ~ The Slim Shady LP",5
"2018","Gwen Stefani ~ The Sweet Escape",5
