"ID","Season","Song","Plays"
"4nHlOHDt8o328IuZWF0oQQ","Summer","Broken Back ~ Mild Blood",35
"3gbBpTdY8lnQwqxNCcf795","Summer","Bastille ~ Pompeii",35
"5pLpkaIRobcvPnUmclNv6o","Summer","Oh Wonder ~ Technicolour Beat",35
"4yQluMXsIRql36ErBHux2f","Summer","Jeremy Zucker ~ you were good to me - shallou remix",35
"5iwz1NiezX7WWjnCgY5TH4","Winter","Pedro Capo ~ Calma - Remix",35
"3cR5ZtQ4JqGj4VHBb1gvFf","Winter","CNCO ~ Hey DJ - Remix",35
"0t488LlnuTDRjklgkotom9","Fall","Jai Wolf ~ Indian Summer",34
"2XyNLoEWc4IDt9OVzXZUXl","Fall","ODESZA ~ It's Only (feat. Zyra) - ODESZA VIP Remix",34
"3tJjZMHLqhD8DaGgdBICnc","Fall","Sleeping At Last ~ Saturn",34
"6CcJMwBtXByIz4zQLzFkKc","Fall","Billie Eilish ~ i love you",34
"1RMJOxR6GRPsBHL8qeC2ux","Spring","Daniel Caesar ~ Best Part (feat. H.E.R.)",34
"0u2P5u6lvoDfwTYjAADbn4","Spring","Billie Eilish ~ lovely (with Khalid)",34
"63yY87yNAwMfKRNuk4I4SR","Summer","Lewis Capaldi ~ Before You Go - Edessa Remix",34
"0TK2YIli7K1leLovkQiNik","Summer","Shawn Mendes ~ Senorita",34
"55K9XfgvMdBruc7iKsovgv","Summer","Lostboycrow ~ The Lost Boy (feat. Skizzy Mars)",34
"3AqPL1n1wKc5DVFFnYuJhp","Summer","The Cinematic Orchestra ~ To Build A Home",34
"7pt64sepCy5QmDrgy9wOJS","Summer","Kamal. ~ blue",34
"6tT4Ks1N04Ut0lSQ3xjSaZ","Winter","CNCO ~ Llegaste Tu",34
"7qCAVkHWZkF44OzOUKf8Cr","Fall","Nicky Jam ~ El Perdon (with Enrique Iglesias)",33
"2IUHcSxFPDKLRVgjXxvKjl","Fall","ODESZA ~ Line Of Sight (feat. WYNNE & Mansionair)",33
"0DkkunMQNA2SuOYmnYm88E","Fall","Miro ~ Soar",33
"07ipXN6CNTw34qwSYePKpg","Spring","PRETTYMUCH ~ Summer on You",33
"55K9XfgvMdBruc7iKsovgv","Spring","Lostboycrow ~ The Lost Boy (feat. Skizzy Mars)",33
"7qCAVkHWZkF44OzOUKf8Cr","Winter","Nicky Jam ~ El Perdon (with Enrique Iglesias)",33
"0lG6QM1jjbbX5UUn3DPmrZ","Winter","Alan Walker ~ Lost Control",33
"07ipXN6CNTw34qwSYePKpg","Winter","PRETTYMUCH ~ Summer on You",33
"1DWZUa5Mzf2BwzpHtgbHPY","Fall","Mac Miller ~ Good News",32
"3H8h60jhdQNu5s9HHTLdFr","Fall","San Holo ~ IT HURTS!",32
"0tgVpDi06FyKpA1z0VMD4v","Fall","Ed Sheeran ~ Perfect",32
"1dEy9Pl81QopSxNsPxXQxv","Fall","Rihanna ~ Stay",32
"7bdYxWPCs46dQ0XLwySOyv","Fall","Jeremy Zucker ~ better off",32
"5iSEsR6NKjlC9SrIJkyL3k","Spring","Kid Cudi ~ Pursuit Of Happiness (Nightmare)",32
"5uEcslrmFzkDqTaFB26yj2","Spring","The Piano Guys ~ The Cello Song",32
"2RttW7RAu5nOAfq6YFvApB","Summer","Ed Sheeran ~ Happier",32
"6WdJAm69trFyexngKDHHVJ","Summer","A R I Z O N A ~ Oceans Away - Mansionair Remix",32
"2Fxmhks0bxGSBdJ92vM42m","Summer","Billie Eilish ~ bad guy",32
"0E0xI4AgMNU7UkwBt3FCVN","Winter","The Piano Guys ~ A Thousand Years",32
"64BKKgWdKdmKlQDzRfHW3C","Winter","Louis The Child ~ Free (with Drew Love)",32
"6SM0JzGgLQU3oiSZg1AYyz","Winter","Limited Tym ~ GROW",32
"5kfNriitmkNE8mUbZ7gbq8","Winter","Khalid ~ Saturday Nights",32
"7xPQY7skgsujvvVyoE5lBi","Spring","The Piano Guys ~ Beethoven's 5 Secrets",31
"4H5arInh2BLVz94mIibTrv","Spring","Takagi & Ketra ~ JAMBO",31
"38LC7jHjifqs5EnYUv4BgG","Spring","Mat Kearney ~ Memorized",31
"6CcJMwBtXByIz4zQLzFkKc","Spring","Billie Eilish ~ i love you",31
"4QIo4oxwzzafcBWkKjDpXY","Spring","Billie Eilish ~ xanny",31
"39KG4kom3enSx4GTThuDGt","Summer","Khalid ~ Coaster",31
"77ZdAoTHYoF6Umo76HFD4m","Summer","Gym Class Heroes ~ The Fighter (feat. Ryan Tedder)",31
"5o35aPa2xPLLC3rw7Hoc83","Winter","Nicky Jam ~ Superheroe (feat. J Balvin)",31
"1yaWRS9r2woTNmJpCKd5l9","Winter","Quinn XCII ~ Two 10s",31
"43vJhPJKdY2aLz7bODyrtg","Winter","LEON ~ You And I - SAINT WKND Remix",31
"4JuZQeSRYJfLCqBgBIxxrR","Fall","Billie Eilish ~ Ocean Eyes - Blackbear Remix",30
"3AqPL1n1wKc5DVFFnYuJhp","Fall","The Cinematic Orchestra ~ To Build A Home",30
"2ISSQPb9LHHiV6ng2NXosL","Spring","Zedd ~ Beautiful Now",30
"4q1WaJZoHTtojqDHX8QvaC","Spring","VAX ~ Fireproof (feat. Teddy Sky)",30
"7a86XRg84qjasly9f6bPSD","Spring","fun. ~ We Are Young (feat. Janelle Monae)",30
"14BH4qO7pgCmIe6mgLKOK3","Summer","BANNERS ~ Someone To You",30
"2pJZ1v8HezrAoZ0Fhzby92","Summer","Ed Sheeran ~ What Do I Know?",30
"7xPQY7skgsujvvVyoE5lBi","Winter","The Piano Guys ~ Beethoven's 5 Secrets",30
"5zxwumO0laRosoeOvbVSvc","Winter","Mitch James ~ Bright Blue Skies",30
"78TTtXnFQPzwqlbtbwqN0y","Winter","Rihanna ~ FourFiveSeconds",30
"44N88sNHQkshMjQsF2mJfG","Winter","The Piano Guys ~ Just the Way You Are",30
"2dfHh7ECGxfNqZTQno09Vk","Fall","Ed Sheeran ~ Hearts Don't Break Around Here",29
"4nRbhflKt9BAc6YulQ22ga","Fall","ILLENIUM ~ In My Mind",29
"45Egmo7icyopuzJN0oMEdk","Spring","Khalid ~ Love Lies (with Normani)",29
"6GxEpbOvB4dXgRF2SLJliK","Spring","Bryant Myers ~ Tanta Falta Remix",29
"4CxFN5zON70B3VOPBYbd6P","Spring","Jeremy Zucker ~ you were good to me",29
"4q1WaJZoHTtojqDHX8QvaC","Winter","VAX ~ Fireproof (feat. Teddy Sky)",29
"1sjXaEmqj5cRMns8rWYnKe","Winter","Shoffy ~ I Can't Help",29
"0u2P5u6lvoDfwTYjAADbn4","Winter","Billie Eilish ~ lovely (with Khalid)",29
"1UMQ9VXdKGiAHIGD5fWX2B","Fall","Quinn XCII ~ Iron & Steel",28
"25U7raB3ZSszayTYClh4hF","Fall","Israel Kamakawiwo'ole ~ Somewhere Over The Rainbow_What A Wonderful World",28
"6uaIMhUZXMuT2Zz0vxrFiR","Fall","Hollow Coves ~ The Woods - Acoustic",28
"28sWYevC75ZrUMJ0tD4zWM","Fall","Hollow Coves ~ These Memories",28
"4wJaoAVSc8X5rBhmoGdtvp","Fall","Jeremy Zucker ~ julia",28
"4NU4ZK3ncM05KPUc8JSuQ5","Spring","Jaden ~ Circa 2015",28
"5FEXPoPnzueFJQCPRIrC3c","Spring","Kid Cudi ~ Day 'N' Nite (nightmare)",28
"6WdJAm69trFyexngKDHHVJ","Spring","A R I Z O N A ~ Oceans Away - Mansionair Remix",28
"3AqPL1n1wKc5DVFFnYuJhp","Spring","The Cinematic Orchestra ~ To Build A Home",28
"0B3FovCVaGKS5w1FTidEUP","Summer","Blue Ivy ~ BROWN SKIN GIRL",28
"6J2LdBN97cDWn0MLxYh9HB","Summer","Noah Cyrus ~ July",28
"45Egmo7icyopuzJN0oMEdk","Summer","Khalid ~ Love Lies (with Normani)",28
"7zi9FrMOL4a9c3pVCGXzKc","Summer","Bazzi ~ Renee's Song",28
"0nYSQrRV7Akb8guuycDSqF","Summer","Alvaro Soler ~ Sofia",28
