"ID","Season","Song","Plays"
"8453024720156432395","Fall","Travis Scott ~ way back",54
"21623969741883031","Spring","Kendrick Lamar ~ FEAR.",54
"-3511362552648528737","Spring","Isaiah Rashad ~ Modest",54
"-482023986002900585","Spring","Aries ~ SAYONARA",54
"955273264057396823","Summer","Frank Ocean ~ Ivy",54
"-4087391519731806068","Summer","Mick Jenkins ~ Jazz",54
"8233277601571087113","Summer","Jack Harlow ~ PICKYOURPHONEUP (feat. K CAMP)",54
"-5962670019369465367","Winter","Ski Mask the Slump God ~ BabyWipe",54
"6217090014475830703","Winter","Kendrick Lamar, Jay Rock, James Blake, Future ~ King's Dead",54
"2326231201106999622","Winter","Bryson Tiller ~ Let Em' Know",54
"3552097476416804302","Spring","Travis Scott ~ Butterfly Effect",53
"-2358871045629889901","Spring","Jonah Zed ~ Horizons",53
"-1131151110736886865","Spring","Drake ~ Views",53
"-5238426858164664677","Summer","Jack Harlow ~ DRIP DROP (feat. Cyhi the Prynce)",53
"-6823205868663604122","Spring","Chance the Rapper ~ No Problem (feat. Lil Wayne & 2 Chainz)",52
"8667778597128038974","Spring","Isaiah Rashad ~ R.I.P. Kevin Miller",52
"4922181823942867285","Spring","Bryson Tiller ~ Sorry Not Sorry",52
"5931043432346226001","Spring","Kendrick Lamar ~ XXX. (FEAT. U2.)",52
"-914370831464640012","Summer","Isaiah Rashad ~ HB2U",52
"-8481646579188135772","Summer","Travis Scott ~ sweet sweet",52
"7804708236680284949","Winter","Future ~ Life Is Good (feat. Drake)",52
"-4157954854387871686","Fall","JID ~ 151 Rum",51
"-5888368719227366242","Fall","Jack Harlow ~ BIG CHILLIN",51
"5568691767613556579","Fall","ScHoolboy Q ~ Hoover Street",51
"5495320090621749729","Fall","Jretro ~ I Am the Greatest",51
"8377172867818893796","Fall","Jack Harlow ~ WALK IN THE PARK",51
"7372361617816645226","Spring","Rich The Kid ~ Dead Friends",51
"-1418794139648741439","Spring","Travis Scott ~ 90210 (feat. Kacy Hill)",50
"8953442972003160456","Spring","PARTYNEXTDOOR ~ EYE ON IT",50
"-5094945552208165541","Spring","Chance the Rapper ~ Finish Line / Drown (feat. T-Pain, Kirk Franklin, Eryn Allen Kane & Noname)",50
"957243205206641281","Spring","Kendrick Lamar ~ Ignorance Is Bliss",50
"-6464962299015640527","Spring","J. Cole ~ KOD",50
"-411251439892835118","Spring","Kendrick Lamar ~ Sing About Me, I'm Dying of Thirst",50
"8378804384854060802","Spring","Drake ~ U With Me?",50
"8089121006479319882","Spring","Kendrick Lamar ~ Wesley's Theory (feat. George Clinton & Thundercat)",50
"741023671067484422","Summer","Kendrick Lamar ~ DNA.",50
"19568982171090943","Summer","Jack Harlow ~ NUN FREE (feat. 2forwOyNE)",50
"-4590236646299424818","Summer","Frank Ocean ~ Nikes",50
"6579028519137505679","Summer","Kendrick Lamar ~ Sing About Me, I'm Dying of Thirst",50
"8378220909483161009","Winter","Kid Cudi ~ Baptized in Fire (feat. Travis Scott)",50
"7948653894195007978","Winter","Bryson Tiller ~ Rambo",50
"-4808008013997186134","Fall","Aries ~ CONVERSATIONS",49
"8378782318914443835","Fall","Mick Jenkins ~ Jerome (feat. Joey Bada$$)",49
"-4305127755745852273","Fall","Earl Sweatshirt ~ Mantra",49
"237801101520938386","Fall","A$AP Mob ~ Nasty's World (feat. A$AP Nast & ONYX)",49
"-4373276716830567278","Fall","Jack Harlow ~ SYLVIA (feat. 2forwOyNE)",49
"-1565893578290504631","Fall","Travis Scott ~ the ends",49
"1171071103250069204","Spring","Aries ~ DEITY",49
"-6102751817257307155","Spring","Kendrick Lamar ~ LOYALTY. (FEAT. RIHANNA.)",49
"6721431697269909338","Spring","Young Thug ~ Webbie (feat. Duke)",49
"-7835482721797475282","Spring","Travis Scott ~ goosebumps",49
"-2212881074100931860","Summer","Joey Bada$$ ~ Hilary $Wank",49
"1748984072068446054","Summer","Frank Ocean ~ Solo",49
"-6754109145625509505","Winter","Earl Sweatshirt ~ Chum",49
"-8123754694670799388","Winter","Bryson Tiller ~ Sorry Not Sorry",49
