"ID","SchoolPeriod","Song","Plays"
"7371796852294395023","Freshman Year","Ramzoid ~ Red Beams",52
"-3296127792633454871","Sophomore Year","tsubi club ~ Burbank House",52
"-5962670019369465367","10th Grade","Ski Mask the Slump God ~ BabyWipe",51
"6937971165476199198","Freshman Year","Athan ~ Lifeless",51
"-6395102449639921716","Freshman-Sophomore Summer","No Fun Haus ~ Falling Down",51
"4128828714567735580","Sophomore Year","Aries ~ KIDS ON MOLLY",51
"-3440636482530702976","10th Grade","ScHoolboy Q ~ Gangsta",50
"-4949905614441287635","10th Grade","Lil Skies ~ Red Roses (feat. Landon Cube)",50
"7804708236680284949","12th Grade","Future ~ Life Is Good (feat. Drake)",50
"8378220909483161009","9th Grade","Kid Cudi ~ Baptized in Fire (feat. Travis Scott)",50
"-5021689589150469961","9th Grade","A$AP Rocky ~ Jukebox Joints (feat. Joe Fox x Kanye West)",50
"7516232859035237723","9th Grade","Mick Jenkins ~ Thc",50
"-6896867289549137581","9th Grade","Isaiah Rashad ~ Tity and Dolla (feat. Hugh Augustine & Jay Rock)",50
"451889194696612849","Freshman Year","Patrick Cc: ~ Sherbs (feat. Koi & Voda Fuji)",50
"-1203253405166452764","Sophomore Year","Aries ~ HOW RUDE",50
"8233235672918192582","Sophomore Year","Aries ~ RIDING",50
"5714750714026920120","9th Grade","Isaiah Rashad ~ Free Lunch",49
"5568691767613556579","10th Grade","ScHoolboy Q ~ Hoover Street",48
"5927296127319531333","10th Grade","Kendrick Lamar ~ PRIDE.",48
"9171225769501596298","12th Grade","Jack Harlow ~ THRU THE NIGHT (feat. Bryson Tiller)",48
"2109339830572905115","8th Grade","Danny Brown ~ 30",48
"-3800800766652675894","9th Grade","Isaiah Rashad ~ 4r Da Squaw",48
"6722247038772594217","9th Grade","Mick Jenkins ~ Daniels Bloom",47
"1029046072569149990","9th Grade","Travis Scott ~ lose",47
"-6394949287884659492","Sophomore Year","Aries ~ OUTDATED",47
"7948653894195007978","8th Grade","Bryson Tiller ~ Rambo",46
