"ID","Month","Song","Plays"
"2tI4WyzqOOwC23S5m0kqcB","12","Pink Sweat$ ~ At My Worst",20
"4OBZT9EnhYIV17t4pGw7ig","12","Daniel Caesar ~ Best Part (feat. H.E.R.)",20
"3cR5ZtQ4JqGj4VHBb1gvFf","12","CNCO ~ Hey DJ - Remix",20
"2XyNLoEWc4IDt9OVzXZUXl","12","ODESZA ~ It's Only (feat. Zyra) - ODESZA VIP Remix",20
"3cR5ZtQ4JqGj4VHBb1gvFf","01","CNCO ~ Hey DJ - Remix",19
"7a5RvlW5tMU0AZ4tvbGLhn","01","Russ ~ September 16",19
"5iwz1NiezX7WWjnCgY5TH4","02","Pedro Capo ~ Calma - Remix",19
"5FEXPoPnzueFJQCPRIrC3c","04","Kid Cudi ~ Day 'N' Nite (nightmare)",19
"6tsOcBnaKgzK22yEiqRh8P","04","Ariana Grande ~ MONOPOLY (with Victoria Monet)",19
"6CcJMwBtXByIz4zQLzFkKc","04","Billie Eilish ~ i love you",19
"4KnnWpUyPfQD6X5SQSTlH3","05","Daniel Schulz ~ Turn Back Time",19
"18uwL0vNUanqZH0ro2QcOP","05","Jeremy Zucker ~ comethru",19
"0TK2YIli7K1leLovkQiNik","07","Shawn Mendes ~ Senorita",19
"77ZdAoTHYoF6Umo76HFD4m","07","Gym Class Heroes ~ The Fighter (feat. Ryan Tedder)",19
"0tgVpDi06FyKpA1z0VMD4v","08","Ed Sheeran ~ Perfect",19
"34gCuhDGsG4bRPIf9bb02f","08","Ed Sheeran ~ Thinking out Loud",19
"18uwL0vNUanqZH0ro2QcOP","08","Jeremy Zucker ~ comethru",19
"6zyozkRLgDlqZIUJzCwkgP","09","Rochak Kohli ~ Dil Na Jaaneya",19
"0SuLAslEMFZAXf0SwY7syi","12","Jon Bellion ~ All Time Low",19
"1zTW7xRtxmprjTUDi6bAHg","12","Jon Bellion ~ Woke The F*ck Up",19
"6vo7Y1iWyZvpjvFbf6BiZ5","03","Pritam ~ Kalank (Title Track)",18
"2R0FW1n6cOkQDJhAkQENsf","03","Ed Sheeran ~ Perfect",18
"1EzrEOXmMH3G43AXT1y7pA","04","Jason Mraz ~ I'm Yours",18
"3YPhgbRDotBitv4FQBnoum","04","Mauve ~ Just Stay",18
"6vo7Y1iWyZvpjvFbf6BiZ5","06","Pritam ~ Kalank (Title Track)",18
"1sjXaEmqj5cRMns8rWYnKe","07","Shoffy ~ I Can't Help",18
"6vo7Y1iWyZvpjvFbf6BiZ5","07","Pritam ~ Kalank (Title Track)",18
"75ls0gurX68lUmMjE7QcsE","08","Jeremy Zucker ~ all the kids are depressed",18
"2RttW7RAu5nOAfq6YFvApB","09","Ed Sheeran ~ Happier",18
"3AqPL1n1wKc5DVFFnYuJhp","09","The Cinematic Orchestra ~ To Build A Home",18
"2hFD70XI1S5HeGxasMvgbY","10","Jai Wolf ~ Indian Summer - Kasbo Remix",18
"6CcJMwBtXByIz4zQLzFkKc","10","Billie Eilish ~ i love you",18
"43zdsphuZLzwA9k4DJhU0I","11","Billie Eilish ~ when the party's over",18
"6PRyUxzDxfwhJjn71SNUkk","12","Mauve ~ Here Comes the Sun",18
"0SuLAslEMFZAXf0SwY7syi","01","Jon Bellion ~ All Time Low",17
"4VuD8WNAOnyaQ3OIxTi72J","01","Mitch James ~ Move On",17
"07ipXN6CNTw34qwSYePKpg","01","PRETTYMUCH ~ Summer on You",17
"78TTtXnFQPzwqlbtbwqN0y","02","Rihanna ~ FourFiveSeconds",17
"1T575AhHueYinKSDflEsGK","02","Julia Michaels ~ Heaven",17
"3m9St7c9tpJwNYN2adNESk","02","Mac Miller ~ Surf",17
"04ZYxCXou5i7JDgCRtyZ4l","04","Lolo Zouai ~ Summers in Vegas",17
"6vo7Y1iWyZvpjvFbf6BiZ5","05","Pritam ~ Kalank (Title Track)",17
"7vGuf3Y35N4wmASOKLUVVU","05","Marshmello ~ Silence",17
"2hDe0Ls5mVqs1XJqv7sbcM","06","Anuel AA ~ Futbol & Rumba (feat. Enrique Iglesias)",17
"0V5cvmTKsYmF5FmGGEAfmS","06","Patrick Watson ~ Je te laisserai des mots",17
"2ISSQPb9LHHiV6ng2NXosL","07","Zedd ~ Beautiful Now",17
"2hFD70XI1S5HeGxasMvgbY","07","Jai Wolf ~ Indian Summer - Kasbo Remix",17
"7cM9Kqto11iJpY2RwgVJSq","08","Quinn XCII ~ Flare Guns",17
"1EzrEOXmMH3G43AXT1y7pA","08","Jason Mraz ~ I'm Yours",17
"7cflqPPi3zWfLFRRBTWeh6","08","Jeremy Zucker ~ talk is overrated",17
"4OBZT9EnhYIV17t4pGw7ig","09","Daniel Caesar ~ Best Part (feat. H.E.R.)",17
"7wC5eZcFS1Q1BsQ35DU6H4","10","Billie Eilish ~ come out and play",17
"0u2P5u6lvoDfwTYjAADbn4","10","Billie Eilish ~ lovely (with Khalid)",17
"0GzuHFG4Ql6DoyxFRnIk3F","11","Maluma ~ Hawai - Remix",17
"0u2P5u6lvoDfwTYjAADbn4","11","Billie Eilish ~ lovely (with Khalid)",17
"5zCunX8URvLoBHlg1Fnjv6","12","Sleeping At Last ~ Already Gone",17
"5zxwumO0laRosoeOvbVSvc","12","Mitch James ~ Bright Blue Skies",17
"3umS4y3uQDkqekNjVpiRUs","12","Nicky Jam ~ El Amante",17
"5Y35SjAfXjjG0sFQ3KOxmm","12","SZA ~ Nobody Gets Me",17
"34gCuhDGsG4bRPIf9bb02f","12","Ed Sheeran ~ Thinking out Loud",17
"5zxwumO0laRosoeOvbVSvc","01","Mitch James ~ Bright Blue Skies",16
"3umS4y3uQDkqekNjVpiRUs","01","Nicky Jam ~ El Amante",16
"47hZWKFZVqF2wvHDIFhgcU","02","Mauve ~ Easy to Adore You",16
"1zTW7xRtxmprjTUDi6bAHg","02","Jon Bellion ~ Woke The F*ck Up",16
"5iwz1NiezX7WWjnCgY5TH4","03","Pedro Capo ~ Calma - Remix",16
"2AbPshGfRDKLlkM0lrDNTR","03","Bryant Myers ~ Tanta Falta Remix",16
"7pt64sepCy5QmDrgy9wOJS","03","Kamal. ~ blue",16
"0FknXlaOeXD7Vto1Hx9wtP","04","Party Favor ~ Caskets",16
"38LC7jHjifqs5EnYUv4BgG","04","Mat Kearney ~ Memorized",16
"0V5cvmTKsYmF5FmGGEAfmS","05","Patrick Watson ~ Je te laisserai des mots",16
"3YPhgbRDotBitv4FQBnoum","05","Mauve ~ Just Stay",16
"2ISSQPb9LHHiV6ng2NXosL","06","Zedd ~ Beautiful Now",16
"1FFd5yEjDOnQF6pRvyyaBC","07","Mr. Probz ~ Nothing Really Matters - Afrojack Remix",16
"3gbBpTdY8lnQwqxNCcf795","07","Bastille ~ Pompeii",16
"1pyGo7knT3LE2I1FJIrwdX","07","Quinn XCII ~ Stacy",16
"4yQluMXsIRql36ErBHux2f","07","Jeremy Zucker ~ you were good to me - shallou remix",16
"1fu5IQSRgPxJL2OTP7FVLW","08","Ed Sheeran ~ I See Fire",16
"45Egmo7icyopuzJN0oMEdk","08","Khalid ~ Love Lies (with Normani)",16
"6WdJAm69trFyexngKDHHVJ","08","A R I Z O N A ~ Oceans Away - Mansionair Remix",16
"4RtexJZ1OyRkDNlqVUt8Zt","08","Quinn XCII ~ Panama",16
"7qH9Z4dJEN0l9bidizW7fq","09","Novo Amor ~ Anchor",16
"1sjXaEmqj5cRMns8rWYnKe","09","Shoffy ~ I Can't Help",16
"3nc420PXjTdBV5TN0gCFkS","09","Martin Garrix ~ Ocean (feat. Khalid)",16
"2R0FW1n6cOkQDJhAkQENsf","09","Ed Sheeran ~ Perfect",16
"75ls0gurX68lUmMjE7QcsE","09","Jeremy Zucker ~ all the kids are depressed",16
"6CcJMwBtXByIz4zQLzFkKc","09","Billie Eilish ~ i love you",16
"7cflqPPi3zWfLFRRBTWeh6","09","Jeremy Zucker ~ talk is overrated",16
"2QEBXYzURjg7nY8FjbBcUt","10","Shallou ~ All Your Days",16
"18uwL0vNUanqZH0ro2QcOP","11","Jeremy Zucker ~ comethru",16
"1Qo0d8zRMFYfbfmjpBecwS","12","Rim'K ~ Cellophane",16
"6pWgRkpqVfxnj3WuIcJ7WP","12","Hans Zimmer ~ Cornfield Chase",16
"2iuNKcIOuHb9VIplN7NDoa","12","Maes ~ Distant",16
"7vAJiDFrFtMYVOrZbOw7jj","12","Trinidad Cardona ~ Hayya Hayya (Better Together) - Music from the FIFA World Cup Qatar 2022 Official Soundtrack",16
"3H8h60jhdQNu5s9HHTLdFr","12","San Holo ~ IT HURTS!",16
"5AKJMGENVpdL2xnizLUhkR","12","Roxy Tones ~ Malibu Nights",16
"3WRQUvzRvBDr4AxMWhXc5E","12","Petit Biscuit ~ Sunset Lover",16
"1DlaT8Fmz5qe16aqEMnmFp","12","Lacrim ~ Veux-tu ?",16
"7wC5eZcFS1Q1BsQ35DU6H4","12","Billie Eilish ~ come out and play",16
"4q1WaJZoHTtojqDHX8QvaC","02","VAX ~ Fireproof (feat. Teddy Sky)",15
"3tJjZMHLqhD8DaGgdBICnc","02","Sleeping At Last ~ Saturn",15
"7xPQY7skgsujvvVyoE5lBi","03","The Piano Guys ~ Beethoven's 5 Secrets",15
"5uEcslrmFzkDqTaFB26yj2","03","The Piano Guys ~ The Cello Song",15
"18uwL0vNUanqZH0ro2QcOP","03","Jeremy Zucker ~ comethru",15
"2EEmzqzM70CybVspgM7YRT","04","Mau y Ricky ~ La Boca - Remix",15
"09oZ9eXQ2fo6YDrPzJqAoP","04","Khalid ~ Outta My Head (with John Mayer)",15
