"Year","Artist","Plays"
"2017","Lupe Fiasco",172
"2018","Mac Miller",172
"2017","Amine",171
"2018","Swae Lee, Slim Jxmmi, Rae Sremmurd",171
"2020","Anderson .Paak",171
"2020","Joey Bada$$",171
"2020","Lil Uzi Vert, Future",169
"2019","Mac Miller",168
"2020","Isaiah Rashad",168
"2019","Bryson Tiller",167
"2016","A Tribe Called Quest",166
"2016","6LACK",165
"2022","Buddy",165
"2019","A Boogie wit da Hoodie",164
"2022","Gunna",163
"2018","KIDS SEE GHOSTS",162
"2020","Playboi Carti",162
"2022","Saba",162
"2016","Snoop Dogg",161
"2019","Mir Fontane",161
"2020","The Weeknd",161
"2021","J. Cole",161
"2022","Denzel Curry",161
"2016","Dr. Dre",160
"2022","Trippie Redd",160
"2017","NAV",159
"2017","JAY-Z",158
"2016","Childish Gambino",157
"2020","Lil Wayne",156
"2020","Young Thug",156
"2022","Kid Cudi",156
"2017","blackbear",155
"2018","Daniel Caesar",154
"2018","Lil Wayne",154
"2021","Roddy Ricch",152
"2020","The Beach Boys",151
"2021","The Beatles",151
"2018","Mike WiLL Made-It",150
"2020","Knxwledge",149
"2016","Mac Miller",148
"2020","Ramzoid",146
"2022","Young Thug",146
"2017","VIC MENSA",145
"2022","A Boogie wit da Hoodie",145
"2017","Travis Scott, Quavo, HUNCHO JACK",144
"2021","Young Thug",144
"2022","JID",144
"2020","Rich The Kid",143
"2022","Frank Ocean",143
"2018","Kevin Gates",142
"2021","A$AP Rocky",142
"2016","Domo Genesis",141
"2017","2 Chainz",141
"2017","Lil Yachty",141
"2017","XXXTENTACION",141
"2021","Tory Lanez",141
"2022","redveil",141
"2022","A$AP Rocky",140
"2020","Kid Cudi",139
"2021","Cage the Elephant",139
"2022","BROCKHAMPTON",139
"2022","Daniel Caesar",139
"2016","Ab-Soul",138
"2017","Dave East",138
"2019","Offset",138
"2020","Kanye West",138
"2018","Lil Peep",137
"2018","Chance the Rapper",136
"2016","Pusha T",135
"2018","Amine",135
"2019","Logic",135
"2017","Rick Ross",134
"2022","J. Cole",134
"2019","Beast Coast",133
"2020","Polo G",133
"2021","Juice WRLD",133
"2016","A$AP Mob",132
"2018","Ski Mask the Slump God",132
"2020","Logic",132
"2021","Playboi Carti",132
"2022","Juice WRLD",132
"2022","Pusha T",131
"2017","6LACK",129
"2018","Joey Purp",129
"2020","Smino",129
"2021","Earl Sweatshirt",128
"2018","Nas",127
"2019","WESTSIDE BOOGIE",127
"2018","Dr. Dre",126
"2019","Post Malone",126
"2022","Amine",126
"2022","Mac Miller",126
"2022","Patrick Cc:, Jonah Zed",126
"2017","Big K.R.I.T.",125
"2020","The 1975",125
"2022","MAVI",125
"2022","ScHoolboy Q",125
"2016","Nas",124
"2022","Lil Baby",124
"2022","Playboi Carti",124
"2022","Wallows",124
"2018","Metro Boomin",123
"2021","Guapdad 4000, !llmind",123
"2022","Jaden",123
"2022","Roddy Ricch",122
"2016","Earl Sweatshirt",121
"2021","Smino",121
"2017","Logic",120
"2017","The Underachievers",120
"2019","Daniel Caesar",120
"2016","Desiigner",119
"2019","Kid Cudi",119
"2018","Mir Fontane",118
"2018","Sheck Wes",118
"2019","JID",118
"2020","Frank Ocean",117
"2018","Ty Dolla $ign",116
"2022","Radiohead",116
"2017","Action Bronson",115
"2022","The 1975",115
"2018","Kid Cudi",114
"2022","Felly",114
"2022","NxWorries, Knxwledge, Anderson .Paak",114
"2021","Radiohead",113
"2022","SiR",113
"2017","Meek Mill",112
"2018","Southside, G Herbo",112
"2021","VIC MENSA",112
"2018","Buddy",111
"2019","EARTHGANG",111
"2020","Pink Floyd",111
"2020","Trippie Redd",111
"2018","A$AP Mob",110
"2017","Kirk Knight",109
"2018","Quavo",109
"2019","Jaden",108
"2020","Felly",108
"2020","Gunna",108
"2020","NxWorries, Knxwledge, Anderson .Paak",108
"2021","Anderson .Paak",107
"2017","Eminem",106
"2021","Jazz Cartier",106
"2021","Polo G",106
"2022","Arctic Monkeys",105
"2017","Young Thug, Future",104
"2020","Pop Smoke",104
"2021","A Boogie wit da Hoodie",104
"2016","Eminem",103
"2018","Kirk Knight",103
"2018","Wiz Khalifa",103
"2019","BROCKHAMPTON",101
"2019","Frank Ocean",101
"2019","whiterosemoxie",100
"2020","ScHoolboy Q",100
"2019","2 Chainz",99
"2019","Jay Rock",99
"2019","Jazz Cartier",99
"2021","Daniel Caesar",99
"2018","Takeoff",98
"2021","Ty Dolla $ign",98
"2022","The Beach Boys",97
"2022","The Beatles",97
"2018","REASON",95
"2022","Baby Keem",95
"2018","Eminem",94
"2019","Flatbush Zombies",94
"2022","tsubi club",94
"2017","MadeinTYO",93
"2021","SiR",93
"2022","Grouplove",93
"2018","Famous Dex",91
"2022","Beach House",91
"2017","DJ Khaled",90
"2018","Lil Baby, Gunna",90
"2018","Meek Mill",90
"2018","Chester Watson",89
"2019","Mike WiLL Made-It",89
"2017","A Tribe Called Quest",87
"2018","Juice WRLD, Future",87
"2019","Buddy",86
"2022","Ramzoid",86
"2017","Dr. Dre",85
"2019","Chance the Rapper",85
"2019","Joey Purp",85
"2016","Big Sean",84
"2017","Snoop Dogg",84
"2021","Kill Jasper",84
"2021","Trippie Redd",84
"2019","Amine",83
"2019","DaBaby",83
"2020","Tyler, The Creator",83
"2022","Anderson .Paak",83
"2016","DJ Khaled",82
"2018","Ariana Grande",82
"2022","PnB Rock",82
"2018","Rae Sremmurd",81
"2020","Arctic Monkeys",81
"2022","Ty Dolla $ign",81
"2017","Rae Sremmurd",80
"2017","Tee Grizzley",80
"2021","Chance the Rapper",80
"2021","The Black Keys",80
"2018","NAV",79
"2022","Cage the Elephant",79
"2018","Aries",78
"2018","Chuck Strangers",77
"2021","Jaden",77
"2020","Travis Scott, Quavo, HUNCHO JACK",76
"2021","DJ Khaled",76
"2017","Miguel",75
"2017","Post Malone",75
"2018","Ramzoid",75
"2019","21 Savage",75
"2022","Mere Raj",75
"2019","Ariana Grande",74
"2021","JID",74
"2021","NxWorries, Knxwledge, Anderson .Paak",74
"2017","Danny Brown",73
"2018","Joyner Lucas",73
"2019","Migos",73
"2020","Earl Sweatshirt",73
"2021","Danny Brown",73
"2021","Statik Selektah, Kota the Friend",73
"2018","G Herbo",72
"2020","J. Cole",72
"2021","Felly",72
"2021","Hippo Campus",72
"2021","slowthai",72
"2022","Jazz Cartier",72
"2022","Logic",72
"2019","Comethazine",71
"2020","Ty Dolla $ign",71
"2021","Lil Durk, Lil Baby",71
"2021","Post Malone",71
"2018","Johnny Rain",70
"2018","Tyler, The Creator",70
"2021","Logic",70
"2016","OutKast",69
"2017","Flatbush Zombies",69
"2017","French Montana",69
"2017","Kodak Black",69
"2017","Young Thug, Travis Scott",69
"2018","Action Bronson",69
"2018","PnB Rock",69
"2022","VIC MENSA",69
"2017","Ski Mask the Slump God",68
"2018","21 Savage",68
"2018","6LACK",68
"2018","Smokepurpp, Murda Beatz",68
"2019","Danny Brown",68
"2019","Metro Boomin",68
"2018","Kendrick Lamar, Jay Rock, James Blake, Future",67
"2018","MihTy",67
"2019","Khalid",67
"2019","Travis Scott, Quavo, HUNCHO JACK",67
"2021","Athan",67
"2021","midwxst",67
"2017","GoldLink",66
"2022","Polo G",66
"2020","JID",65
"2021","No Fun Haus",65
"2022","Dr. Dre",65
"2022","Madlib, Freddie Gibbs",65
"2017","Calvin Harris",64
"2018","A Boogie wit da Hoodie",64
"2018","The Weeknd",64
"2020","A$AP Rocky",64
"2022","The Black Keys",64
"2017","Nyck @ Knight",63
"2019","Pusha T",63
"2020","Jazz Cartier",63
"2020","Kenny Beats, 03 Greedo",63
"2020","VIC MENSA",63
"2021","The Weeknd",63
"2019","SiR",62
"2021","Lil Baby",62
"2016","Future",61
"2017","Mac Miller",61
"2018","YBN Nahmir",61
"2018","YG",61
