"SchoolPeriod","Artist","Plays"
"Freshman Year","Dayglow",19
"Freshman Year","Electric Light Orchestra",19
"Freshman Year","Lynyrd Skynyrd",19
"Freshman Year","Martin Garrix",19
"Freshman Year","Shankar Mahadevan",19
"Freshman Year","The Chainsmokers",19
"Freshman Year","benny blanco",19
"Freshman-Sophomore Summer","Frank Ocean",19
"Freshman-Sophomore Summer","Milky Chance",19
"Freshman-Sophomore Summer","Pacific Air",19
"Sophomore Year","Casiio",19
"Sophomore Year","SZA",19
"Sophomore Year","Tiesto",19
"Sophomore Year","fun.",19
"Sophomore-Junior Summer","A$AP Rocky",19
"10th Grade","2 Chainz",18
"10th Grade","A Boogie Wit da Hoodie",18
"10th-11th Summer","Juice WRLD",18
"10th-11th Summer","Machine Gun Kelly",18
"10th-11th Summer","Ty Dolla $ign",18
"11th Grade","Famous Dex",18
"11th Grade","Roy Woods",18
"11th-12th Summer","Tyler, The Creator",18
"12th Grade","Eagles",18
"12th-Freshman Summer","Justin Bieber",18
"12th-Freshman Summer","R.E.M.",18
"12th-Freshman Summer","Tame Impala",18
"8th Grade","No Wyld",18
"9th-10th Summer","Taylor Swift",18
"Freshman Year","B.o.B",18
"Freshman Year","Billie Eilish",18
"Freshman Year","Black Eyed Peas",18
"Freshman Year","Fitz and The Tantrums",18
"Freshman Year","The Band",18
"Freshman-Sophomore Summer","Maroon 5",18
"Freshman-Sophomore Summer","Shoreline Mafia",18
"Sophomore Year","CHASE B",18
"Sophomore Year","Chris Brown",18
"Sophomore Year","Ludacris",18
"Sophomore Year","Pi'erre Bourne",18
"Sophomore-Junior Summer","Ice Cube",18
"Sophomore-Junior Summer","Mac Miller",18
"Sophomore-Junior Summer","Young Stoner Life",18
"10th Grade","French Montana",17
"10th Grade","J Balvin",17
"10th Grade","NF",17
"10th Grade","SZA",17
"10th Grade","The Wanted",17
"10th-11th Summer","Bruno Mars",17
"11th Grade","Capital Cities",17
"11th Grade","Creedence Clearwater Revival",17
"12th Grade","ABBA",17
"12th Grade","Ace Frehley",17
"12th Grade","Eamonn Watt",17
"12th Grade","Johannes Bornlof",17
"12th Grade","Logic",17
"12th Grade","Shankar-Ehsaan-Loy",17
"12th-Freshman Summer","Aerosmith",17
"12th-Freshman Summer","Boston",17
"12th-Freshman Summer","Calvin Harris",17
"12th-Freshman Summer","Death Cab for Cutie",17
"12th-Freshman Summer","The Velvet Underground",17
"8th Grade","Gabriel Antonio",17
"9th Grade","Jason Derulo",17
"9th Grade","Joey Bada$$",17
"9th-10th Summer","Bryson Tiller",17
"Freshman Year","Foster The People",17
"Freshman Year","Gotye",17
"Freshman Year","Luna Shadows",17
"Freshman Year","Tim Hardin",17
"Freshman-Sophomore Summer","Doja Cat",17
"Freshman-Sophomore Summer","Dreamville",17
"Freshman-Sophomore Summer","MKTO",17
"Freshman-Sophomore Summer","OneRepublic",17
"Freshman-Sophomore Summer","Pitbull",17
"Sophomore Year","A$AP Rocky",17
"Sophomore Year","BROCKHAMPTON",17
"Sophomore Year","Ellie Goulding",17
"Sophomore Year","French Montana",17
"Sophomore Year","GoldLink",17
"Sophomore Year","Mike Posner",17
"Sophomore Year","Milky Chance",17
"Sophomore Year","SOB X RBE",17
"Sophomore Year","Sleepy Hallow",17
"Sophomore Year","The Doobie Brothers",17
"Sophomore-Junior Summer","GROUPLOVE",17
"Sophomore-Junior Summer","JACKBOYS",17
"Sophomore-Junior Summer","Justin Timberlake",17
"Sophomore-Junior Summer","Migos",17
"Sophomore-Junior Summer","Polo G",17
"Sophomore-Junior Summer","Wallows",17
"10th Grade","Demi Lovato",16
"10th Grade","Frank Ocean",16
"10th Grade","Justin Bieber",16
"10th Grade","Yung Gravy",16
"10th Grade","ZAYN",16
"11th Grade","ILOVEMAKONNEN",16
"11th-12th Summer","Daft Punk",16
"11th-12th Summer","Shaan",16
"12th Grade","A.R. Rahman",16
"12th Grade","Joey Bada$$",16
"12th Grade","Lynyrd Skynyrd",16
"12th Grade","Meek Mill",16
"12th Grade","Tom Petty and the Heartbreakers",16
"12th-Freshman Summer","Bruno Mars",16
"12th-Freshman Summer","Jimi Hendrix",16
"12th-Freshman Summer","K'NAAN",16
"12th-Freshman Summer","Lil Wayne",16
"12th-Freshman Summer","NAV",16
"12th-Freshman Summer","Peter Green",16
"8th Grade","Alan Walker",16
"9th Grade","Khalid",16
"9th-10th Summer","Flo Rida",16
"9th-10th Summer","Joey Bada$$",16
"Freshman Year","Janis Joplin",16
"Freshman Year","SZA",16
"Freshman Year","Van Morrison",16
"Freshman-Sophomore Summer","Don Omar",16
"Sophomore Year","Arizona Zervas",16
"Sophomore Year","Estelle",16
"Sophomore Year","Martin Garrix",16
"Sophomore Year","NAV",16
"Sophomore Year","PARTYNEXTDOOR",16
"Sophomore Year","The Lemonheads",16
"Sophomore Year","Zacari",16
"Sophomore-Junior Summer","DJ Khaled",16
"10th Grade","Eagles",15
"10th Grade","Kid Cudi",15
"10th Grade","Pitbull",15
"10th Grade","Skrillex",15
"10th-11th Summer","G-Eazy",15
"10th-11th Summer","SOB X RBE",15
"10th-11th Summer","ScHoolboy Q",15
"10th-11th Summer","Zacari",15
"11th Grade","Halsey",15
"11th Grade","Nicki Minaj",15
"11th Grade","Tyga",15
"11th-12th Summer","Chris Brown",15
"11th-12th Summer","Sunidhi Chauhan",15
"11th-12th Summer","benny blanco",15
"12th Grade","The Rolling Stones",15
"12th Grade","will.i.am",15
"12th-Freshman Summer","JAY-Z",15
"12th-Freshman Summer","Juice WRLD",15
"12th-Freshman Summer","Pitbull",15
"12th-Freshman Summer","TOTO",15
"12th-Freshman Summer","The Wanted",15
"12th-Freshman Summer","Usher",15
"12th-Freshman Summer","mike.",15
"8th Grade","Moxie Raia",15
"Freshman Year","Country Joe & The Fish",15
"Freshman Year","Glen Campbell",15
"Freshman Year","Hailee Steinfeld",15
"Freshman Year","Joey Bada$$",15
"Freshman Year","Johnny Winter",15
"Freshman Year","Justin Bieber",15
"Freshman Year","Marshmello",15
"Freshman Year","Sly & The Family Stone",15
"Freshman Year","The Jackson 5",15
"Freshman-Sophomore Summer","Dua Lipa",15
"Freshman-Sophomore Summer","Duke Ellington",15
"Freshman-Sophomore Summer","Ellie Goulding",15
"Freshman-Sophomore Summer","Logic",15
"Freshman-Sophomore Summer","M83",15
"Freshman-Sophomore Summer","One Direction",15
"Sophomore Year","Earth, Wind & Fire",15
"Sophomore Year","Ice Cube",15
"Sophomore Year","Internet Money",15
"Sophomore Year","Jonas Blue",15
"Sophomore Year","Kodak Black",15
"Sophomore Year","Lynyrd Skynyrd",15
"Sophomore Year","Meek Mill",15
"Sophomore Year","NxWorries",15
"Sophomore Year","The Killers",15
"Sophomore-Junior Summer","Daft Punk",15
"Sophomore-Junior Summer","Daryl Hall & John Oates",15
"Sophomore-Junior Summer","Pink Floyd",15
"Sophomore-Junior Summer","Selena Gomez",15
"10th Grade","Macklemore",14
"10th Grade","Marshmello",14
"10th Grade","Roy Woods",14
"10th-11th Summer","Huncho Jack",14
"10th-11th Summer","Jay Rock",14
"10th-11th Summer","NAV",14
"11th Grade","Diddy",14
"11th Grade","Fleetwood Mac",14
"11th Grade","Kirko Bangz",14
"11th Grade","Mac Miller",14
"11th Grade","Macklemore & Ryan Lewis",14
"11th Grade","Rex Orange County",14
"11th Grade","Shaan",14
"11th-12th Summer","Ansel Elgort",14
"11th-12th Summer","DNCE",14
"11th-12th Summer","Mura Masa",14
"12th Grade","Chad Lawson",14
"12th Grade","Charles Bolt",14
"12th Grade","Elliot Ziegler",14
"12th Grade","Elton John",14
"12th Grade","Polo G",14
"12th-Freshman Summer","Charlie Puth",14
"12th-Freshman Summer","Creedence Clearwater Revival",14
"12th-Freshman Summer","DaBaby",14
"12th-Freshman Summer","ILOVEMAKONNEN",14
"12th-Freshman Summer","John Newman",14
"12th-Freshman Summer","Kirko Bangz",14
"12th-Freshman Summer","fun.",14
"8th Grade","David Guetta",14
"8th Grade","Lana Del Rey",14
"9th-10th Summer","The Weeknd",14
"Freshman Year","6LACK",14
"Freshman Year","Crosby, Stills & Nash",14
"Freshman Year","Imagine Dragons",14
"Freshman Year","Jefferson Airplane",14
"Freshman Year","Metro Boomin",14
"Freshman Year","Robinson",14
"Freshman Year","Sha Na Na",14
"Freshman Year","Supertramp",14
"Freshman Year","Sweetwater",14
"Freshman-Sophomore Summer","Jef Miles",14
"Freshman-Sophomore Summer","Khalid",14
"Freshman-Sophomore Summer","Lil Nas X",14
"Freshman-Sophomore Summer","Lil Tecca",14
"Freshman-Sophomore Summer","Metro Boomin",14
"Freshman-Sophomore Summer","Olivia Rodrigo",14
"Freshman-Sophomore Summer","Owl City",14
"Sophomore Year","Elton John",14
"Sophomore Year","Led Zeppelin",14
"Sophomore Year","The Rolling Stones",14
"Sophomore Year","XXXTENTACION",14
"Sophomore Year","kudo",14
"Sophomore-Junior Summer","A Boogie Wit da Hoodie",14
"Sophomore-Junior Summer","Fleetwood Mac",14
"Sophomore-Junior Summer","JAY-Z",14
"Sophomore-Junior Summer","Lynyrd Skynyrd",14
"Sophomore-Junior Summer","Nirvana",14
"Sophomore-Junior Summer","Pitbull",14
"Sophomore-Junior Summer","Pop Smoke",14
"10th Grade","Ed Sheeran",13
"10th Grade","Kris Wu",13
"10th Grade","Lorde",13
"10th Grade","Russ",13
"10th-11th Summer","2 Chainz",13
"10th-11th Summer","OneRepublic",13
"10th-11th Summer","Vince Staples",13
"11th Grade","Kris Wu",13
"11th Grade","Macklemore",13
"11th Grade","NF",13
"11th Grade","P-Lo",13
"11th Grade","Shankar-Ehsaan-Loy",13
"11th-12th Summer","John Newman",13
"11th-12th Summer","Kris Wu",13
"11th-12th Summer","Vishal Dadlani",13
"12th Grade","Fleetwood Mac",13
"12th Grade","Franz Gordon",13
"12th Grade","G-Eazy",13
"12th Grade","Gavin Luke",13
"12th Grade","Green Day",13
"12th Grade","Max Richter",13
"12th Grade","Tomasz Kraal",13
"12th Grade","Wale",13
"12th-Freshman Summer","Hailee Steinfeld",13
"12th-Freshman Summer","Tom Petty",13
"12th-Freshman Summer","iann dior",13
"8th Grade","Troye Sivan",13
"9th-10th Summer","A Boogie Wit da Hoodie",13
"9th-10th Summer","Ed Sheeran",13
"9th-10th Summer","Khalid",13
"9th-10th Summer","Kid Ink",13
"9th-10th Summer","Young Money",13
"Freshman Year","Blood, Sweat & Tears",13
"Freshman Year","Bob Seger",13
"Freshman Year","Eurythmics",13
"Freshman Year","G-Eazy",13
"Freshman Year","Jef Miles",13
"Freshman Year","Kishore Kumar",13
"Freshman Year","MGMT",13
"Freshman Year","Macklemore & Ryan Lewis",13
"Freshman Year","NAV",13
"Freshman-Sophomore Summer","Justin Timberlake",13
"Freshman-Sophomore Summer","Lil Baby",13
"Freshman-Sophomore Summer","Portugal. The Man",13
"Freshman-Sophomore Summer","The Chainsmokers",13
"Sophomore Year","21 Savage",13
"Sophomore Year","Andre Nickatina",13
"Sophomore Year","Eagles",13
"Sophomore Year","Endor",13
"Sophomore Year","Gesaffelstein",13
"Sophomore Year","Hoogway",13
"Sophomore Year","John Newman",13
"Sophomore Year","Redbone",13
"Sophomore Year","Roy Woods",13
"Sophomore Year","Selena Gomez",13
"Sophomore Year","Van Morrison",13
"Sophomore-Junior Summer","2Pac",13
"Sophomore-Junior Summer","Eminem",13
"Sophomore-Junior Summer","Kodak Black",13
"Sophomore-Junior Summer","Rihanna",13
"Sophomore-Junior Summer","Souls Of Mischief",13
"Sophomore-Junior Summer","Wiz Khalifa",13
"10th Grade","AC/DC",12
"10th Grade","Boston",12
"10th Grade","Bryson Tiller",12
"10th Grade","Charlie Puth",12
"10th Grade","Gym Class Heroes",12
"10th Grade","Jorja Smith",12
"10th Grade","P!nk",12
"10th Grade","Taylor Swift",12
"10th-11th Summer","Young Thug",12
"11th Grade","Amine",12
"11th Grade","Electric Light Orchestra",12
"11th Grade","Trippie Redd",12
"11th-12th Summer","Childish Gambino",12
"11th-12th Summer","Udit Narayan",12
"12th Grade","Alexandra Streliski",12
"12th Grade","Karin Borg",12
"12th Grade","Luh Kel",12
"12th Grade","TOTO",12
"12th Grade","Tom Petty",12
"12th-Freshman Summer","A$AP Rocky",12
"12th-Freshman Summer","ABBA",12
"12th-Freshman Summer","Ariana Grande",12
"12th-Freshman Summer","Eminem",12
"12th-Freshman Summer","Foster The People",12
"12th-Freshman Summer","Future",12
"12th-Freshman Summer","PARTYNEXTDOOR",12
"12th-Freshman Summer","Russ",12
"8th Grade","Bombs Away",12
"8th Grade","Peking Duk",12
"8th Grade","Sean Paul",12
"9th Grade","The Script",12
"9th-10th Summer","Playboi Carti",12
"Freshman Year","Canned Heat",12
"Freshman Year","Capital Cities",12
"Freshman Year","GoldLink",12
"Freshman Year","Labh Janjua",12
"Freshman Year","Lil Tecca",12
"Freshman Year","Meek Mill",12
"Freshman Year","P-Lo",12
"Freshman Year","Pacific Air",12
"Freshman-Sophomore Summer","42 Dugg",12
"Freshman-Sophomore Summer","Mike Posner",12
"Freshman-Sophomore Summer","Red Hot Chili Peppers",12
"Freshman-Sophomore Summer","Rihanna",12
"Freshman-Sophomore Summer","Tory Lanez",12
"Sophomore Year","Bryce Hase",12
"Sophomore Year","DaBaby",12
"Sophomore Year","Halsey",12
"Sophomore Year","Jaden",12
"Sophomore Year","James Vasanthan",12
"Sophomore Year","KIDS SEE GHOSTS",12
"Sophomore-Junior Summer","GoldLink",12
"Sophomore-Junior Summer","Mike Posner",12
"Sophomore-Junior Summer","The Jackson 5",12
"10th Grade","Ellie Goulding",11
"10th Grade","Fitz and The Tantrums",11
"10th Grade","Halsey",11
"10th Grade","Lynyrd Skynyrd",11
"10th-11th Summer","Clean Bandit",11
"10th-11th Summer","Led Zeppelin",11
"10th-11th Summer","Lil Uzi Vert",11
"11th Grade","Lil Mosey",11
"11th Grade","Pacific Air",11
"11th Grade","Phil Collins",11
"11th Grade","boy pablo",11
"11th-12th Summer","ABBA",11
"11th-12th Summer","Black Eyed Peas",11
"11th-12th Summer","The Weeknd",11
"11th-12th Summer","Y2K",11
"12th Grade","Adam Fincher",11
"12th Grade","Aerosmith",11
"12th Grade","Ever So Blue",11
"12th Grade","Hailee Steinfeld",11
"12th Grade","Joep Beving",11
"12th Grade","Lil Yachty",11
"12th Grade","Piano Novel",11
"12th-Freshman Summer","Alina Baraz",11
"12th-Freshman Summer","Avicii",11
"12th-Freshman Summer","Childish Gambino",11
"12th-Freshman Summer","Dreamville",11
"8th Grade","Jewelz",11
"8th Grade","Mike Posner",11
"8th Grade","Outasight",11
"9th Grade","Young Thug",11
"9th-10th Summer","Rich Brian",11
"Freshman Year","Ariana Grande",11
"Freshman Year","DNCE",11
"Freshman Year","Imran Khan",11
"Freshman Year","Joan Baez",11
"Freshman Year","Logic",11
"Freshman Year","Mustard",11
"Freshman Year","Pop Smoke",11
"Freshman Year","blackbear",11
"Freshman-Sophomore Summer","24kGoldn",11
"Freshman-Sophomore Summer","A Boogie Wit da Hoodie",11
"Freshman-Sophomore Summer","B.o.B",11
"Freshman-Sophomore Summer","Mustard",11
"Freshman-Sophomore Summer","Pi'erre Bourne",11
"Freshman-Sophomore Summer","Post Malone",11
"Sophomore Year","6LACK",11
"Sophomore Year","Avicii",11
"Sophomore Year","B.o.B",11
"Sophomore Year","Black Eyed Peas",11
"Sophomore Year","JID",11
"Sophomore Year","Jhove",11
"Sophomore Year","Mac Dre",11
"Sophomore Year","Old Man Canyon",11
"Sophomore Year","Shankar Mahadevan",11
"Sophomore Year","Tee Grizzley",11
"Sophomore Year","Tom Petty",11
"Sophomore Year","blackbear",11
"Sophomore-Junior Summer","21 Savage",11
"Sophomore-Junior Summer","Fetty Wap",11
"Sophomore-Junior Summer","George Harrison",11
"Sophomore-Junior Summer","KIDS SEE GHOSTS",11
"Sophomore-Junior Summer","Lil Baby",11
"Sophomore-Junior Summer","Masego",11
"Sophomore-Junior Summer","OneRepublic",11
"Sophomore-Junior Summer","Pharrell Williams",11
"Sophomore-Junior Summer","The Temptations",11
"Sophomore-Junior Summer","Tiesto",11
"10th Grade","Ab-Soul",10
"10th Grade","American Authors",10
"10th Grade","Jaden",10
"10th Grade","Pacific Air",10
"10th Grade","Portugal. The Man",10
"10th Grade","Queen",10
"10th Grade","Taio Cruz",10
"10th Grade","Tom Petty",10
"10th-11th Summer","21 Savage",10
"10th-11th Summer","Ansel Elgort",10
"10th-11th Summer","Ariana Grande",10
"10th-11th Summer","DJ Khaled",10
"10th-11th Summer","Lil Wayne",10
"10th-11th Summer","Tyga",10
"10th-11th Summer","Usher",10
"11th Grade","Adele",10
"11th Grade","Blueface",10
"11th Grade","Jay Rock",10
"11th Grade","Juice WRLD",10
"11th Grade","Kid Cudi",10
"11th Grade","Red Hot Chili Peppers",10
"11th-12th Summer","Ariana Grande",10
"11th-12th Summer","Fetty Wap",10
"11th-12th Summer","George Harrison",10
"11th-12th Summer","Khalid",10
"11th-12th Summer","Neha Kakkar",10
"11th-12th Summer","Roddy Ricch",10
"11th-12th Summer","Skrillex",10
"11th-12th Summer","The Police",10
"11th-12th Summer","The Wanted",10
"11th-12th Summer","ZAYN",10
"12th Grade","Boston",10
"12th Grade","Major Lazer",10
"12th Grade","Oneke",10
"12th Grade","The Temptations",10
"12th Grade","Yung Gravy",10
"12th-Freshman Summer","A.R. Rahman",10
"12th-Freshman Summer","Ansel Elgort",10
"12th-Freshman Summer","Fetty Wap",10
"12th-Freshman Summer","Fleetwood Mac",10
"12th-Freshman Summer","George Harrison",10
"12th-Freshman Summer","Old Man Canyon",10
"8th Grade","Sia",10
"9th Grade","Calvin Harris",10
"9th-10th Summer","Major Lazer",10
"Freshman Year","Aitch",10
"Freshman Year","Big Sean",10
"Freshman Year","Cordae",10
"Freshman Year","John Newman",10
"Freshman Year","Migos",10
"Freshman Year","NxWorries",10
"Freshman Year","Richie Havens",10
"Freshman Year","Shaan",10
"Freshman Year","Ten Years After",10
"Freshman Year","The Paul Butterfield Blues Band",10
"Freshman Year","Usher",10
"Freshman-Sophomore Summer","2 Chainz",10
"Freshman-Sophomore Summer","David Guetta",10
"Freshman-Sophomore Summer","Estelle",10
"Freshman-Sophomore Summer","Foster The People",10
"Freshman-Sophomore Summer","Roy Woods",10
"Freshman-Sophomore Summer","Tom Petty",10
"Freshman-Sophomore Summer","fun.",10
"Sophomore Year","A.R. Rahman",10
"Sophomore Year","Big Sean",10
"Sophomore Year","Billie Eilish",10
"Sophomore Year","Dayglow",10
"Sophomore Year","ILOVEMAKONNEN",10
"Sophomore Year","Jason Derulo",10
"Sophomore Year","Justin Timberlake",10
"Sophomore Year","Lil Mosey",10
"Sophomore Year","P. Susheela",10
"Sophomore Year","The J. Geils Band",10
"Sophomore Year","The Police",10
"Sophomore Year","The Strokes",10
"Sophomore Year","Wham!",10
"Sophomore Year","Wiz Khalifa",10
"Sophomore Year","brillion.",10
"Sophomore-Junior Summer","Avicii",10
"Sophomore-Junior Summer","Chance the Rapper",10
"Sophomore-Junior Summer","Doja Cat",10
"Sophomore-Junior Summer","Electric Guest",10
"Sophomore-Junior Summer","Mac DeMarco",10
"Sophomore-Junior Summer","Metro Boomin",10
"Sophomore-Junior Summer","NAV",10
"Sophomore-Junior Summer","Rae Sremmurd",10
"Sophomore-Junior Summer","Red Hot Chili Peppers",10
"Sophomore-Junior Summer","Zacari",10
"10th Grade","Amine",9
"10th Grade","Ansel Elgort",9
"10th Grade","Huncho Jack",9
"10th Grade","ILOVEMAKONNEN",9
"10th Grade","James Arthur",9
"10th Grade","Journey",9
"10th Grade","Red Hot Chili Peppers",9
"10th Grade","Rihanna",9
"10th-11th Summer","6LACK",9
"10th-11th Summer","Future",9
"10th-11th Summer","SZA",9
"11th Grade","Eurythmics",9
"11th Grade","Mike WiLL Made-It",9
"11th Grade","Tee Grizzley",9
"11th Grade","Zedd",9
"11th-12th Summer","Beyonce",9
"11th-12th Summer","Major Lazer",9
"11th-12th Summer","Selena Gomez",9
"12th Grade","Aaron Lansing",9
"12th Grade","Amine",9
"12th Grade","Anderson .Paak",9
"12th Grade","Bon Jovi",9
"12th Grade","DJ Khaled",9
"12th Grade","Jay Rock",9
"12th Grade","Jethro Tull",9
"12th Grade","Kylian Rebour",9
"12th Grade","Lambert",9
"12th Grade","Melanie Adler",9
"12th Grade","Moux",9
"12th Grade","Novo Talos",9
"12th Grade","Otto A. Totland",9
"12th Grade","Rhiannon Bannenberg",9
"12th Grade","Samuel Lindon",9
"12th Grade","Shakira",9
"12th Grade","The Velvet Underground",9
"12th-Freshman Summer","Daft Punk",9
"12th-Freshman Summer","Green Day",9
"12th-Freshman Summer","Joni Mitchell",9
"12th-Freshman Summer","Lynyrd Skynyrd",9
"12th-Freshman Summer","Pop Smoke",9
"12th-Freshman Summer","The Chainsmokers",9
"8th Grade","Ira Wolf",9
"9th Grade","A Boogie Wit da Hoodie",9
"Freshman Year","Aerosmith",9
"Freshman Year","Akon",9
"Freshman Year","Blind Faith",9
"Freshman Year","Chance the Rapper",9
"Freshman Year","Galantis",9
"Freshman Year","Grateful Dead",9
"Freshman Year","Huncho Jack",9
"Freshman Year","John Sebastian",9
"Freshman Year","Kodhanda Raman",9
"Freshman Year","Looking Glass",9
"Freshman Year","Melanie",9
"Freshman Year","NF",9
"Freshman Year","Ty Dolla $ign",9
"Freshman Year","Yes",9
"Freshman-Sophomore Summer","Aries",9
"Freshman-Sophomore Summer","Briston Maroney",9
"Freshman-Sophomore Summer","Dayglow",9
"Freshman-Sophomore Summer","Imagine Dragons",9
"Freshman-Sophomore Summer","KYLE",9
"Freshman-Sophomore Summer","Lil Wayne",9
"Freshman-Sophomore Summer","Robinson",9
"Sophomore Year","Amine",9
"Sophomore Year","Capital Cities",9
"Sophomore Year","Chance the Rapper",9
"Sophomore Year","Daryl Hall & John Oates",9
"Sophomore Year","Far East Movement",9
"Sophomore Year","Galantis",9
"Sophomore Year","JACKBOYS",9
"Sophomore Year","Labh Janjua",9
"Sophomore Year","Marshmello",9
"Sophomore Year","Nirvana",9
"Sophomore Year","Ryan Trey",9
"Sophomore Year","The Animals",9
"Sophomore Year","The Beach Boys",9
"Sophomore Year","YNW Melly",9
"Sophomore-Junior Summer","2 Chainz",9
"Sophomore-Junior Summer","Boston",9
"Sophomore-Junior Summer","David Guetta",9
"Sophomore-Junior Summer","JAWNY",9
"Sophomore-Junior Summer","Meek Mill",9
"Sophomore-Junior Summer","Pacific Air",9
"Sophomore-Junior Summer","Sleepy Hallow",9
"Sophomore-Junior Summer","TOTO",9
"Sophomore-Junior Summer","The Lemonheads",9
"Sophomore-Junior Summer","iann dior",9
"10th Grade","6LACK",8
"10th Grade","Big Shaq",8
"10th Grade","Bruno Mars",8
"10th Grade","Fetty Wap",8
"10th Grade","JAY-Z",8
"10th Grade","Miguel",8
"10th Grade","YG",8
"10th-11th Summer","Chris Brown",8
"10th-11th Summer","Coldplay",8
"10th-11th Summer","Hailee Steinfeld",8
"10th-11th Summer","Kris Wu",8
"10th-11th Summer","Rich The Kid",8
"10th-11th Summer","The Wanted",8
"11th Grade","Andy Mineo",8
"11th Grade","Billy Joel",8
"11th Grade","DaBaby",8
"11th Grade","David Bowie",8
"11th Grade","Jack Johnson",8
"11th Grade","Jhene Aiko",8
"11th Grade","Pink Floyd",8
"11th Grade","Sia",8
"11th Grade","The Jackson 5",8
"11th Grade","The Police",8
"11th Grade","Vince Staples",8
"11th Grade","Wings",8
"11th-12th Summer","Future",8
"11th-12th Summer","Hailee Steinfeld",8
"11th-12th Summer","KYLE",8
"11th-12th Summer","Machine Gun Kelly",8
"11th-12th Summer","Meek Mill",8
"11th-12th Summer","Nico & Vinz",8
"11th-12th Summer","Sia",8
"11th-12th Summer","Usher",8
"11th-12th Summer","XXXTENTACION",8
"12th Grade","8th Floor Wide",8
"12th Grade","Bela Nemeth",8
"12th Grade","Bruce Springsteen",8
"12th Grade","Calvin Harris",8
"12th Grade","Daigo Hanada",8
"12th Grade","Davorka Poljak",8
"12th Grade","Dreamville",8
"12th Grade","Dustin O'Halloran",8
"12th Grade","Labh Janjua",8
"12th Grade","Max Swan",8
"12th Grade","Melanie Laurent",8
"12th Grade","Peter Sandberg",8
"12th Grade","Piotr Miteska",8
"12th Grade","ScHoolboy Q",8
"12th Grade","Sigri?ur",8
"12th-Freshman Summer","Ellie Goulding",8
"12th-Freshman Summer","Gunna",8
"12th-Freshman Summer","Jack Harlow",8
"12th-Freshman Summer","Mac Miller",8
"12th-Freshman Summer","Mike Posner",8
"12th-Freshman Summer","Mura Masa",8
"12th-Freshman Summer","Trippie Redd",8
"12th-Freshman Summer","YNW Melly",8
"9th-10th Summer","Vince Staples",8
"9th-10th Summer","Zedd",8
"Freshman Year","Asha Bhosle",8
"Freshman Year","Bruce Springsteen",8
"Freshman Year","DaBaby",8
"Freshman Year","Eminem",8
"Freshman Year","Lil Mosey",8
"Freshman Year","Mountain",8
"Freshman Year","Sigala",8
"Freshman Year","Vishal Dadlani",8
"Freshman Year","Wun Two",8
"Freshman Year","YNW Melly",8
"Freshman-Sophomore Summer","Billy Joel",8
"Freshman-Sophomore Summer","Eagles",8
"Freshman-Sophomore Summer","Far East Movement",8
"Freshman-Sophomore Summer","Led Zeppelin",8
"Freshman-Sophomore Summer","Shankar-Ehsaan-Loy",8
"Freshman-Sophomore Summer","TOTO",8
"Freshman-Sophomore Summer","The Neighbourhood",8
"Freshman-Sophomore Summer","The Police",8
"Freshman-Sophomore Summer","Van Morrison",8
"Freshman-Sophomore Summer","Veorra",8
"Sophomore Year","ABBA",8
"Sophomore Year","Bas",8
"Sophomore Year","Del Water Gap",8
"Sophomore Year","Eminem",8
"Sophomore Year","GROUPLOVE",8
"Sophomore Year","Gym Class Heroes",8
"Sophomore Year","Huncho Jack",8
"Sophomore Year","KYLE",8
"Sophomore Year","Logic",8
"Sophomore Year","Major Lazer",8
"Sophomore Year","Moe",8
"Sophomore Year","Satyr",8
"Sophomore Year","T. M. Soundararajan",8
"Sophomore Year","The Chainsmokers",8
"Sophomore Year","Wasuremono",8
"Sophomore Year","YoungBoy Never Broke Again",8
"Sophomore-Junior Summer","ABBA",8
"Sophomore-Junior Summer","Andre Nickatina",8
"Sophomore-Junior Summer","Arizona Zervas",8
"Sophomore-Junior Summer","Baby Smoove",8
"Sophomore-Junior Summer","Big Sean",8
"Sophomore-Junior Summer","Creedence Clearwater Revival",8
"Sophomore-Junior Summer","Glen Campbell",8
"Sophomore-Junior Summer","Internet Money",8
"Sophomore-Junior Summer","Jay Rock",8
"Sophomore-Junior Summer","Nicki Minaj",8
"Sophomore-Junior Summer","Outkast",8
"Sophomore-Junior Summer","Rich The Kid",8
"Sophomore-Junior Summer","Ryan Trey",8
"Sophomore-Junior Summer","The Police",8
"Sophomore-Junior Summer","blackbear",8
"Sophomore-Junior Summer","fun.",8
"10th Grade","Joey Bada$$",7
"10th Grade","Led Zeppelin",7
"10th Grade","Liam Payne",7
"10th Grade","Mozzy",7
"10th Grade","Old Man Canyon",7
"10th Grade","Ugly God",7
"10th Grade","Vance Joy",7
"10th-11th Summer","Avicii",7
"10th-11th Summer","Fetty Wap",7
"10th-11th Summer","Gucci Mane",7
"10th-11th Summer","Kirko Bangz",7
"10th-11th Summer","Marshmello",7
"11th Grade","2 Chainz",7
"11th Grade","A.K.",7
"11th Grade","AC/DC",7
"11th Grade","Bon Jovi",7
"11th Grade","Flo Rida",7
"11th Grade","Metro Boomin",7
"11th Grade","Ramones",7
"11th Grade","SZA",7
"11th Grade","Tyler, The Creator",7
"11th Grade","Usher",7
"11th-12th Summer","Avicii",7
"11th-12th Summer","Clean Bandit",7
"11th-12th Summer","Far East Movement",7
"11th-12th Summer","ILOVEMAKONNEN",7
