"SchoolPeriod","Artist","Plays"
"Sophomore-Junior Summer","Coldplay",66
"Freshman-Sophomore Summer","Juice WRLD",64
"Freshman-Sophomore Summer","Pop Smoke",64
"Sophomore-Junior Summer","Miguel",63
"11th Grade","Ariana Grande",62
"11th Grade","Calvin Harris",62
"Freshman Year","OneRepublic",62
"Sophomore-Junior Summer","Post Malone",62
"10th Grade","Camila Cabello",61
"12th Grade","Lil Uzi Vert",61
"11th Grade","A Boogie Wit da Hoodie",60
"12th Grade","NAV",60
"12th Grade","mike.",60
"Freshman Year","Led Zeppelin",60
"Freshman-Sophomore Summer","Polo G",60
"Sophomore Year","Maroon 5",60
"Sophomore-Junior Summer","Roddy Ricch",60
"11th Grade","Justin Timberlake",59
"Freshman-Sophomore Summer","Bryce Vine",59
"Freshman-Sophomore Summer","Don Toliver",59
"12th Grade","Bryce Hase",58
"12th Grade","Chris Brown",58
"Sophomore Year","Arctic Monkeys",58
"11th-12th Summer","Logic",57
"12th Grade","Childish Gambino",57
"12th Grade","NLE Choppa",57
"9th Grade","J. Cole",57
"Sophomore Year","Coldplay",57
"11th-12th Summer","Maroon 5",56
"12th Grade","Justin Timberlake",56
"Freshman Year","Bruno Mars",56
"Sophomore-Junior Summer","Lil Wayne",56
"10th Grade","Kanye West",55
"11th Grade","mike.",55
"12th-Freshman Summer","Maroon 5",55
"Freshman Year","David Bowie",55
"Sophomore Year","42 Dugg",55
"Sophomore-Junior Summer","Tory Lanez",55
"10th Grade","21 Savage",54
"12th Grade","Zacari",54
"Sophomore Year","Weezer",54
"11th Grade","6ix9ine",53
"11th Grade","OneRepublic",53
"Freshman Year","Red Hot Chili Peppers",53
"Freshman-Sophomore Summer","Kendrick Lamar",53
"Freshman Year","Lil Wayne",52
"11th Grade","Lil Baby",51
"11th Grade","YG",51
"12th Grade","PARTYNEXTDOOR",51
"Freshman Year","David Guetta",51
"Freshman Year","Eagles",51
"Freshman Year","Playboi Carti",51
"Freshman Year","Post Malone",51
"Freshman Year","Tom Petty",51
