"ID","Year","Song","Plays"
"6HKKKHC8yLoE2EbNiaZ8hH","2021","Sleeping At Last ~ Turning Page - Instrumental",44
"4g2WiijzSKzH8PApKDbadN","2022","Sleeping At Last ~ Touch",44
"5NlV5HVIfgk5eHxvAGGTfy","2018","Jeremy Zucker ~ better off",43
"1dA9GzuP546CjJT0n9tZoe","2020","Fuse ODG ~ Lazy Day (feat. Danny Ocean)",43
"1OomEBeqPPdUhBUhdAxoz6","2021","Mauve ~ Just Stay",43
"4QIo4oxwzzafcBWkKjDpXY","2021","Billie Eilish ~ xanny",43
"0xE4LEFzSNGsz1F6kvXsHU","2022","Mac Miller ~ Circles",43
"3AqPL1n1wKc5DVFFnYuJhp","2022","The Cinematic Orchestra ~ To Build A Home",43
"5o35aPa2xPLLC3rw7Hoc83","2018","Nicky Jam ~ Superheroe (feat. J Balvin)",42
"6vo7Y1iWyZvpjvFbf6BiZ5","2020","Pritam ~ Kalank (Title Track)",42
"4wJaoAVSc8X5rBhmoGdtvp","2021","Jeremy Zucker ~ julia",42
"4CxFN5zON70B3VOPBYbd6P","2021","Jeremy Zucker ~ you were good to me",42
"61Emqg95O9zo1GNOcyxq4Y","2022","Giveon ~ For Tonight",42
"2OY0rTp6WTvXXdqrv0EE0G","2018","Fuse ODG ~ Boa Me (feat. Ed Sheeran & Mugeez)",41
"4H5arInh2BLVz94mIibTrv","2020","Takagi & Ketra ~ JAMBO",41
"2QEBXYzURjg7nY8FjbBcUt","2021","Shallou ~ All Your Days",41
"2ISSQPb9LHHiV6ng2NXosL","2021","Zedd ~ Beautiful Now",41
"4OBZT9EnhYIV17t4pGw7ig","2021","Daniel Caesar ~ Best Part (feat. H.E.R.)",41
"0DkkunMQNA2SuOYmnYm88E","2021","Miro ~ Soar",41
"1kwnxJNVl7cwcU98RvMBaR","2021","Mac Miller ~ Surf",41
"5zCunX8URvLoBHlg1Fnjv6","2022","Sleeping At Last ~ Already Gone",41
"2tJUcBxiQEYSCzC3BdIOk8","2022","FINNEAS ~ Love is Pain",41
"18uwL0vNUanqZH0ro2QcOP","2020","Jeremy Zucker ~ comethru",40
"2EuqgpA1cTC95AQUgCcZHk","2021","Agnes Obel ~ September Song",40
"41zXlQxzTi6cGAjpOXyLYH","2021","Billie Eilish ~ idontwannabeyouanymore",40
"1oinuryVDJnYyWoYic9zDI","2018","Axwell /\ Ingrosso ~ More Than You Know - Acoustic",39
"1pyGo7knT3LE2I1FJIrwdX","2019","Quinn XCII ~ Stacy",39
"25U7raB3ZSszayTYClh4hF","2021","Israel Kamakawiwo'ole ~ Somewhere Over The Rainbow_What A Wonderful World",39
"0hQCG9PYrkjYtDVEuj8ooT","2018","Nicky Jam ~ Without You",38
"4nHlOHDt8o328IuZWF0oQQ","2019","Broken Back ~ Mild Blood",38
"4CxFN5zON70B3VOPBYbd6P","2019","Jeremy Zucker ~ you were good to me",38
"6GxEpbOvB4dXgRF2SLJliK","2020","Bryant Myers ~ Tanta Falta Remix",38
"0xE4LEFzSNGsz1F6kvXsHU","2021","Mac Miller ~ Circles",38
"3H8h60jhdQNu5s9HHTLdFr","2021","San Holo ~ IT HURTS!",38
"2XyNLoEWc4IDt9OVzXZUXl","2021","ODESZA ~ It's Only (feat. Zyra) - ODESZA VIP Remix",38
