"Season","Artist","Plays"
"Spring","blackbear",171
"Winter","NxWorries, Knxwledge, Anderson .Paak",170
"Spring","Mac Miller",169
"Winter","Khalid",169
"Fall","Daniel Caesar",168
"Fall","Juice WRLD",168
"Summer","Lil Baby",168
"Spring","VIC MENSA",167
"Winter","midwxst",167
"Spring","Rae Sremmurd",166
"Fall","Lil Uzi Vert, Future",165
"Summer","Dave East",165
"Spring","Swae Lee, Slim Jxmmi, Rae Sremmurd",162
"Winter","Ramzoid",161
"Spring","Lil Yachty",159
"Spring","The Beatles",159
"Spring","Jay Rock",158
"Summer","Post Malone",158
"Summer","SZA",158
"Summer","Tom The Mail Man",157
"Summer","VIC MENSA",157
"Spring","Lil Baby",156
"Summer","Smino",156
"Fall","Kevin Gates",155
"Fall","Lil Peep",155
"Summer","Snoop Dogg",155
"Fall","SZA",154
"Winter","Madlib, Freddie Gibbs",153
"Winter","Macklemore & Ryan Lewis",152
"Spring","Daniel Caesar",151
"Summer","Desiigner",151
"Summer","Pusha T",151
"Winter","Ski Mask the Slump God",151
"Fall","Eminem",150
"Winter","Amine",150
"Spring","Polo G",149
"Winter","Lil Wayne",149
"Winter","Mike WiLL Made-It",148
"Spring","Trippie Redd",145
"Fall","Big K.R.I.T.",144
"Spring","XXXTENTACION",144
"Fall","6LACK",142
"Spring","Greta Van Fleet",141
"Summer","Roddy Ricch",140
"Summer","XXXTENTACION",140
"Winter","Felly",140
"Summer","DJ Khaled",138
"Summer","Danny Brown",138
"Fall","PARTYNEXTDOOR",137
"Spring","Gunna",137
"Spring","JID",137
"Spring","A Boogie wit da Hoodie",136
"Summer","PnB Rock",136
"Spring","Khalid",135
"Spring","midwxst",135
"Summer","Gunna",135
"Winter","NAV",134
"Fall","Kota the Friend",132
"Fall","Koi",130
"Fall","Ab-Soul",129
"Fall","Metro Boomin",129
"Summer","A Boogie wit da Hoodie",129
"Summer","The Weeknd",129
"Winter","Dr. Dre",129
"Summer","EARTHGANG",128
"Fall","Playboi Carti",127
"Fall","A Boogie wit da Hoodie",126
"Spring","Amine",125
"Spring","KIDS SEE GHOSTS",125
"Winter","A$AP Mob",125
"Spring","Nas",124
"Winter","Jay Rock",123
"Spring","Knxwledge",122
"Fall","Kirk Knight",121
"Fall","Lil Baby",121
"Winter","Danny Brown",121
"Summer","Madlib, Freddie Gibbs",119
"Spring","Jaden",118
"Winter","Kirk Knight",118
"Winter","Offset",118
"Fall","Quavo",117
"Summer","2 Chainz",117
"Winter","Nas",117
"Fall","DJ Khaled",116
"Winter","21 Savage",116
"Fall","Sheck Wes",115
"Winter","Ty Dolla $ign",114
"Fall","Mike WiLL Made-It",113
"Spring","The Beach Boys",113
"Summer","Pop Smoke",113
"Fall","Post Malone",111
"Fall","Takeoff",111
"Summer","SiR",111
"Summer","Wiz Khalifa",110
"Spring","Guapdad 4000, !llmind",109
"Spring","Hippo Campus",109
"Spring","The 1975",109
"Winter","Hippo Campus",108
"Spring","Pink Floyd",107
"Spring","Snoop Dogg",107
"Summer","Action Bronson",106
"Summer","Ariana Grande",106
"Summer","Eminem",106
"Fall","Travis Scott, Quavo, HUNCHO JACK",105
"Spring","SZA",105
"Summer","Kota the Friend",105
"Summer","Southside, G Herbo",105
"Fall","Young Thug, Future",104
"Spring","Travis Scott, Quavo, HUNCHO JACK",104
"Fall","Lil Yachty",103
"Fall","MAVI",103
"Fall","Big Sean",102
"Spring","Beast Coast",102
"Spring","Childish Gambino",102
"Spring","The Underachievers",102
"Summer","Nas",102
"Summer","Joey Purp",101
"Fall","Meek Mill",100
"Spring","NAV",100
"Fall","Gucci Mane",99
"Fall","Miguel",99
"Spring","Buddy",99
"Spring","Dr. Dre",99
"Winter","Post Malone",99
"Winter","VIC MENSA",99
"Fall","REASON",98
"Spring","Danny Brown",98
"Fall","Dave East",97
"Fall","Dr. Dre",97
"Fall","Gunna",97
"Fall","The 1975",97
"Fall","Verzache",97
"Spring","Dave East",96
"Spring","Jonah Zed",96
"Winter","2 Chainz",96
"Fall","Migos",95
"Summer","Dro Kenji",95
"Summer","Radiohead",94
"Summer","Rich The Kid",94
"Spring","Daniyel",93
"Spring","Famous Dex",92
"Winter","Saba",92
"Spring","Eminem",90
"Summer","21 Savage",89
