"ID","Year","Song","Plays"
"52yOf7Ls1u5AO3cFIzQ58m","2017","Maroon 5 ~ Cold",12
"0aym2LBJBk9DAYuHHutrIl","2017","The Beatles ~ Hey Jude - Remastered 2015",12
"5DSr1NMci58MEgS20vivSL","2017","G-Eazy ~ Let's Get Lost (feat. Devon Baldwin)",12
"0q75NwOoFiARAVp4EXU4Bs","2017","SZA ~ Love Galore (feat. Travis Scott)",12
"0pSBuHjILhNEo55xK1zrRt","2017","Ayo & Teo ~ Rolex",12
"53mrVsi49rLHIaKBiSvElG","2017","blackbear ~ do re mi (feat. Gucci Mane)",12
"5lFDtgWsjRJu8fPOAyJIAK","2018","Drake ~ Back To Back",12
"2nBI3iWLhupR7LyAJ5GGkE","2018","Kanye West ~ Champions",12
"3HRQtRUYnnuZY7fE900XtJ","2018","Journey ~ Don't Stop Believin'",12
"23luOrEVHMfoX0AhfbQuS6","2018","Kendrick Lamar ~ FEAR.",12
"4QRWA5UqYU1st9aO0UfxOj","2018","Logic ~ Fade Away",12
"1rfofaqEpACxVEHIZBJe6W","2018","Camila Cabello ~ Havana (feat. Young Thug)",12
"6dGnYIeXmHdcikdzNNDMm2","2018","The Beatles ~ Here Comes The Sun - Remastered 2009",12
"40riOy7x9W7GXjyGp4pjAv","2018","Eagles ~ Hotel California - 2013 Remaster",12
"2Xqd0wUttjueBfdcltADOv","2018","G-Eazy ~ No Limit",12
"3JvrhDOgAt6p7K8mDyZwRd","2018","Vance Joy ~ Riptide",12
"1zayuwd1YLZsYDArkruHdL","2018","Kendrick Lamar ~ The Heart Part 4",12
"2eAZfqOm4EnOF9VvN50Tyc","2018","Lil Uzi Vert ~ The Way Life Goes (feat. Oh Wonder)",12
"5KVciTEfXvpcFHR3RFbtJy","2018","Logic ~ Wassup",12
"6eT7xZZlB2mwyzJ2sUKG6w","2018","Post Malone ~ White Iverson",12
"13JyykwyYQ3T5QxxL34ukQ","2018","blackbear ~ chateau",12
"3iVcZ5G6tvkXZkZKlMpIUs","2019","Kendrick Lamar ~ Alright",12
"0lwkTJnLBVWvEnxtku7Msy","2019","Logic ~ Alright",12
"3TOfcOKNuu6ZPZXJie5msH","2019","Bryson Tiller ~ Canceled",12
"1xD8LOLKZTBWp7SXQrUANX","2019","Queen ~ Cool Cat",12
"5EV4bGHxVN0kHpcAFvgnTt","2019","boy pablo ~ Dance, Baby!",12
"6bdpj89aYEBjhpsenXAsmO","2019","A.R. Rahman ~ Enna Sona",12
"2n5gVJ9fzeX2SSWlLQuyS9","2019","Migos ~ Fight Night",12
"55n9yjI6qqXh5F2mYvUc2y","2019","ZAYN ~ I Don't Wanna Live Forever (Fifty Shades Darker)",12
"6cSBm4mtcuFtClN6yDvjQo","2019","Wale ~ Love... (Her Fault) [feat. Bryson Tiller]",12
"0Nwar8rweBUyfyuoyjjUvk","2019","The Weeknd ~ Privilege",12
"6LkQuRo91zYjI8dm1iOL2C","2019","Luh Kel ~ Pull Up",12
"7w87IxuO7BDcJ3YUqCyMTT","2019","Foster The People ~ Pumped Up Kicks",12
"1TfqLAPs4K3s2rJMoCokcS","2019","Eurythmics ~ Sweet Dreams (Are Made of This) - Remastered",12
"7xHWNBFm6ObGEQPaUxHuKO","2019","Sia ~ The Greatest (feat. Kendrick Lamar)",12
"2eAZfqOm4EnOF9VvN50Tyc","2019","Lil Uzi Vert ~ The Way Life Goes (feat. Oh Wonder)",12
"0FZ4Dmg8jJJAPJnvBIzD9z","2019","Kodak Black ~ ZEZE (feat. Travis Scott & Offset)",12
"5Sb1gWmNRelFDAMb6eiriW","2019","Sonu Nigam ~ Zoobi Doobi",12
"3Fj47GNK2kUF0uaEDgXLaD","2019","Billie Eilish ~ wish you were gay",12
"1D2L6MefbXon28PzIk9I3r","2020","Post Malone ~ 92 Explorer",12
"6GSMozgAebBmuM2hCV15H3","2020","Kid Cudi ~ Ashin' Kusher",12
"3D7izPzeEcz7lBhcCZJccl","2020","The Weeknd ~ Belong To The World",12
