"Month","Artist","Plays"
"12","Emmit Fenn",42
"12","The Piano Guys",42
"02","Maluma",41
"02","Petit Biscuit",41
"04","Joji",41
"04","Oh Wonder",41
"05","Bazzi",41
"05","Shoffy",41
"06","Avicii",41
"06","Kygo",41
"06","Labrinth",41
"06","Sleeping At Last",41
"07","Avicii",41
"07","Daniel Caesar",41
"07","Mac Miller",41
"12","Shawn Mendes",41
"12","Train",41
"01","CNCO",40
"01","blackbear",40
"02","Kygo",40
"02","Lauv",40
"03","Daniel Caesar",40
"03","Mac Miller",40
"04","Chelsea Cutler",40
"07","ILLENIUM",40
"08","ILLENIUM",40
"08","Mac Miller",40
"09","Kygo",40
"09","SYML",40
"10","Ludovico Einaudi",40
"10","Rihanna",40
"10","Russ",40
"10","San Holo",40
"12","The Kid LAROI",40
"03","Kygo",39
"05","Frank Ocean",39
"05","Ludovico Einaudi",39
"05","ODESZA",39
"06","Daniel Caesar",39
"06","Mac Miller",39
"08","Juice WRLD",39
"09","Shoffy",39
"10","Kygo",39
"10","Lauv",39
"10","Pink Sweat$",39
"11","Sia",39
"12","DJomla KS",39
"12","Herdis Stefansdottir",39
"12","Jake Nilson",39
"01","Mac Miller",38
"02","James Arthur",38
"02","SYML",38
"03","SAINt JHN",38
"04","A R I Z O N A",38
"04","Akon",38
"04","Pink Sweat$",38
"04","ayokay",38
"06","Lauv",38
"07","Arijit Singh",38
"07","Bazzi",38
"09","Kamal.",38
"09","Mauve",38
"10","Post Malone",38
"11","Bazzi",38
"11","SYML",38
"12","Ollie MN",38
"01","Ludovico Einaudi",37
"03","SYML",37
"06","Akon",37
"06","Ludovico Einaudi",37
"08","Lofi Fruits Music",37
"11","Vishal-Shekhar",37
"12","Nikolas Rhonda",37
"12","San Holo",37
"12","XXXTENTACION",37
"01","Alec Benjamin",36
"01","Bazzi",36
"01","Maroon 5",36
"02","Shoffy",36
"03","A R I Z O N A",36
"03","Ludovico Einaudi",36
"04","Pedro Capo",36
"06","Pitbull",36
"07","Akon",36
"07","Juice WRLD",36
"07","Louis The Child",36
"07","SYML",36
"08","Giveon",36
"09","Russ",36
"11","Pentatonix",36
"12","KSHMR",36
"12","Post Malone",36
"12","Pritam",36
"01","Sleeping At Last",35
"02","Pedro Capo",35
"04","Martin Garrix",35
"09","RINI",35
"11","Daniel Caesar",35
"11","Yiruma",35
"12","Louis The Child",35
"02","Martin Garrix",34
"03","James Arthur",34
"03","Lauv",34
"06","Maluma",34
"07","XXXTENTACION",34
"08","Bruno Major",34
"09","Jason Mraz",34
"09","KSHMR",34
"10","Bazzi",34
"10","Louis The Child",34
"11","Post Malone",34
"11","Sasha Alex Sloan",34
"12","Drake",34
"01","Lauv",33
"01","Mitch James",33
"01","SYML",33
"02","Pink Sweat$",33
"03","Kamal.",33
"04","Justin Bieber",33
"05","Avicii",33
"05","Miguel",33
"06","A R I Z O N A",33
"06","Shoffy",33
"07","Nicky Jam",33
"10","Giveon",33
"10","Novo Amor",33
"11","Giveon",33
"12","Kygo",33
"01","Oh Wonder",32
"04","James Arthur",32
"04","Jason Mraz",32
"04","Sarcastic Sounds",32
"05","Alan Walker",32
"05","Martin Garrix",32
"06","Giveon",32
"07","Kid Cudi",32
"07","Martin Garrix",32
"09","Martin Garrix",32
"10","Emanuel",32
"10","Kanye West",32
"10","Petit Biscuit",32
"10","Shawn Mendes",32
"11","Mauve",32
"11","Oh Wonder",32
"11","Shoffy",32
"02","CNCO",31
"03","CNCO",31
"04","SRTW",31
"05","James Arthur",31
"06","Alan Walker",31
"07","CNCO",31
"08","Avicii",31
"08","The Chainsmokers",31
"09","Kid Cudi",31
"09","Nicky Jam",31
"09","blackbear",31
"11","Russ",31
"12","Gryffin",31
"12","Lacrim",31
"02","SZA",30
"02","ayokay",30
"04","Naughty Boy",30
"04","Petit Biscuit",30
"04","Russ",30
"05","SYML",30
"06","Daddy Yankee",30
"07","A R I Z O N A",30
"08","88rising",30
"09","XXXTENTACION",30
"10","Gryffin",30
"10","Sleeping At Last",30
"11","Alec Benjamin",30
"12","Akon",30
"12","Jason Mraz",30
"12","LawKu",30
"12","Lola Fernando",30
"12","Lost Kings",30
"12","Petit Biscuit",30
"12","Purple Tower",30
"01","Calum Scott",29
"01","Maluma",29
"02","Joji",29
"03","Frank Ocean",29
"03","Sleeping At Last",29
"04","Kendrick Lamar",29
"04","Kygo",29
"04","Louis The Child",29
"05","Chelsea Cutler",29
"05","Sam Smith",29
"06","Frank Ocean",29
"06","Kid Cudi",29
"06","The Chainsmokers",29
"07","Lewis Capaldi",29
"07","Oh Wonder",29
"08","Martin Garrix",29
"09","Rihanna",29
"10","RINI",29
"10","XXXTENTACION",29
"11","Pink Sweat$",29
"11","Rihanna",29
"12","Emanuel",29
"02","Pritam",28
"02","R3HAB",28
"02","Russ",28
"02","Shawn Mendes",28
"03","Pritam",28
"04","Alina Baraz",28
"04","Bazzi",28
"04","SYML",28
"04","XXXTENTACION",28
"04","blackbear",28
"05","Flume",28
"05","Mac Miller",28
"05","Pritam",28
"05","Sia",28
"06","Calvin Harris",28
"06","Kasbo",28
"06","Louis The Child",28
"06","Martin Garrix",28
"06","OneRepublic",28
"06","Sarcastic Sounds",28
"07","Alvaro Soler",28
"07","Ellie Goulding",28
"07","OneRepublic",28
"08","A R I Z O N A",28
"08","Alec Benjamin",28
"08","Petit Biscuit",28
"09","Alec Benjamin",28
"09","Drake",28
"09","Kina",28
"09","Lewis Capaldi",28
"10","Kamal.",28
"10","Ollie MN",28
"11","James TW",28
"11","Ludovico Einaudi",28
"12","Bakermat",28
"12","Bazzi",28
"12","Neutral Commitment",28
"12","Pentatonix",28
"01","ODESZA",27
"03","Pedro Capo",27
"04","yaeow",27
"05","Bruno Major",27
"05","Maluma",27
"05","OneRepublic",27
"06","Joji",27
"06","Luis Fonsi",27
"06","Russ",27
"07","Drake",27
"07","Gym Class Heroes",27
"07","Marshmello",27
"07","Petit Biscuit",27
"08","Drake",27
"08","Pink Sweat$",27
"08","R3HAB",27
"08","Sarcastic Sounds",27
"09","James Arthur",27
"09","Justin Bieber",27
"09","L.Dre",27
"09","SRTW",27
"10","Sarcastic Sounds",27
"11","AJ Mitchell",27
"11","ILLENIUM",27
"11","James Arthur",27
"11","Kygo",27
"11","SRTW",27
"12","LANY",27
"12","Novo Amor",27
"12","Rim'K",27
