"Year","Album","Plays"
"2018","Billie Eilish ~ lovely (with Khalid)",60
"2019","PRETTYMUCH ~ Summer on You",60
"2021","Kamal. ~ blue",60
"2022","SYML ~ Here Comes the Sun",60
"2019","Neelson Macias ~ Neel Macias",59
"2020","Khalid ~ Free Spirit",59
"2020","Jeremy Zucker ~ summer,",59
"2019","Jeremy Zucker ~ glisten",58
"2022","Khalid ~ Free Spirit",58
"2022","Jeremy Zucker ~ summer,",58
"2019","Quinn XCII ~ Panama",57
"2019","Jon Bellion ~ The Human Condition",57
"2022","Jai Wolf ~ Indian Summer",57
"2022","Lauv ~ ~how i'm feeling~",57
"2018","ODESZA ~ A Moment Apart",56
"2018","Billie Eilish ~ dont smile at me",56
"2022","ODIE ~ Analogue",56
"2022","Lucky Daye ~ Candydrip",56
"2022","Louis The Child ~ Here For Now",56
"2019","Whethan ~ Life of a Wallflower, Vol. 1",55
"2020","Mau y Ricky ~ La Boca",55
"2021","Joji ~ BALLADS 1",55
"2021","Pritam ~ Yeh Jawaani Hai Deewani",55
"2022","SYML ~ Hurt for Me",55
"2022","The Weeknd ~ Kiss Land",55
"2022","Kendrick Lamar ~ Mr. Morale & The Big Steppers",55
"2022","Jeremy Zucker ~ love is not dying",55
"2018","Daniel Schulz ~ Turn Back Time",54
"2019","Jason Mraz ~ We Sing. We Dance. We Steal Things.",54
"2019","Jeremy Zucker ~ brent",54
"2021","Quinn XCII ~ Change of Scenery II",54
"2021","Jeremy Zucker ~ glisten",54
"2022","Frank Ocean ~ channel ORANGE",54
"2018","Jeremy Zucker ~ glisten",53
"2019","Blue Ivy ~ The Lion King: The Gift",53
"2020","The Weeknd ~ Beauty Behind The Madness",53
"2020","LEON ~ You And I",53
"2021","Kid Cudi ~ Man On The Moon: The End Of Day",53
"2021","Pink Sweat$ ~ PINK PLANET",53
"2021","Quinn XCII ~ The Story of Us",53
"2022","Emmit Fenn ~ Prologue",53
"2018","The Piano Guys ~ Uncharted",52
"2022","Jeremy Zucker ~ brent",52
"2018","XXXTENTACION ~ 17",51
"2018","Marshmello ~ Silence",51
"2018","Jeremy Zucker ~ idle",51
"2019","Rafael El Ninos ~ Caspian Alvarez",51
"2020","fun. ~ Some Nights",51
"2020","Jeremy Zucker ~ glisten",51
"2021","Novo Amor ~ Bathing Beach",51
"2021","Frank Ocean ~ Blonde",51
"2018","VAX ~ Fireproof (feat. Teddy Sky)",50
"2019","DuyVu ~ Morning Mind",50
"2020","Alan Walker ~ Different World",50
"2020","Mauve ~ Easy to Adore You",50
"2022","ILLENIUM ~ Fallen Embers",50
"2022","SYML ~ SYML",50
"2022","Pritam ~ Yeh Jawaani Hai Deewani",50
"2020","Lewis Capaldi ~ Before You Go",49
"2021","Jai Wolf ~ Indian Summer",49
"2021","The Cinematic Orchestra ~ Ma Fleur",49
"2021","Stanislav Gallin ~ Music From The Twilight Saga",49
"2021","Jon Bellion ~ The Human Condition",49
"2021","Ed Sheeran ~ x",49
"2021","Jeremy Zucker ~ you were good to me",49
"2022","Shoffy ~ Flash",49
"2022","Pink Sweat$ ~ PINK PLANET",49
"2018","Tyler and Mark ~ Beautiful Dreams",48
"2020","Pritam ~ Yeh Jawaani Hai Deewani",48
"2021","Faime ~ Journeys",48
"2022","Post Malone ~ Hollywood's Bleeding",48
"2022","Mac Miller ~ Swimming",48
"2018","XXXTENTACION ~ ?",47
"2019","Russ ~ ZOO",47
"2020","SAINt JHN ~ Collection One",47
"2021","Ludovico Einaudi ~ Eden Roc",47
"2021","Jai Wolf ~ Kindred Spirits",47
"2021","Petit Biscuit ~ Parachute",47
"2021","Sleeping At Last ~ The Twilight Saga: Breaking Dawn - Part 1",47
"2022","The Piano Guys ~ Chill",47
"2022","Khalid ~ Scenic Drive (The Tape)",47
"2019","Alvaro Soler ~ Eterno Agosto",46
"2019","Lauv ~ I met you when I was 18.",46
"2020","Nicky Jam ~ Fenix",46
"2021","Billie Eilish ~ Six Feet Under",46
"2018","Julia Michaels ~ Fifty Shades Freed",45
"2018","Martin Garrix ~ So Far Away (feat. Jamie Scott & Romy Dya)",45
"2019","Mitch James ~ Mitch James - Deluxe Edition",45
"2020","Pritam ~ Kalank",45
"2020","Jeremy Zucker ~ idle",45
"2021","Tom Shea ~ Sold for Data",45
"2021","Sarcastic Sounds ~ change ur mind",45
"2022","John Legend ~ DARKNESS AND LIGHT",45
"2022","FINNEAS ~ Optimist",45
"2018","Mitch James ~ Mitch James - Deluxe Edition",44
"2020","Juice WRLD ~ Legends Never Die",44
"2020","Max Richter ~ Sleep",44
"2021","Agnes Obel ~ Aventine",44
"2021","ILLENIUM ~ Fallen Embers",44
"2021","Lolo Zouai ~ High Highs to Low Lows",44
"2020","Quinn XCII ~ Bloom",43
"2020","Fuse ODG ~ Lazy Day (feat. Danny Ocean)",43
"2021","RINI ~ After the Sun",43
"2021","Mauve ~ Just Stay",43
"2021","Miro ~ Voices",43
"2022","The Cinematic Orchestra ~ Ma Fleur",43
"2022","fun. ~ Some Nights",43
"2022","Herdis Stefansdottir ~ The Sun Is Also a Star (Original Motion Picture Soundtrack)",43
"2022","Ludovico Einaudi ~ Una Mattina",43
