"Season","Album","Plays"
"Spring","Jon Bellion ~ The Human Condition",53
"Summer","Travis Scott ~ ASTROWORLD",53
"Summer","Quinn XCII ~ Panama",53
"Summer","The Weeknd ~ Starboy",53
"Winter","Jeremy Zucker ~ brent",53
"Spring","Maluma ~ F.A.M.E.",52
"Winter","SYML ~ SYML",52
"Summer","6LACK ~ East Atlanta Love Letter",51
"Winter","Rafael El Ninos ~ Caspian Alvarez",51
"Winter","Herdis Stefansdottir ~ The Sun Is Also a Star (Original Motion Picture Soundtrack)",51
"Spring","Post Malone ~ beerbongs & bentleys",50
"Spring","Lauv ~ ~how i'm feeling~",50
"Summer","Juice WRLD ~ Legends Never Die",50
"Summer","Jason Mraz ~ We Sing. We Dance. We Steal Things.",50
"Winter","DuyVu ~ Morning Mind",50
"Winter","The Piano Guys ~ Uncharted",50
"Fall","Giveon ~ Spotify Singles",49
"Spring","Joji ~ BALLADS 1",49
"Winter","Alec Benjamin ~ Narrated For You",49
"Fall","Kid Cudi ~ Man On The Moon III: The Chosen",48
"Spring","Jaden ~ CTV3: Cool Tape Vol. 3",48
"Spring","Shoffy ~ Flash",48
"Summer","Jeremy Zucker ~ idle",48
"Fall","SYML ~ SYML",47
"Spring","Sia ~ LABRINTH, SIA & DIPLO PRESENT... LSD",47
"Spring","Chris Burton ~ Love Letters",47
"Spring","Jeremy Zucker ~ Motions",47
"Spring","Jeremy Zucker ~ brent",47
"Summer","The Weeknd ~ Trilogy",47
"Winter","Quinn XCII ~ Bloom",47
"Winter","Jeremy Zucker ~ love is not dying",47
"Fall","Billie Eilish ~ lovely (with Khalid)",46
"Spring","SAINt JHN ~ Collection One",46
"Spring","Daniel Caesar ~ Freudian",46
"Spring","Mauve ~ Just Stay",46
"Spring","Akon ~ Konvicted",46
"Winter","Khalid ~ Suncity",46
"Fall","Gryffin ~ Gravity",45
"Fall","Billie Eilish ~ Ocean Eyes",45
"Fall","San Holo ~ bb u ok?",45
"Fall","Billie Eilish ~ come out and play",45
"Fall","Jeremy Zucker ~ idle",45
"Spring","Quinn XCII ~ A Letter To My Younger Self",45
"Spring","Ed Sheeran ~ Perfect",45
"Summer","Alvaro Soler ~ Eterno Agosto",45
"Winter","Sleeping At Last ~ Atlas: I",45
