"SchoolPeriod","Artist","Plays"
"Sophomore Year","Joey Bada$$",188
"9th-10th Summer","Frank Ocean",187
"10th Grade","Juice WRLD",186
"10th Grade","Mike WiLL Made-It",186
"Sophomore-Junior Summer","Greta Van Fleet",186
"Sophomore Year","Jonah Zed",185
"10th Grade","XXXTENTACION",184
"10th-11th Summer","Drake",184
"11th-12th Summer","Jack Harlow",183
"8th Grade","Macklemore & Ryan Lewis",182
"11th Grade","Gunna",181
"Freshman Year","Lil Uzi Vert, Future",181
"12th-Freshman Summer","Aries",180
"9th-10th Summer","A$AP Mob",180
"12th-Freshman Summer","The Black Keys",179
"9th Grade","Smino",179
"12th Grade","Anderson .Paak",178
"8th-9th Summer","Logic",178
"Sophomore Year","Tom The Mail Man",178
"11th Grade","Young Thug",176
"8th-9th Summer","ScHoolboy Q",176
"Freshman-Sophomore Summer","Kanye West",175
"Freshman-Sophomore Summer","Jack Harlow",174
"9th-10th Summer","Joey Bada$$",172
"Sophomore Year","The Weeknd",171
"Sophomore Year","Earl Sweatshirt",170
"Sophomore Year","Lil Uzi Vert",170
"9th Grade","Lupe Fiasco",168
"9th Grade","A$AP Mob",166
"Sophomore-Junior Summer","Lil Uzi Vert",166
"10th Grade","SOB X RBE",165
"10th-11th Summer","Denzel Curry",164
"11th Grade","Jazz Cartier",163
"10th-11th Summer","Trippie Redd",161
"Sophomore Year","Future",161
"Sophomore Year","Kid Cudi",161
"9th Grade","Lil Yachty",160
"Freshman Year","nothing,nowhere.",160
"10th Grade","Kid Cudi",159
"9th Grade","Ab-Soul",158
"Freshman-Sophomore Summer","Aries",158
"Sophomore Year","PARTYNEXTDOOR",158
"12th-Freshman Summer","Amine",157
"10th Grade","Tee Grizzley",156
"Freshman-Sophomore Summer","Bryson Tiller",156
"Freshman-Sophomore Summer","Daniyel",156
"Sophomore Year","Mac Miller",156
"9th Grade","Rae Sremmurd",155
"Freshman-Sophomore Summer","Vince Staples",155
"9th-10th Summer","Tyler, The Creator",154
"10th Grade","Frank Ocean",153
"10th Grade","Swae Lee, Slim Jxmmi, Rae Sremmurd",153
"8th-9th Summer","Flatbush Zombies",153
"9th Grade","Ty Dolla $ign",153
"10th Grade","Anderson .Paak",152
"10th-11th Summer","Kendrick Lamar",152
"11th Grade","Lil Wayne",152
"11th Grade","Bryson Tiller",151
"11th Grade","Kid Cudi",151
"12th-Freshman Summer","whiterosemoxie",151
"9th Grade","Lil Uzi Vert",151
"10th Grade","Chance the Rapper",150
"9th Grade","Mac Miller",150
"11th Grade","Tyler, The Creator",149
"Sophomore Year","Young Thug",149
"Freshman-Sophomore Summer","Verzache",148
"11th Grade","Lil Peep",147
"11th Grade","Metro Boomin",147
"Sophomore Year","Frank Ocean",147
"Sophomore Year","Kota the Friend",147
"9th Grade","6LACK",146
"11th Grade","Kevin Gates",145
"10th Grade","Pusha T",144
"Sophomore Year","Travis Scott",144
