"Season","Artist","Plays"
"Fall","Mustard",59
"Spring","Fitz and The Tantrums",59
"Summer","Roddy Ricch",59
"Winter","Red Hot Chili Peppers",59
"Fall","Arizona Zervas",58
"Fall","Foster The People",58
"Fall","Lynyrd Skynyrd",58
"Fall","Osibih",58
"Spring","Fetty Wap",58
"Summer","A$AP Rocky",58
"Winter","DaBaby",58
"Winter","Aliotta Haynes Jeremiah",57
"Spring","21 Savage",56
"Spring","Traffic",56
"Winter","fun.",56
"Fall","Blaccmass",55
"Fall","TOTO",55
"Fall","fun.",55
"Spring","Bryce Vine",55
"Spring","Led Zeppelin",55
"Winter","Bruno Mars",55
"Winter","Foster The People",55
"Fall","Meek Mill",54
"Spring","Larry June",54
"Winter","A Boogie Wit da Hoodie",54
"Fall","Bas",53
"Fall","Creedence Clearwater Revival",53
"Spring","Ariana Grande",53
"Spring","Polo G",53
"Spring","Shakira",53
"Fall","PARTYNEXTDOOR",52
"Spring","Macklemore & Ryan Lewis",52
"Spring","mike.",52
"Summer","Ellie Goulding",52
"Summer","Shankar-Ehsaan-Loy",52
"Winter","Ellie Goulding",52
"Winter","NAV",52
"Winter","PARTYNEXTDOOR",52
"Fall","Internet Money",51
"Fall","Playboi Carti",51
"Summer","Alina Baraz",51
"Summer","Mac Miller",51
"Winter","Electric Light Orchestra",51
"Winter","iann dior",51
"Fall","G-Eazy",50
"Fall","Mike Posner",50
"Spring","GoldLink",50
"Winter","Mura Masa",50
"Fall","Bon Jovi",49
"Fall","NLE Choppa",49
"Spring","Pitbull",49
"Summer","Chance the Rapper",49
"Summer","DJ Khaled",49
"Winter","DJ Khaled",49
"Fall","21 Savage",48
"Fall","Justin Bieber",48
"Fall","XXXTENTACION",48
"Spring","JAY-Z",48
"Summer","Mura Masa",48
"Summer","Pop Smoke",48
"Winter","Gunna",48
"Winter","TOTO",48
"Fall","Journey",47
"Spring","Ellie Goulding",47
"Summer","Roy Woods",47
"Fall","Thundercat",46
"Spring","Selena Gomez",46
"Spring","The Rolling Stones",46
"Spring","Vance Joy",46
"Summer","Justin Bieber",46
"Summer","KIDS SEE GHOSTS",46
"Summer","Pacific Air",46
"Winter","Black Eyed Peas",46
"Winter","George Harrison",46
"Winter","Tom Petty",46
"Fall","Fleetwood Mac",45
"Spring","Avicii",45
"Spring","Jon Bellion",45
"Spring","Meek Mill",45
"Spring","Trippie Redd",45
"Summer","SOB X RBE",45
"Summer","YNW Melly",45
"Winter","ABBA",45
"Winter","Jason Derulo",45
"Fall","A$AP Rocky",44
"Fall","Lil Nas X",44
"Spring","Eagles",44
"Spring","Mike Posner",44
"Summer","JAY-Z",44
"Summer","Polo G",44
"Summer","Vince Staples",44
"Fall","Jorja Smith",43
"Fall","Tom Petty",43
"Fall","Tory Lanez",43
"Spring","6ix9ine",43
"Spring","Green Day",43
"Spring","fun.",43
"Summer","Clean Bandit",43
"Summer","Dreamville",43
"Summer","Elton John",43
"Summer","Lil Baby",43
"Spring","Crystal Fighters",42
"Spring","Gunna",42
"Summer","6ix9ine",42
"Summer","A.R. Rahman",42
"Summer","French Montana",42
"Winter","Lil Baby",42
"Fall","David Guetta",41
"Fall","Green Day",41
"Fall","Halsey",41
"Spring","Boston",41
"Spring","Lil Baby",41
"Spring","Zacari",41
"Summer","Billy Joel",41
"Summer","Rihanna",41
"Winter","Kodak Black",41
"Fall","Clean Bandit",40
"Fall","The Jackson 5",40
"Spring","Jay Rock",40
"Spring","Lorde",40
"Spring","SZA",40
"Spring","whiterosemoxie",40
"Summer","2 Chainz",40
"Summer","A Boogie Wit da Hoodie",40
"Summer","Avicii",40
"Summer","Fetty Wap",40
"Summer","Major Lazer",40
"Winter","Bryce Hase",40
"Winter","Justin Bieber",40
"Fall","Lorde",39
"Fall","Sheck Wes",39
"Fall","The Police",39
"Fall","Usher",39
"Spring","Foster The People",39
"Summer","Billie Eilish",39
"Winter","Green Day",39
"Winter","Lynyrd Skynyrd",39
"Fall","ABBA",38
"Fall","Twenty One Pilots",38
"Spring","Jason Derulo",38
"Summer","Trippie Redd",38
"Winter","Elton John",38
"Winter","JAY-Z",38
"Winter","Zacari",38
"Fall","Majid Jordan",37
"Fall","Panic! At The Disco",37
"Fall","Wham!",37
"Spring","Chris Brown",37
"Spring","David Guetta",37
"Spring","Masego",37
"Spring","ScHoolboy Q",37
"Spring","YG",37
"Summer","GoldLink",37
"Summer","Jorja Smith",37
"Winter","Briston Maroney",37
"Winter","Joey Bada$$",37
"Winter","Lil Mosey",37
"Fall","Jonas Blue",36
"Fall","Marvin Gaye",36
"Fall","The Rolling Stones",36
"Spring","Elton John",36
"Summer","A$AP Mob",36
"Summer","Fitz and The Tantrums",36
"Summer","Machine Gun Kelly",36
"Summer","iann dior",36
"Winter","Bryce Vine",36
"Winter","Chris Brown",36
"Winter","Dreamville",36
"Winter","Journey",36
"Winter","KIDS SEE GHOSTS",36
"Winter","Roy Woods",36
"Fall","Aerosmith",35
"Fall","Bantu",35
"Fall","Roy Woods",35
"Spring","Hailee Steinfeld",35
"Spring","Vince Staples",35
"Summer","Gunna",35
"Summer","Owl City",35
"Summer","Vance Joy",35
"Winter","21 Savage",35
"Winter","SZA",35
"Fall","Lil Baby",34
"Fall","Pacific Air",34
"Fall","Taylor Swift",34
"Spring","24kGoldn",34
"Spring","Electric Light Orchestra",34
"Spring","Lil Tecca",34
"Spring","Metro Boomin",34
"Spring","Roy Woods",34
"Spring","Tame Impala",34
"Summer","Trey Songz",34
"Winter","David Guetta",34
"Winter","Fitz and The Tantrums",34
"Winter","Fleetwood Mac",34
"Winter","Marshmello",34
"Spring","Billy Joel",33
"Spring","Don Omar",33
"Spring","KIDS SEE GHOSTS",33
"Spring","Tom Petty",33
"Summer","Ariana Grande",33
"Summer","Shankar Mahadevan",33
"Winter","Alina Baraz",33
"Winter","Ryan Trey",33
"Winter","ScHoolboy Q",33
"Fall","Owl City",32
"Fall","Pitbull",32
"Fall","Red Hot Chili Peppers",32
"Fall","The Who",32
"Fall","Vance Joy",32
"Spring","2 Chainz",32
"Spring","Dua Lipa",32
"Spring","Kodak Black",32
"Spring","Shankar-Ehsaan-Loy",32
"Spring","iann dior",32
"Summer","DNCE",32
"Summer","Eagles",32
"Winter","Fetty Wap",32
"Winter","Giveon",32
"Winter","The Police",32
"Winter","The Who",32
"Fall","Bryce Hase",31
"Fall","Electric Light Orchestra",31
"Fall","Jason Derulo",31
"Spring","Ed Sheeran",31
"Spring","Eric Bellinger",31
"Spring","Jorja Smith",31
"Spring","Owl City",31
"Spring","Rihanna",31
"Summer","Dizaro",31
"Summer","G-Eazy",31
"Summer","Halsey",31
"Summer","Huncho Jack",31
"Summer","MGMT",31
