"Hour","Artist","Plays"
"22","Maluma",34
"06","Quinn XCII",33
"07","Bruno Major",33
"11","Khalid",33
"13","ODESZA",33
"16","The Piano Guys",33
"19","San Holo",33
"19","Sleeping At Last",33
"20","Pink Sweat$",33
"20","Pritam",33
"20","SYML",33
"01","Nicky Jam",32
"02","Giveon",32
"06","The Weeknd",32
"12","Jeremy Zucker",32
"16","Sleeping At Last",32
"17","Daniel Caesar",32
"17","Maluma",32
"17","Pritam",32
"18","Jon Bellion",32
"18","Oh Wonder",32
"19","XXXTENTACION",32
"21","ILLENIUM",32
"00","Nidza Bleja",31
"01","Herdis Stefansdottir",31
"05","SYML",31
"07","Khalid",31
"08","Bruno Major",31
"15","Oh Wonder",31
"16","Bazzi",31
"16","Daniel Caesar",31
"17","Kid Cudi",31
"18","CNCO",31
"18","Louis The Child",31
"18","Post Malone",31
"19","Mac Miller",31
"22","Lofi Fruits Music",31
"22","Oh Wonder",31
"01","Ludovico Einaudi",30
"05","Mac Miller",30
"05","Neelson Macias",30
"08","Sleeping At Last",30
"11","Quinn XCII",30
"12","Quinn XCII",30
"13","Ludovico Einaudi",30
"15","Mauve",30
"15","The Piano Guys",30
"18","DJomla KS",30
"18","R3HAB",30
"19","Jason Mraz",30
"20","ILLENIUM",30
"20","Kid Cudi",30
"20","Tyler and Mark",30
"22","Pedro Capo",30
"00","Kanye West",29
"00","SYML",29
"02","Post Malone",29
"08","Shoffy",29
"09","Neelson Macias",29
"12","Maluma",29
"12","ODESZA",29
"13","Mauve",29
"15","Mac Miller",29
"15","Maluma",29
"16","Russ",29
"22","Lola Fernando",29
"23","CNCO",29
"23","Frank Ocean",29
"23","Maluma",29
"02","Ludovico Einaudi",28
"04","Nicky Jam",28
"04","Pritam",28
"06","Pritam",28
"12","The Piano Guys",28
"13","Kanye West",28
"14","Pritam",28
"16","Giveon",28
"16","San Holo",28
"17","Labrinth",28
"18","Lauv",28
"18","Mac Miller",28
"19","Jon Bellion",28
"19","Kid Cudi",28
"19","Lauv",28
"20","Frank Ocean",28
"20","James Arthur",28
"20","Shoffy",28
"22","SYML",28
"22","Shoffy",28
"23","ILLENIUM",28
"23","Russ",28
"00","Lauv",27
"01","Jon Bellion",27
"01","Lauv",27
"02","Kygo",27
"02","Lauv",27
"03","Mac Miller",27
"03","XXXTENTACION",27
"07","Lolo Zouai",27
"12","Khalid",27
"13","The Piano Guys",27
"18","Jai Wolf",27
"18","Lofi Fruits Music",27
"18","Sleeping At Last",27
"19","Metro Boomin",27
"19","Pink Sweat$",27
"19","Russ",27
"20","Rihanna",27
"20","SZA",27
"21","Pedro Capo",27
"22","Ludovico Einaudi",27
"00","Giveon",26
"00","Post Malone",26
"03","Sleeping At Last",26
"04","Mauve",26
"04","Oh Wonder",26
"04","Travis Scott",26
"07","SYML",26
"08","Mac Miller",26
"13","Rafael El Ninos",26
"14","Nicky Jam",26
"16","Kygo",26
"16","Post Malone",26
"17","A R I Z O N A",26
"17","Sarcastic Sounds",26
"17","Shoffy",26
"18","J Balvin",26
"19","Kanye West",26
"19","Oh Wonder",26
"19","SAINt JHN",26
"21","Alan Walker",26
"21","Avicii",26
"22","CNCO",26
"01","Aries",25
"02","Mauve",25
"03","Kid Cudi",25
"04","Daniel Caesar",25
"07","Novo Amor",25
"08","Sarcastic Sounds",25
"09","Rafael El Ninos",25
"14","ODESZA",25
"14","The Piano Guys",25
"16","Kid Cudi",25
"17","Kanye West",25
"17","Kygo",25
"18","Frank Ocean",25
"18","SYML",25
"18","Shoffy",25
"19","Shoffy",25
"20","Alan Walker",25
"20","Daniel Caesar",25
"20","Drake",25
"20","Jai Wolf",25
"20","Kanye West",25
"20","Petit Biscuit",25
"20","Sia",25
"21","Akon",25
"21","Jon Bellion",25
"21","Kanye West",25
"22","Frank Ocean",25
"22","Ski Mask The Slump God",25
"00","Kygo",24
"01","Chelsea Cutler",24
"01","Kid Cudi",24
"01","Russ",24
"02","Russ",24
"03","James Blake",24
"03","Kamal.",24
"03","Maluma",24
"04","Sleeping At Last",24
"05","Post Malone",24
"05","Sleeping At Last",24
"06","Bruno Major",24
"15","Giveon",24
"15","Pritam",24
"16","Shawn Mendes",24
"17","Avicii",24
"17","Louis The Child",24
"17","Sleeping At Last",24
"18","Avicii",24
"18","Pink Sweat$",24
"19","Avicii",24
"19","Kasbo",24
"20","Kasbo",24
"20","Ludovico Einaudi",24
"21","Kendrick Lamar",24
"21","SYML",24
"22","Kanye West",24
"22","Martin Garrix",24
"23","Kygo",24
"23","Lucky Daye",24
"00","Daniel Caesar",23
"00","Kid Cudi",23
"00","Labrinth",23
"00","Mac Miller",23
"00","Maluma",23
"01","Alec Benjamin",23
"01","Bazzi",23
"01","CNCO",23
"02","Frank Ocean",23
"02","Jai Wolf",23
"05","Bruno Major",23
"12","The Weeknd",23
"13","Pritam",23
"15","Jon Bellion",23
"16","A R I Z O N A",23
"16","Drake",23
"16","Maluma",23
"17","J Balvin",23
"18","Alan Walker",23
"18","Chelsea Cutler",23
"18","Kid Cudi",23
"18","Pedro Capo",23
"18","Russ",23
"19","CNCO",23
"19","Chelsea Cutler",23
"20","Avicii",23
"20","Lost Kings",23
"20","Russ",23
"22","Chelsea Cutler",23
"22","Pink Sweat$",23
"23","Oh Wonder",23
"01","Kygo",22
"01","Oh Wonder",22
"02","ILLENIUM",22
"03","6LACK",22
"03","Lauv",22
"03","SAINt JHN",22
"04","Jaden",22
"04","Mac Miller",22
"04","Shoffy",22
"04","The Piano Guys",22
"05","Pritam",22
"06","ODESZA",22
"08","SYML",22
"09","Nidza Bleja",22
"11","Nidza Bleja",22
"12","Nidza Bleja",22
"14","Bazzi",22
"14","Daniel Caesar",22
"15","Daniel Caesar",22
"15","Lauv",22
"15","Post Malone",22
"16","Flume",22
"16","Louis The Child",22
"16","blackbear",22
"17","Ashe",22
"17","Shawn Mendes",22
"18","Masego",22
"18","Sarcastic Sounds",22
"19","Bazzi",22
"19","Daniel Caesar",22
"19","Lofi Fruits Music",22
"19","Pedro Capo",22
"20","Akon",22
"20","Jon Bellion",22
"20","Pedro Capo",22
"20","SAINt JHN",22
"21","Giveon",22
"21","Kid Cudi",22
"21","Ludovico Einaudi",22
"21","Metro Boomin",22
"21","Pink Sweat$",22
"21","SZA",22
"22","Alan Walker",22
"22","Giveon",22
"22","Petit Biscuit",22
"23","Kanye West",22
"23","Masego",22
"23","Metro Boomin",22
"23","Pedro Capo",22
"23","SYML",22
"23","Shoffy",22
"00","Bazzi",21
"00","Oh Wonder",21
"00","Pink Sweat$",21
"01","Louis The Child",21
"02","6LACK",21
"02","Kanye West",21
"03","Lolo Zouai",21
"04","Kid Cudi",21
"04","Kygo",21
"04","Nidza Bleja",21
"05","Ludovico Einaudi",21
"05","ODESZA",21
"06","Kid Cudi",21
"07","LawKu",21
"07","Nidza Bleja",21
"08","Daniel Caesar",21
"08","Herdis Stefansdottir",21
"08","Lolo Zouai",21
"08","The Piano Guys",21
"11","Jon Bellion",21
"12","Nicky Jam",21
"14","Pink Sweat$",21
"16","Juice WRLD",21
"16","Kanye West",21
"16","Oh Wonder",21
"17","6LACK",21
"17","Frank Ocean",21
"17","ILLENIUM",21
"17","Petit Biscuit",21
"18","6LACK",21
"18","Ludovico Einaudi",21
"18","XXXTENTACION",21
"19","Whethan",21
"19","ayokay",21
"20","CNCO",21
"20","Mitch James",21
"20","San Holo",21
"21","Drake",21
"21","Frank Ocean",21
"21","Jason Mraz",21
"21","Labrinth",21
"21","Masego",21
"21","Sarcastic Sounds",21
"21","The Chainsmokers",21
"22","Jai Wolf",21
"23","Jake Nilson",21
"23","Shawn Mendes",21
"00","Arijit Singh",20
"00","Avicii",20
"00","Chelsea Cutler",20
"00","Emmit Fenn",20
"00","Russ",20
"01","Daniel Caesar",20
"02","Herdis Stefansdottir",20
"02","Pentatonix",20
"02","Rihanna",20
"03","Daniel Caesar",20
"03","Frank Ocean",20
"04","Frank Ocean",20
"04","Russ",20
"05","Kanye West",20
"05","Kid Cudi",20
"05","Pink Sweat$",20
"06","Lauv",20
"06","Oh Wonder",20
"06","Post Malone",20
"06","SZA",20
"07","Lil Ca$h Machine",20
"07","Shoffy",20
"11","The Weeknd",20
"13","Post Malone",20
"14","Kanye West",20
"14","Oh Wonder",20
"15","Bazzi",20
"15","Kid Cudi",20
"16","ILLENIUM",20
"16","Joji",20
"17","Bazzi",20
"17","Jon Bellion",20
"17","Kasbo",20
"17","R3HAB",20
"17","SRTW",20
"18","AJR",20
"18","KSHMR",20
"18","Kanye West",20
"18","Kasbo",20
"18","PRETTYMUCH",20
"18","SRTW",20
"19","A R I Z O N A",20
"19","Borgeous",20
"19","Drake",20
"19","James Arthur",20
"19","Masego",20
"19","Train",20
"20","Anson Seabra",20
"20","Borgeous",20
"20","Shawn Mendes",20
"21","Daddy Yankee",20
"21","Jai Wolf",20
"21","Louis The Child",20
"21","Martin Garrix",20
"21","Oh Wonder",20
"21","Russ",20
"21","Shoffy",20
"22","Daniel Caesar",20
"22","ILLENIUM",20
"22","Lucky Daye",20
"22","Maroon 5",20
"22","Masego",20
"22","Metro Boomin",20
"22","SRTW",20
"22","San Holo",20
"22","Sleeping At Last",20
"22","The Chainsmokers",20
"23","Akon",20
"23","Alec Benjamin",20
"23","Joji",20
"23","Martin Garrix",20
"23","OneRepublic",20
"23","PRETTYMUCH",20
"23","Petit Biscuit",20
"23","Post Malone",20
"23","XXXTENTACION",20
"00","KSHMR",19
"01","Chainwave",19
"01","Drake",19
"01","Vishal-Shekhar",19
"02","Jaden",19
"03","Drake",19
"03","Kanye West",19
"03","Kygo",19
"03","Lil Ca$h Machine",19
"04","Bazzi",19
"04","Post Malone",19
"04","San Holo",19
"04","Sarcastic Sounds",19
"05","Shoffy",19
"06","Daniel Caesar",19
"06","Kygo",19
"06","Novo Amor",19
"06","Shoffy",19
"08","Khalid",19
"08","Ollie MN",19
"12","Pritam",19
"13","Giveon",19
"13","SYML",19
"14","Lauv",19
"16","CNCO",19
"16","Jaden",19
"16","Miguel",19
"16","Petit Biscuit",19
"17","Daddy Yankee",19
"17","Jaden",19
"17","Kamal.",19
"17","Oh Wonder",19
"17","ayokay",19
"18","Lewis Capaldi",19
"18","Luis Fonsi",19
"18","Martin Garrix",19
"18","blackbear",19
"19","Alan Walker",19
"19","Coldplay",19
"19","Kina",19
"19","Martin Garrix",19
"19","OneRepublic",19
"19","Pentatonix",19
"19","R3HAB",19
"19","Sia",19
"20","DuyVu",19
"20","Jason Mraz",19
"20","Labrinth",19
"20","Martin Garrix",19
"21","Bazzi",19
"21","Chelsea Cutler",19
"21","Daniel Caesar",19
"21","SRTW",19
"22","Disney Peaceful Piano",19
"22","Shawn Mendes",19
"23","A R I Z O N A",19
"23","Bazzi",19
"00","A R I Z O N A",18
"00","Akon",18
"00","CNCO",18
"00","Jake Nilson",18
"00","James Arthur",18
"00","Petit Biscuit",18
"01","Frank Ocean",18
"01","Giveon",18
"01","Sarcastic Sounds",18
"01","Shoffy",18
"02","Akon",18
"02","Ariana Grande",18
"02","Avicii",18
"02","CNCO",18
"02","Ellie Goulding",18
"02","Julia Michaels",18
"02","San Holo",18
"02","Shoffy",18
"03","Alan Walker",18
"03","Lewis Capaldi",18
"03","Sia",18
"04","Herdis Stefansdottir",18
"04","James Blake",18
"04","Labrinth",18
"04","Ludovico Einaudi",18
"04","Sasha Alex Sloan",18
"05","Daniel Caesar",18
"05","Labrinth",18
"06","Bazzi",18
"06","Russ",18
"07","Naturally Recurring",18
"07","Nina Linea",18
"07","Russ",18
"08","Pink Sweat$",18
"13","Lauv",18
"13","Shoffy",18
"14","Frank Ocean",18
"14","Giveon",18
"14","Mac Miller",18
"15","Juice WRLD",18
"15","Shoffy",18
"16","Avicii",18
"16","Masego",18
"16","Novo Amor",18
"16","SAINt JHN",18
"17","Pink Sweat$",18
"18","Big Sean",18
"18","Daddy Yankee",18
"18","Jason Mraz",18
"18","SZA",18
"19","Luis Fonsi",18
"19","Petit Biscuit",18
"19","Shawn Mendes",18
"19","Surfaces",18
"20","Arijit Singh",18
"20","KSHMR",18
"20","Kendrick Lamar",18
"21","Arijit Singh",18
"21","Kasbo",18
"21","Shawn Mendes",18
"21","Sleeping At Last",18
"22","Akon",18
"22","Bazzi",18
"22","Emmit Fenn",18
"22","James Arthur",18
"22","Kid Cudi",18
"22","XXXTENTACION",18
"23","James Arthur",18
"23","Jason Mraz",18
"23","KSHMR",18
"23","Mac Miller",18
"23","Sasha Alex Sloan",18
"23","Yiruma",18
"23","blackbear",18
"00","Aries",17
"00","Drake",17
"00","Jaden",17
"00","Justin Bieber",17
"01","Post Malone",17
"01","Shallou",17
"02","Alan Walker",17
"02","Bedtime Instrumental Piano Music Academy",17
"02","Maroon 5",17
"03","KSHMR",17
"03","Lost Kings",17
"03","Ludovico Einaudi",17
"03","Pitbull",17
"04","Anson Seabra",17
"04","CNCO",17
"04","Kanye West",17
"04","Lauv",17
"04","Lolo Zouai",17
"05","Kygo",17
"05","Novo Amor",17
"06","FINNEAS",17
"06","Joji",17
"07","Bazzi",17
"07","Chelsea Cutler",17
"07","Frank Ocean",17
"07","The Cinematic Orchestra",17
"09","Billie Eilish",17
"09","Sleeping At Last",17
"09","The Piano Guys",17
"11","Lolo Zouai",17
"11","Mike Donelli",17
"11","Oh Wonder",17
"11","Rihanna",17
"13","Daniel Caesar",17
"14","Petit Biscuit",17
"15","Russ",17
"15","SYML",17
"16","Alan Walker",17
"16","MAX",17
"16","R3HAB",17
"17","Big Sean",17
"17","Drake",17
"17","Emotional Oranges",17
"17","Giveon",17
"17","Pedro Capo",17
"17","Whethan",17
"18","Borgeous",17
"18","Bruno Major",17
"18","Enrique Iglesias",17
"18","James Blake",17
"18","MAX",17
"18","Mitch James",17
"18","Petit Biscuit",17
"18","Sasha Alex Sloan",17
"18","Shawn Mendes",17
"19","Justin Bieber",17
"19","KSHMR",17
"19","Nidza Bleja",17
"19","Rihanna",17
"19","Sarcastic Sounds",17
"20","Jaden",17
"20","Sam Smith",17
"20","The Kid LAROI",17
"20","XXXTENTACION",17
"21","Burna Boy",17
"21","Grady",17
"21","J Balvin",17
"21","KSHMR",17
"21","Lofi Fruits Music",17
"21","Petit Biscuit",17
"21","Sia",17
"22","Jason Mraz",17
"22","Joji",17
"22","Justin Bieber",17
"22","Kendrick Lamar",17
"22","Russ",17
"22","Sia",17
"22","Takagi & Ketra",17
"23","6LACK",17
"23","Avicii",17
"23","Jai Wolf",17
"23","San Holo",17
"00","Louis The Child",16
"00","blackbear",16
"01","Avicii",16
"01","Borgeous",16
"01","Bryson Tiller",16
"01","Metro Boomin",16
"01","Pentatonix",16
"01","Pitbull",16
"02","Anson Seabra",16
"02","Bruno Mars",16
"02","Jason Mraz",16
"02","Justin Bieber",16
"02","Lost Kings",16
"02","Pink Sweat$",16
"03","Pink Sweat$",16
"03","Russ",16
"04","James Arthur",16
"04","KSHMR",16
"04","Lolobe",16
"04","Shallou",16
"05","Emanuel",16
"05","Lauv",16
"05","Oh Wonder",16
"05","Travis Scott",16
"06","Lewis Capaldi",16
"06","Louis The Child",16
"06","Patrick Watson",16
"07","Ludovico Einaudi",16
"07","Post Malone",16
"09","Mac Miller",16
"10","Billie Eilish",16
"10","Vas Bela",16
"12","Lauv",16
"14","Drake",16
"14","James Blake",16
"14","Sleeping At Last",16
"15","Drake",16
"15","SZA",16
"16","Jon Bellion",16
"16","Martin Garrix",16
"16","OneRepublic",16
"17","Akon",16
"17","Alec Benjamin",16
"17","Disney Peaceful Piano",16
"17","Jose Anos",16
"17","Lofi Fruits Music",16
"17","Lucky Daye",16
"17","Martin Garrix",16
"17","Nidza Bleja",16
"17","Surfaces",16
"18","Arijit Singh",16
"18","Daniel Caesar",16
"18","Gryffin",16
"18","Joji",16
"18","Noah Cyrus",16
"18","Raven Corteir",16
"18","San Holo",16
"18","Travis Scott",16
"18","ayokay",16
"19","Gryffin",16
"19","J Balvin",16
"19","Lewis Capaldi",16
"19","Mitch James",16
"19","PRETTYMUCH",16
"19","SRTW",16
"19","Sam Smith",16
"19","Vishal-Shekhar",16
"20","Bruno Mars",16
"20","Calum Scott",16
"20","Cheat Codes",16
"20","Masego",16
"20","blackbear",16
"21","Coldplay",16
"21","Marshmello",16
"21","Ninho",16
"21","Takagi & Ketra",16
"21","ZAYN",16
"22","Jaden",16
"22","Peaceful Pianos",16
"22","Train",16
"23","Daddy Yankee",16
"23","Drake",16
"23","Kid Cudi",16
"23","Mitch James",16
"23","Nidza Bleja",16
"23","Pink Sweat$",16
"23","Rex Orange County",16
"23","Sam Smith",16
"00","Frank Ocean",15
"00","ILLENIUM",15
"00","Martin Garrix",15
"00","Pedro Capo",15
"00","SAINt JHN",15
"01","Chino Mambo",15
"01","Jai Wolf",15
"01","Joji",15
"01","SRTW",15
"01","blackbear",15
"02","A R I Z O N A",15
"02","KSHMR",15
"02","Mac Miller",15
"02","Sleeping At Last",15
"02","The Chainsmokers",15
"03","James Arthur",15
"03","Jon Bellion",15
"03","Justin Bieber",15
"03","OneRepublic",15
"03","Shoffy",15
"04","Faime",15
"04","Jason Mraz",15
"04","Martin Garrix",15
"04","Pentatonix",15
"04","SYML",15
"05","Bazzi",15
"05","Chelsea Cutler",15
"05","James Blake",15
"05","Joji",15
"05","Nikolas Rhonda",15
"05","Russ",15
"06","Rihanna",15
"07","Quinn XCII",15
"07","SZA",15
"07","Sam Smith",15
"08","Ludovico Einaudi",15
"09","Khalid",15
"10","Oh Wonder",15
"11","Bruno Major",15
"11","Russ",15
"13","Maluma",15
"13","Nikolas Rhonda",15
"13","Prince Royce",15
"14","Jason Mraz",15
"14","Luis Fonsi",15
"14","SYML",15
"14","Shoffy",15
"15","Kanye West",15
"15","Petit Biscuit",15
"16","Arijit Singh",15
"16","Frank Ocean",15
"16","James Blake",15
"16","Justin Bieber",15
"17","AJR",15
"17","Andy Grammer",15
"17","Anson Seabra",15
"17","James Blake",15
"17","Lewis Capaldi",15
"17","RINI",15
"18","A R I Z O N A",15
"18","Akon",15
"18","Ariana Grande",15
"18","James Arthur",15
"18","Major Lazer",15
"18","Mau y Ricky",15
"18","Surfaces",15
"19","Frank Ocean",15
"19","George Ezra",15
"19","Giveon",15
"19","Herdis Stefansdottir",15
"19","Jai Wolf",15
"19","Kamal.",15
"19","Takagi & Ketra",15
"20","Christian French",15
"20","Giveon",15
"20","Gryffin",15
"20","James TW",15
"20","Justin Bieber",15
"20","ayokay",15
"21","Disney Peaceful Piano",15
"21","Julia Michaels",15
"21","Justin Bieber",15
"21","Lewis Capaldi",15
"21","Sam Smith",15
"22","6LACK",15
"22","Arijit Singh",15
"22","Avicii",15
"22","Lewis Capaldi",15
"22","Louis The Child",15
"22","Luis Fonsi",15
"22","Sarcastic Sounds",15
"22","Sean Kingston",15
"22","Weston Estate",15
"22","ZAYN",15
"22","Zedd",15
"23","Gryffin",15
"23","Imagine Dragons",15
"23","Kasbo",15
"23","Luis Fonsi",15
"00","Alan Walker",14
"00","Jason Mraz",14
"00","Jon Bellion",14
"00","Maroon 5",14
"00","Metro Boomin",14
"00","Rihanna",14
"00","Shawn Mendes",14
"00","Sleeping At Last",14
"00","Takagi & Ketra",14
"01","A R I Z O N A",14
"01","ILLENIUM",14
"01","Kanye West",14
"01","Lorenzo De Lima",14
"01","R3HAB",14
"01","Rex Orange County",14
"02","Maluma",14
"02","OneRepublic",14
"02","Zedd",14
"03","Lofi Fruits Music",14
"03","Lucky Daye",14
"03","Martin Garrix",14
"03","SYML",14
"04","A R I Z O N A",14
"04","Emmit Fenn",14
"04","Pink Sweat$",14
"04","XXXTENTACION",14
"05","Alina Baraz",14
"05","Bakermat",14
"05","Lewis Capaldi",14
"05","Louis The Child",14
"05","Nelit Gro",14
"05","Nidza Bleja",14
"05","SZA",14
"06","Conor Maynard",14
"06","Don Toliver",14
"06","James TW",14
"06","Ollie MN",14
"06","Pink Sweat$",14
"07","James Blake",14
"07","Mauve",14
