"SchoolPeriod","Artist","Plays"
"12th Grade","Ne-Yo",6
"12th Grade","NinoK",6
"12th Grade","Peter Manos",6
"12th Grade","Phillipp Vogler",6
"12th Grade","Pia Mia",6
"12th Grade","Primer Dia",6
"12th Grade","Ray Dalton",6
"12th Grade","Robyn Sherwell",6
"12th Grade","Ruben Pol",6
"12th Grade","Rudimental",6
"12th Grade","SacreLumiere",6
"12th Grade","Sleep Lab",6
"12th Grade","Sophie Simmons",6
"12th Grade","The Neighbourhood",6
"12th Grade","The Wanted",6
"12th Grade","Tori Kelly",6
"12th Grade","Tyga",6
"12th Grade","Tyla Yaweh",6
"12th Grade","Vishal-Shekhar",6
"12th Grade","XYLO",6
"12th Grade","iann dior",6
"12th Grade","musitzun",6
"12th-Freshman Summer","Alina Linnea",6
"12th-Freshman Summer","Angus & Julia Stone",6
"12th-Freshman Summer","B.o.B",6
"12th-Freshman Summer","BTS",6
"12th-Freshman Summer","Big Time Rush",6
"12th-Freshman Summer","Boy In Space",6
"12th-Freshman Summer","Christine Papst",6
"12th-Freshman Summer","Conan Gray",6
"12th-Freshman Summer","Damion Delaney",6
"12th-Freshman Summer","Danny Ocean",6
"12th-Freshman Summer","Daryl Hall & John Oates",6
"12th-Freshman Summer","EDEN",6
"12th-Freshman Summer","Everaire",6
"12th-Freshman Summer","Evie Belcher",6
"12th-Freshman Summer","Fickle Friends",6
"12th-Freshman Summer","Goldmund",6
"12th-Freshman Summer","ILLENIUM",6
"12th-Freshman Summer","Il Sognatore",6
"12th-Freshman Summer","Intentional Vibes",6
"12th-Freshman Summer","JOMALU",6
"12th-Freshman Summer","Jakob",6
"12th-Freshman Summer","Jay Sean",6
"12th-Freshman Summer","Josef Passagio",6
"12th-Freshman Summer","Labrinth",6
"12th-Freshman Summer","Late Era",6
"12th-Freshman Summer","Lights From A Distance",6
"12th-Freshman Summer","Limestone Quarry",6
"12th-Freshman Summer","Lost Kings",6
"12th-Freshman Summer","Lovd Ones",6
"12th-Freshman Summer","Lucas Estrada",6
"12th-Freshman Summer","Maisie Peters",6
"12th-Freshman Summer","Minnie Delarosa",6
"12th-Freshman Summer","Monorie",6
"12th-Freshman Summer","NOTD",6
"12th-Freshman Summer","O.A.S.",6
"12th-Freshman Summer","Poppy Robson",6
"12th-Freshman Summer","Prince Royce",6
"12th-Freshman Summer","Raffaella Lori",6
"12th-Freshman Summer","Rod Wave",6
"12th-Freshman Summer","Roman Muller",6
"12th-Freshman Summer","SEBASTIAN PAUL",6
"12th-Freshman Summer","SZA",6
"12th-Freshman Summer","Smash Mouth",6
"12th-Freshman Summer","Social House",6
"12th-Freshman Summer","Surf Mesa",6
"12th-Freshman Summer","Syla Lo",6
"12th-Freshman Summer","The Band CAMINO",6
"12th-Freshman Summer","Tyler, The Creator",6
"12th-Freshman Summer","Ultimate Sleep",6
"12th-Freshman Summer","WUSA",6
"12th-Freshman Summer","Wolfgang Snow",6
"12th-Freshman Summer","iann dior",6
"9th Grade","Jeroen van Veen",6
"Freshman Year","ASTN",6
"Freshman Year","Afro B",6
"Freshman Year","Ann Windsor",6
"Freshman Year","Ashe",6
"Freshman Year","Ave Air",6
"Freshman Year","Bad Meets Evil",6
"Freshman Year","Barrio Latino",6
"Freshman Year","Benjamin Martins",6
"Freshman Year","Big Wild",6
"Freshman Year","Blewbird",6
"Freshman Year","Bliss Phenomena",6
"Freshman Year","Bonnie Mathis",6
"Freshman Year","Cash Cash",6
"Freshman Year","Chiiild",6
"Freshman Year","Clairo",6
"Freshman Year","Claude Debussy",6
"Freshman Year","Clean Bandit",6
"Freshman Year","Commodores",6
"Freshman Year","CoryaYo",6
"Freshman Year","Dave",6
"Freshman Year","Diljit Dosanjh",6
"Freshman Year","Dj Kass",6
"Freshman Year","Djo",6
"Freshman Year","ElectronicFirefly",6
"Freshman Year","Elmau Dunkel",6
"Freshman Year","Enlightment Spirits",6
"Freshman Year","Ezechiel Almonte",6
"Freshman Year","GASHI",6
"Freshman Year","GROUPLOVE",6
"Freshman Year","Gentle States",6
"Freshman Year","Gnarls Barkley",6
"Freshman Year","Hailee Steinfeld",6
"Freshman Year","Hector Warrens",6
"Freshman Year","Herbie Hancock",6
"Freshman Year","In Love With a Ghost",6
"Freshman Year","Jacquees",6
"Freshman Year","Jeezai",6
"Freshman Year","Jessie Reyez",6
"Freshman Year","Jhove",6
"Freshman Year","K-391",6
"Freshman Year","KAYTRANADA",6
"Freshman Year","KYLE",6
"Freshman Year","Kane Brown",6
"Freshman Year","Kansh",6
"Freshman Year","Kevin Abstract",6
"Freshman Year","Kim Bo",6
"Freshman Year","Koffee",6
"Freshman Year","Lamb & Mountain",6
"Freshman Year","Le Youth",6
"Freshman Year","Lena Bickeby",6
"Freshman Year","Leon Bridges",6
"Freshman Year","Liquid Mind",6
"Freshman Year","Lokss",6
"Freshman Year","Louis Armstrong",6
"Freshman Year","Luna Lighthouse",6
"Freshman Year","NATTI NATASHA",6
"Freshman Year","Nadine Gaertner",6
"Freshman Year","Niaklus",6
"Freshman Year","Niall Horan",6
"Freshman Year","Norrona",6
"Freshman Year","O.A.S.",6
"Freshman Year","Oliver Hoffman",6
"Freshman Year","Osteriana",6
"Freshman Year","PARTYNEXTDOOR",6
"Freshman Year","Paris Boy",6
"Freshman Year","Petros Idris",6
"Freshman Year","Pierre Delongpre",6
"Freshman Year","Pitbull",6
"Freshman Year","Playboi Carti",6
"Freshman Year","Pyotr Ilyich Tchaikovsky",6
"Freshman Year","Ralph Castelli",6
"Freshman Year","Robin Schulz",6
"Freshman Year","Rod Wave",6
"Freshman Year","Rudimental",6
"Freshman Year","S1mba",6
"Freshman Year","SLANDER",6
"Freshman Year","Sachet Tandon",6
"Freshman Year","Shaggy",6
"Freshman Year","Sigala",6
"Freshman Year","Soft Sense",6
"Freshman Year","Soft Voyage",6
"Freshman Year","Still Tides",6
"Freshman Year","Still Woozy",6
"Freshman Year","Summer Walker",6
"Freshman Year","T.I.",6
"Freshman Year","Tainy",6
"Freshman Year","Tori Kelly",6
"Freshman Year","Trinnie Deux",6
"Freshman Year","Tyga",6
"Freshman Year","Ultimate Sleep",6
"Freshman Year","Vaclav Slezak",6
"Freshman Year","Vancouver Sleep Clinic",6
"Freshman Year","Vincent Fanguro",6
"Freshman Year","Visitors Not Strangers",6
"Freshman Year","WATTS",6
"Freshman Year","Wisin",6
"Freshman Year","Young Money",6
"Freshman Year","Zims Ele",6
"Freshman Year","atm0",6
"Freshman Year","fun.",6
"Freshman Year","ikerat",6
"Freshman Year","miss Isa",6
"Freshman Year","orbit",6
"Freshman Year","shy martin",6
"Freshman Year","tobi lou",6
"Freshman Year","trxxshed",6
"Freshman Year","xander.",6
"Freshman-Sophomore Summer","$NOT",6
"Freshman-Sophomore Summer","*NSYNC",6
"Freshman-Sophomore Summer","AJ Mitchell",6
"Freshman-Sophomore Summer","Alessia Cara",6
