"Person","Type","ID","Split","Val"
"DM","Top Songs November","3UEvel6xSrY4jLe1uTSs7U","month","11"
"DM","Top Songs December","0LUjrlELcUnbZcZlLcFKSX","month","12"
"AN","Top Songs August 2016","0hmrmwz3IYlct5I5CvCfZK","monthyear","2016-08"
"AN","Top Songs September 2016","6TXLE9zFxbp9vZ8zzN7vvr","monthyear","2016-09"
"AN","Top Songs October 2016","30b8c5TRof1rMpjCn1jbWh","monthyear","2016-10"
"AN","Top Songs November 2016","39e2AhvCxS3j3Z8VD5wC8G","monthyear","2016-11"
"AN","Top Songs December 2016","1tpbUrDRHfMhQrkbfESVxE","monthyear","2016-12"
"AN","Top Songs January 2017","7gfTUiQ2SX7YtoPF61OZrY","monthyear","2017-01"
"AN","Top Songs February 2017","471WcGzkLOAGyVR9vWSpIt","monthyear","2017-02"
"AN","Top Songs March 2017","1NY0UtJzNXk0Nai8hbYgfm","monthyear","2017-03"
"AN","Top Songs April 2017","6MpnFmvqq5x60CvF4aOPmR","monthyear","2017-04"
"AN","Top Songs May 2017","50kUjjNlqPhQWtkxPL8kXj","monthyear","2017-05"
"AN","Top Songs June 2017","5m8RqzJEUqAMhQZ392ZhFL","monthyear","2017-06"
"AN","Top Songs July 2017","0r76qWEF5XLDSbmyykhsuA","monthyear","2017-07"
"AN","Top Songs August 2017","6UQ0uoFrBfr8sS5IhnMIkq","monthyear","2017-08"
"AN","Top Songs September 2017","7qviA2QqztfJgexSQZ654A","monthyear","2017-09"
"AN","Top Songs October 2017","6Xe56mcpCKh6Zden3KM6UV","monthyear","2017-10"
"AN","Top Songs November 2017","6r04mJOX4nHxxCoqo6XuUe","monthyear","2017-11"
"AN","Top Songs December 2017","4SlldIYivQkhJbM53A4NbU","monthyear","2017-12"
"AN","Top Songs January 2018","3ZjaEaqDacHBKBeZCG92Im","monthyear","2018-01"
"AN","Top Songs February 2018","5nx6MUU8i5bEB11LZ4RsVt","monthyear","2018-02"
