"Album","Plays","Songs","Artist","First Listen","Plays Per Song"
"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",109,10,"Billie Eilish","2019-03-29",10.9
"Perfect Timing",108,1,"NAV","2017-07-25",108
"Rather Be (feat. Jess Glynne)",108,1,"Clean Bandit","2017-09-13",108
"Revival",108,15,"Eminem","2017-12-15",7.2
"One of These Nights",107,1,"Eagles","2018-06-13",107
"Thank Me Later",107,4,"Drake","2016-04-24",26.75
"gone girl",106,1,"iann dior","2019-11-10",106
"Culture II",105,9,"Migos","2018-01-26",11.6666666666667
"Huncho Jack, Jack Huncho",105,11,"Huncho Jack","2018-01-26",9.54545454545454
"It Is What It Is",105,15,"Thundercat","2021-04-29",7
"Kauai",104,3,"Childish Gambino","2018-01-09",34.6666666666667
"NOT ALL HEROES WEAR CAPES",103,11,"Metro Boomin","2018-11-05",9.36363636363636
"Kamikaze",102,13,"Eminem","2018-08-31",7.84615384615385
"My Everything",102,3,"Ariana Grande","2017-09-05",34
"Second Helping",102,1,"Lynyrd Skynyrd","2017-10-15",102
"Shoot For The Stars Aim For The Moon",102,9,"Pop Smoke","2020-07-21",11.3333333333333
"Viva La Vida or Death and All His Friends",102,2,"Coldplay","2017-12-04",51
"At What Cost",101,2,"GoldLink","2018-06-19",50.5
"""""Awaken, My Love!""""",100,4,"Childish Gambino","2017-11-28",25
"Hotel California",100,2,"Eagles","2017-09-05",50
"Playboi Carti",99,11,"Playboi Carti","2017-07-15",9
"Pretty Girls Like Trap Music",99,3,"2 Chainz","2017-08-24",33
"Goodbye & Good Riddance",98,8,"Juice WRLD","2018-07-12",12.25
"Jason Derulo",98,2,"Jason Derulo","2017-05-16",49
"HNDRXX",96,4,"Future","2017-06-02",24
"I Am Not A Human Being",95,3,"Lil Wayne","2017-12-14",31.6666666666667
"Oracular Spectacular",95,3,"MGMT","2021-02-11",31.6666666666667
"Sundress",95,1,"A$AP Rocky","2019-09-17",95
"Coloring Book",94,6,"Chance the Rapper","2017-06-21",15.6666666666667
"JESUS IS KING",94,11,"Kanye West","2019-10-25",8.54545454545454
"Let Me Go (with Alesso, Florida Georgia Line & watt)",94,1,"Hailee Steinfeld","2017-12-14",94
"Pure Heroine",94,8,"Lorde","2017-06-16",11.75
"Sunny Day",94,1,"Dizaro","2018-09-14",94
"0 To 100 / The Catch Up",92,1,"Drake","2017-06-08",92
"Lazy Fair",92,1,"Bryce Vine","2021-02-15",92
"ROXANNE",92,1,"Arizona Zervas","2019-11-01",92
"A Head Full of Dreams",91,2,"Coldplay","2016-04-19",45.5
"channel ORANGE",91,16,"Frank Ocean","2017-07-18",5.6875
"DNCE",90,2,"DNCE","2018-03-20",45
"Heartbreak on a Full Moon",90,2,"Chris Brown","2019-01-08",45
"Let It Bleed",90,9,"The Rolling Stones","2016-04-20",10
"Tuesday (feat. Drake)",90,1,"ILOVEMAKONNEN","2017-11-22",90
"Cafeteria (feat. Gunna)",89,1,"CHASE B","2020-10-13",89
"LOYAL (feat. Drake)",89,1,"PARTYNEXTDOOR","2019-11-22",89
"Without Warning",88,9,"Offset","2017-11-28",9.77777777777778
"CALL ME IF YOU GET LOST",87,11,"Tyler, The Creator","2021-06-30",7.90909090909091
"bloom",87,4,"Machine Gun Kelly","2017-10-06",21.75
"Aerosmith",86,1,"Aerosmith","2017-10-16",86
"Because the Internet",86,5,"Childish Gambino","2019-04-08",17.2
"Fetty Wap",86,4,"Fetty Wap","2016-04-25",21.5
"One Love",85,2,"David Guetta","2020-06-13",42.5
"Tribute",85,2,"John Newman","2019-05-28",42.5
"Jackie Chan",84,1,"Bantu","2018-07-12",84
"We All Shine",84,1,"YNW Melly","2019-05-25",84
"?",83,6,"XXXTENTACION","2018-04-05",13.8333333333333
"Kiss Land",83,6,"The Weeknd","2020-07-12",13.8333333333333
"Laugh Now Cry Later (feat. Lil Durk)",83,1,"Drake","2020-08-14",83
"Questions",83,1,"Chris Brown","2017-09-13",83
"Halcyon Days",82,1,"Ellie Goulding","2018-04-07",82
"THE GOAT",82,5,"Polo G","2020-07-09",16.4
"Grateful",81,3,"DJ Khaled","2017-07-22",27
"Lake Shore Drive",81,1,"Aliotta Haynes Jeremiah","2019-01-22",81
"Slippery When Wet",81,4,"Bon Jovi","2017-10-09",20.25
"Weezer",81,2,"Weezer","2020-01-15",40.5
"1999",80,13,"Joey Bada$$","2021-04-29",6.15384615384615
"Dream Your Life Away",80,3,"Vance Joy","2018-02-14",26.6666666666667
"I Am Not A Human Being II",80,1,"Lil Wayne","2017-06-17",80
