"Artist","Album","Songs","Plays Per Song"
"Migos","Culture II",9,11.6666666666667
"Huncho Jack","Huncho Jack, Jack Huncho",11,9.54545454545454
"Thundercat","It Is What It Is",15,7
"Childish Gambino","Kauai",3,34.6666666666667
"Metro Boomin","NOT ALL HEROES WEAR CAPES",11,9.36363636363636
"Eminem","Kamikaze",13,7.84615384615385
"Ariana Grande","My Everything",3,34
"Pop Smoke","Shoot For The Stars Aim For The Moon",9,11.3333333333333
"Coldplay","Viva La Vida or Death and All His Friends",2,51
"GoldLink","At What Cost",2,50.5
"Childish Gambino","""""Awaken, My Love!""""",4,25
"Eagles","Hotel California",2,50
"Playboi Carti","Playboi Carti",11,9
"2 Chainz","Pretty Girls Like Trap Music",3,33
"Juice WRLD","Goodbye & Good Riddance",8,12.25
"Jason Derulo","Jason Derulo",2,49
"Future","HNDRXX",4,24
"Lil Wayne","I Am Not A Human Being",3,31.6666666666667
"MGMT","Oracular Spectacular",3,31.6666666666667
"Chance the Rapper","Coloring Book",6,15.6666666666667
"Kanye West","JESUS IS KING",11,8.54545454545454
"Lorde","Pure Heroine",8,11.75
"Coldplay","A Head Full of Dreams",2,45.5
"Frank Ocean","channel ORANGE",16,5.6875
"DNCE","DNCE",2,45
"Chris Brown","Heartbreak on a Full Moon",2,45
"The Rolling Stones","Let It Bleed",9,10
"Offset","Without Warning",9,9.77777777777778
"Tyler, The Creator","CALL ME IF YOU GET LOST",11,7.90909090909091
"Machine Gun Kelly","bloom",4,21.75
"Childish Gambino","Because the Internet",5,17.2
"Fetty Wap","Fetty Wap",4,21.5
"David Guetta","One Love",2,42.5
"John Newman","Tribute",2,42.5
"XXXTENTACION","?",6,13.8333333333333
"The Weeknd","Kiss Land",6,13.8333333333333
"Polo G","THE GOAT",5,16.4
"DJ Khaled","Grateful",3,27
"Bon Jovi","Slippery When Wet",4,20.25
"Weezer","Weezer",2,40.5
"Joey Bada$$","1999",13,6.15384615384615
"Vance Joy","Dream Your Life Away",3,26.6666666666667
"Elton John","Madman Across The Water",2,39.5
"NAV","NAV",4,19.5
"Electric Light Orchestra","Out of the Blue",4,19.5
"Childish Gambino","Because The Internet",4,19
"Lil Mosey","Certified Hitmaker",5,15.2
"Creedence Clearwater Revival","Willy And The Poor Boys",2,38
"Queen","Hot Space",3,25
"J. Cole","KOD",11,6.81818181818182
"21 Savage","Issa Album",2,37
"Usher","Raymond v Raymond",3,24.6666666666667
"Mr. Probz","Waves",2,37
"Juice WRLD","Death Race For Love",8,9.125
"Baby Keem","Hearts and Darts",4,18.25
"Kid Cudi","Indicud",17,4.29411764705882
"A$AP Rocky","LONG.LIVE.A$AP",3,24.3333333333333
"Saint Motel","My Type EP",2,36.5
"The Rolling Stones","Beggars Banquet",2,36
"42 Dugg","Free Dem Boyz",3,23.6666666666667
"Owl City","Ocean Eyes",4,17.75
"Green Day","American Idiot",2,35
"Jeremih","Late Nights: The Album",4,17.5
"Maroon 5","Hands All Over",4,17.25
