"Song","Artist","Plays","First Listen","ID"
"Knock Knock","Mac Miller",452,2019-02-14,"3uYm4MtU6jUQft2DtGqEoZ"
"BLEACH","BROCKHAMPTON",449,2018-12-28,"0dWOFwdXrbBUYqD9DLsoyK"
"Bank Account","21 Savage",444,2017-09-11,"2fQrGHiQOvpL9UgPvtYy6G"
"RERUN (feat. Travis Scott)","Quavo",440,2018-10-12,"0JYAsQJWIuaYUvZGF1qapT"
"Control","Olympic Ayres",438,2021-08-05,"7x7krwGApG7VNTDUYJpc7c"
"Holiday","KSI",435,2021-06-20,"6nV2dFZXpv1JlqDWBeTXRl"
"Kamikaze","Lil Mosey",434,2019-02-16,"1iPBD72u3nAyFEeardYuBV"
"God's Plan","Drake",428,2018-02-18,"2XW4DbS6NddZxRPm5rMCeY"
"Manhattan (feat. Marc E. Bassy & Skizzy Mars)","Keenan",427,2021-06-03,"33pXpH7VVUVGET3ui4CI4T"
"Better","Khalid",425,2018-09-14,"339Y993TrFyWyO438be0RY"
"The Spins","Mac Miller",425,2020-04-29,"51pshtuYkgUQnt5huMPbKL"
"Pray For Me (with Kendrick Lamar)","The Weeknd",422,2018-02-06,"77UjLW8j5UAGAGVGhR5oUK"
"Plastic","Jaden",419,2018-11-17,"3wFnBRnYgpdoBQyXl3NxoH"
"Parallel Parking","Arden Jones",414,2021-02-16,"5QGHOeBYDauPtC8yYD3wZZ"
"Can't Hold Us (feat. Ray Dalton)","Macklemore & Ryan Lewis",411,2017-11-06,"3bidbhpOYeV4knp8AIu8Xn"
"Good News","Mac Miller",406,2020-01-10,"1DWZUa5Mzf2BwzpHtgbHPY"
"Lucid Dreams","Juice WRLD",405,2018-06-19,"0s3nnoMeVWz3989MkNQiRf"
"See Me","Rich Brian",405,2018-02-01,"17I8HJ0rI760NXwve92rpO"
"Get Up","Mac Miller",404,2018-10-03,"2I5tgzOlFMAxcmcxh7tpUg"
"Team","Lorde",400,2020-09-14,"3G6hD9B2ZHOsgf4WfNu7X1"
"Mirrors - Radio Edit","Justin Timberlake",396,2020-04-02,"6ToFxXRBtl5TJFEyIoYK3f"
"No Hands (feat. Roscoe Dash & Wale)","Waka Flocka Flame",391,2017-12-09,"03tqyYWC9Um2ZqU0ZN849H"
"Armed And Dangerous","Juice WRLD",388,2018-11-20,"5wujBwqG7INdStqGd4tRMX"
"Down Like That (feat. Rick Ross, Lil Baby & S-X)","KSI",387,2019-11-10,"4etKC4ngPKsQDHUMnYgV3A"
"Young Dumb & Broke","Khalid",383,2017-10-16,"5Z3GHaZ6ec9bsiI5BenrbY"
"Are You Bored Yet? (feat. Clairo)","Wallows",382,2020-05-09,"57RA3JGafJm5zRtKJiKPIm"
"WHATS POPPIN","Jack Harlow",382,2020-01-22,"1jaTQ3nqY3oAAYyCTbIvnM"
"Paradise","Coldplay",379,2019-04-06,"6nek1Nin9q48AVZcWs9e9D"
"Learn How to Watch (feat. Mac Miller & MadeinTYO)","Carnage",375,2018-10-10,"310Qd5lOzFStXKZB3zWCtE"
"Headlines","Drake",371,2019-05-19,"6LxSe8YmdPxy095Ux6znaQ"
"History","88rising",369,2018-07-18,"4TwVtW8hS5LyLoDtJGpUOg"
"Stir Fry","Migos",369,2018-03-12,"2UVbBKQOdFAekPTRsnkzcf"
"Mo Bamba","Sheck Wes",368,2018-09-06,"1xzBco0xcoJEDXktl7Jxrr"
"Costa Rica (with Bas & JID feat. Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God)","Dreamville",366,2019-07-29,"5WnfnSpuNEGXyEt78PBA6d"
"Rapper","Jaden",366,2018-08-24,"1XKdnMOLvwsn4lHqj03JCf"
"Broke","Samm Henshaw",365,2021-06-04,"1JqcZQCnxjDOfZZwQidb1H"
"It's Time","Imagine Dragons",364,2019-06-24,"6BtmXhTJMM9sBTHeYYASGz"
"Radioactive","Imagine Dragons",363,2017-09-11,"4G8gkOterJn0Ywt6uhqbhp"
"WANTED U","Joji",363,2019-08-31,"0Y9D1Bc4fAkeZnVsGKdij6"
"The Search - Edit","NF",362,2019-07-13,"4tZDUt8vHpvjfOXcHwOvtq"
"Wells Fargo (with JID & EARTHGANG feat. Buddy & Guapdad 4000) - Interlude","Dreamville",362,2019-07-18,"2gtFMLjQpCTGekMi4oXZxN"
"Cold Blooded","Khalid",361,2017-12-11,"34izzOmykADkGT27pUjUvJ"
"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",359,2020-04-12,"78QR3Wp35dqAhFEc2qAGjE"
"Mood (feat. iann dior)","24kGoldn",357,2020-08-10,"3tjFYV6RSFtuktYl3ZtYcq"
"Brazil","Declan McKenna",353,2022-02-21,"4sNG6zQBmtq7M8aeeKJRMQ"
"All The Stars (with SZA)","Kendrick Lamar",350,2018-01-15,"3GCdLUSnKSMJhs4Tj6CV3s"
"Almost (Sweet Music)","Hozier",347,2019-11-17,"5Apvsk0suoivI1H8CmBglv"
"Sanguine Paradise","Lil Uzi Vert",345,2019-04-10,"3XiNC94b4Tq1xwv70sQJGN"
"Take What You Want (feat. Ozzy Osbourne & Travis Scott)","Post Malone",345,2019-09-08,"7CZyCXKG6d5ALeq41sLzbw"
"Do Not Disturb (feat. Lil Yachty & Offset)","Smokepurpp",343,2019-09-06,"08zAFXhfyIxq9359NHksdP"
"Under The Sun (with J. Cole & Lute feat. DaBaby)","Dreamville",343,2019-07-08,"6MF4tRr5lU8qok8IKaFOBE"
"NO NAME","NF",342,2019-02-17,"7hdw5gAGMyyn9z0XgfTv1j"
"Cigarette Daydreams","Cage The Elephant",341,2020-05-10,"2tznHmp70DxMyr2XhWLOW0"
"Daylight","Joji",340,2020-08-10,"6Ed1q0X8oSKSm4IIhiQbYg"
"Wet Dreamz","J. Cole",338,2019-03-23,"6Ius4TC0L3cN74HT7ENE6e"
"Cabin Fever","Jaden",332,2020-07-26,"4P04T22VRDMfG7Yk0SMMxP"
