"Artist","Plays","Songs","First Listen","Plays Per Song"
"Lupe Fiasco",308,3,2018-07-05,102.666666666667
"Gunna",307,7,2019-03-03,43.8571428571429
"Trippie Redd",306,5,2018-11-15,61.2
"Portugal. The Man",304,2,2017-09-12,152
"Carolina Liar",301,2,2020-05-09,150.5
"Tyla Yaweh",290,3,2020-06-12,96.6666666666667
"Smash Mouth",284,3,2020-02-29,94.6666666666667
"Tiny Meat Gang",283,10,2019-06-07,28.3
"Baby Keem",282,19,2021-09-11,14.8421052631579
"Sarah and the Sundays",281,15,2022-02-08,18.7333333333333
"FRENSHIP",276,1,2021-06-04,276
"Mike Dimes",275,15,2022-06-14,18.3333333333333
"David Guetta",274,6,2020-04-17,45.6666666666667
"The Backseat Lovers",271,2,2021-04-20,135.5
"Jeremy Zucker",270,7,2019-11-18,38.5714285714286
"BlocBoy JB",266,1,2018-05-06,266
"Dominic Fike",263,5,2019-10-10,52.6
"Wes Walker",262,1,2019-03-26,262
"Alfie Templeman",260,5,2021-06-08,52
"George Ezra",259,3,2019-06-20,86.3333333333333
"NLE Choppa",257,1,2019-08-30,257
"Chance the Rapper",250,9,2018-04-20,27.7777777777778
"A$AP Rocky",248,4,2019-11-15,62
"House Of Pain",248,1,2019-11-02,248
"Jalen Santoy",247,2,2020-05-06,123.5
"Social House",246,1,2019-06-14,246
"Grady",243,2,2022-05-15,121.5
"Gym Class Heroes",238,3,2020-03-29,79.3333333333333
"Rihanna",236,8,2019-06-14,29.5
"Daniel Caesar",227,8,2019-06-29,28.375
"Smallpools",224,3,2020-09-08,74.6666666666667
"GROUPLOVE",222,2,2019-07-30,111
"Jack Gray",216,1,2020-12-12,216
"Rich The Kid",216,5,2018-03-12,43.2
"benny blanco",214,5,2018-08-20,42.8
"Hippo Campus",212,3,2020-05-27,70.6666666666667
"ODESZA",212,3,2019-01-26,70.6666666666667
"Samsa",212,4,2020-12-05,53
"Her's",211,1,2021-12-29,211
"X Ambassadors",210,2,2020-04-01,105
"Sigala",208,2,2019-06-21,104
"Rynx",207,4,2019-08-07,51.75
"Galantis",206,4,2020-02-28,51.5
"Kodak Black",205,5,2018-11-07,41
"Kygo",201,6,2019-06-22,33.5
"Ocean Park Standoff",198,4,2020-06-21,49.5
"Tiesto",198,6,2018-06-20,33
"Flume",197,6,2020-06-17,32.8333333333333
"Justin Bieber",196,10,2019-11-16,19.6
"The Killers",196,1,2018-12-15,196
"M83",192,5,2020-11-12,38.4
"EVAN GIIA",189,2,2019-11-18,94.5
"Labrinth",187,7,2020-09-14,26.7142857142857
"RL Grime",187,15,2019-07-27,12.4666666666667
"Owl City",183,2,2019-11-16,91.5
"Outkast",181,2,2019-06-14,90.5
"NEIKED",180,1,2021-10-22,180
"Bad Suns",179,3,2022-03-07,59.6666666666667
"John Mayer",179,3,2020-03-29,59.6666666666667
"DNCE",177,1,2019-06-22,177
"TJ Hickey",176,1,2022-05-01,176
"Bruno Mars",171,19,2019-06-22,9
"Noah Kahan",170,13,2022-03-25,13.0769230769231
"Snakehips",170,2,2018-12-07,85
"Deorro",168,2,2019-11-18,84
"Louis The Child",164,4,2019-06-22,41
"Peach Tree Rascals",160,1,2020-09-08,160
"Aer",159,4,2021-03-20,39.75
"The Lumineers",159,8,2020-06-30,19.875
"Jungle",157,6,2021-05-01,26.1666666666667
"Comethazine",156,5,2019-08-29,31.2
"Capital Cities",154,3,2020-03-29,51.3333333333333
"XXXTENTACION",154,8,2018-06-20,19.25
"Run The Jewels",153,1,2018-11-01,153
"Lil Durk",152,2,2020-05-09,76
"Earth, Wind & Fire",149,2,2019-01-26,74.5
"G Herbo",148,1,2020-06-03,148
"Supergrass",148,1,2022-03-01,148
"Swedish House Mafia",143,5,2020-01-28,28.6
"Tyga",143,1,2018-08-29,143
"Endor",141,1,2021-06-17,141
"Hoodie Allen",139,3,2020-09-18,46.3333333333333
"Neon Trees",139,5,2019-11-17,27.8
"Sean Kingston",136,4,2019-03-23,34
"Two Door Cinema Club",134,4,2020-12-09,33.5
"Luke Christopher",130,2,2021-06-09,65
"Eminem",127,13,2017-11-11,9.76923076923077
"ScHoolboy Q",127,3,2018-10-10,42.3333333333333
"Alex Clare",126,2,2020-12-09,63
"Nico & Vinz",123,2,2018-05-23,61.5
"The Neighbourhood",120,5,2020-03-29,24
"Enrique Iglesias",119,3,2017-09-13,39.6666666666667
"B.o.B",118,5,2019-03-25,23.6
"Childish Gambino",118,6,2018-07-05,19.6666666666667
"The Wombats",118,1,2020-09-08,118
"MKTO",117,1,2020-03-29,117
"David Kushner",115,1,2022-01-31,115
"Marc E. Bassy",115,4,2020-06-26,28.75
"Mt. Joy",114,13,2021-03-25,8.76923076923077
"JACKBOYS",111,1,2020-02-12,111
"Tion Wayne",111,2,2021-05-03,55.5
"DJ Khaled",110,4,2019-08-04,27.5
"Grant Schaffer",110,6,2020-05-20,18.3333333333333
"Steve Aoki",110,5,2020-08-09,22
"Nic D",109,4,2022-02-01,27.25
"Axwell /\ Ingrosso",107,1,2017-09-11,107
"blackbear",104,6,2019-05-11,17.3333333333333
"THE SCOTTS",103,1,2020-04-24,103
"YUNGBLUD",102,1,2022-09-06,102
"Metro Boomin",99,17,2018-11-07,5.82352941176471
"Clinton Kane",97,5,2020-10-09,19.4
"GAMPER & DADONI",97,1,2021-06-20,97
"Miguel",97,4,2019-11-14,24.25
"Pop Smoke",97,7,2020-06-12,13.8571428571429
"Roddy Ricch",97,1,2020-01-24,97
"Far East Movement",96,2,2020-04-04,48
"Juicy J",96,1,2018-10-13,96
"Maren Morris",96,1,2020-05-09,96
"Forrest.",92,4,2020-06-26,23
"Sam Feldt",92,2,2020-02-26,46
"Tee Grizzley",92,1,2019-09-21,92
"Billie Eilish",91,9,2019-04-10,10.1111111111111
"Tai Verdes",91,7,2021-02-07,13
"88-Keys",90,1,2019-06-22,90
"Bryce Fox",90,1,2017-09-28,90
"Peter CottonTale",88,1,2019-07-07,88
"Lauv",86,2,2019-11-18,43
"Panic! At The Disco",86,3,2018-07-17,28.6666666666667
"Abhi The Nomad",83,2,2021-11-22,41.5
"Gorillaz",83,2,2022-03-12,41.5
"The Mowgli's",83,4,2022-08-10,20.75
"Jay Rock",82,1,2018-05-06,82
"Loud Luxury",82,2,2019-06-22,41
"Martin Solveig",82,3,2019-10-11,27.3333333333333
"Phillip Phillips",82,3,2019-07-18,27.3333333333333
"Tory Lanez",82,11,2020-06-26,7.45454545454545
