"Artist","Plays","Songs","First Listen","Plays Per Song"
"The Police",122,5,"2019-01-22",24.4
"Vince Staples",122,15,"2017-07-08",8.13333333333333
"Aretha Franklin",121,118,"2020-06-15",1.02542372881356
"Dreamville",116,8,"2019-07-21",14.5
"Rihanna",116,16,"2016-04-19",7.25
"2 Chainz",114,9,"2017-05-18",12.6666666666667
"Owl City",114,4,"2019-06-21",28.5
"Yung Gravy",114,25,"2018-02-19",4.56
"A.R. Rahman",112,7,"2018-12-12",16
"Bas",111,2,"2019-08-06",55.5
"Chance the Rapper",111,10,"2017-06-21",11.1
"Jay Rock",111,7,"2018-01-30",15.8571428571429
"Internet Money",110,6,"2019-11-02",18.3333333333333
"Kodak Black",110,8,"2017-09-08",13.75
"The Wanted",110,1,"2017-09-18",110
"Machine Gun Kelly",106,10,"2017-10-06",10.6
"Selena Gomez",106,4,"2017-11-29",26.5
"Big Sean",105,14,"2016-04-20",7.5
"Huncho Jack",105,11,"2018-01-26",9.54545454545454
"Black Eyed Peas",103,5,"2017-05-28",20.6
"GoldLink",103,3,"2017-09-01",34.3333333333333
"Halsey",103,4,"2017-06-14",25.75
"KYLE",102,6,"2017-03-27",17
"Hippo Campus",101,28,"2021-02-11",3.60714285714286
"Osibih",101,5,"2019-09-20",20.2
"Usher",100,10,"2017-09-05",10
"Journey",99,15,"2017-09-22",6.6
"Majid Jordan",99,4,"2017-09-08",24.75
"Veorra",99,6,"2020-09-20",16.5
"Major Lazer",97,3,"2016-04-28",32.3333333333333
"The Jackson 5",97,3,"2018-12-27",32.3333333333333
"David Bowie",96,25,"2019-01-17",3.84
"Hailee Steinfeld",96,3,"2016-04-27",32
"MGMT",96,4,"2021-02-11",24
"Weezer",95,5,"2020-01-15",19
"Dizaro",94,1,"2018-09-14",94
"Larry June",93,22,"2022-05-24",4.22727272727273
"YNW Melly",93,6,"2019-05-25",15.5
"Arizona Zervas",92,1,"2019-11-01",92
"ILOVEMAKONNEN",91,2,"2017-11-22",45.5
"CHASE B",90,2,"2020-10-13",45
"DNCE",90,2,"2018-03-20",45
"Aerosmith",87,2,"2017-10-16",43.5
"Bon Jovi",86,6,"2017-10-09",14.3333333333333
"John Newman",85,2,"2019-05-28",42.5
"Shakira",85,5,"2016-04-27",17
"Rae Sremmurd",84,7,"2018-06-02",12
"YG",83,13,"2018-02-15",6.38461538461539
"The Who",82,43,"2018-08-04",1.90697674418605
"Traffic",82,35,"2021-03-11",2.34285714285714
"Aliotta Haynes Jeremiah",81,1,"2019-01-22",81
"Skrillex",81,3,"2016-04-23",27
"Blaccmass",79,25,"2020-11-26",3.16
"Bryce Hase",79,1,"2019-11-15",79
"Taylor Swift",79,29,"2017-06-11",2.72413793103448
"Arctic Monkeys",78,13,"2018-03-20",6
"French Montana",78,3,"2017-07-03",26
"whiterosemoxie",78,24,"2020-08-02",3.25
"Ansel Elgort",77,1,"2018-01-08",77
"Saint Motel",76,3,"2021-02-15",25.3333333333333
"42 Dugg",75,7,"2021-05-21",10.7142857142857
"Briston Maroney",75,2,"2021-02-11",37.5
"Camila Cabello",75,5,"2017-08-15",15
"Daryl Hall & John Oates",75,4,"2020-05-16",18.75
"Masego",75,5,"2021-03-23",15
"The Beach Boys",75,9,"2018-11-09",8.33333333333333
"Shankar Mahadevan",74,3,"2019-04-23",24.6666666666667
"Jhene Aiko",73,5,"2018-07-16",14.6
"Tee Grizzley",72,8,"2017-05-20",9
"Jeremih",71,5,"2016-04-21",14.2
"Nicki Minaj",71,11,"2017-05-30",6.45454545454545
"24kGoldn",69,11,"2019-12-11",6.27272727272727
"MKTO",69,6,"2020-10-04",11.5
"Amine",68,9,"2017-10-23",7.55555555555556
"Martin Garrix",68,5,"2018-07-11",13.6
"Ty Dolla $ign",68,12,"2017-08-15",5.66666666666667
"Ed Sheeran",66,5,"2017-03-31",13.2
"Quinn XCII",65,11,"2018-09-20",5.90909090909091
"Tom Petty and the Heartbreakers",65,28,"2019-09-10",2.32142857142857
"Kirko Bangz",64,1,"2017-12-09",64
"Aries",63,12,"2021-03-03",5.25
"Far East Movement",63,2,"2019-05-18",31.5
"Adele",62,4,"2017-09-07",15.5
"Capital Cities",62,2,"2016-04-27",31
"Marvin Gaye",62,19,"2019-07-20",3.26315789473684
"Jonas Blue",61,2,"2016-04-28",30.5
"NLE Choppa",61,6,"2019-09-30",10.1666666666667
"Wallows",61,9,"2021-07-28",6.77777777777778
"Zedd",61,5,"2016-05-01",12.2
"6LACK",60,12,"2018-03-27",5
"The Chainsmokers",60,11,"2016-04-28",5.45454545454545
"The Temptations",60,5,"2019-03-23",12
"Crystal Fighters",59,2,"2020-03-30",29.5
"Doja Cat",58,3,"2020-02-03",19.3333333333333
"Eric Bellinger",58,3,"2016-04-21",19.3333333333333
"Panic! At The Disco",58,5,"2019-10-14",11.6
"Rich The Kid",58,4,"2018-01-18",14.5
"Estelle",56,1,"2020-11-13",56
"Kris Wu",56,1,"2017-10-25",56
"Portugal. The Man",56,3,"2017-11-02",18.6666666666667
"BabyJake",55,1,"2021-02-11",55
"Mr. Probz",55,2,"2019-05-14",27.5
"Ms. Lauryn Hill",55,4,"2022-05-12",13.75
"NF",55,8,"2017-11-12",6.875
"Absofacto",54,1,"2019-10-20",54
"Bantu",54,1,"2019-09-20",54
"Don Omar",54,1,"2021-02-21",54
"Jimi Hendrix",54,30,"2020-08-13",1.8
"boy pablo",54,4,"2019-01-23",13.5
"One Direction",53,6,"2017-06-16",8.83333333333333
"Twenty One Pilots",53,3,"2019-09-23",17.6666666666667
"Offset",52,4,"2017-11-28",13
"Gucci Mane",51,10,"2017-08-28",5.1
"Pink Floyd",51,6,"2018-08-19",8.5
"Shaan",51,2,"2019-04-23",25.5
"A$AP Ferg",50,8,"2017-11-12",6.25
"NxWorries",50,2,"2021-03-14",25
"Sheck Wes",50,1,"2018-08-17",50
"The Doobie Brothers",50,1,"2020-08-04",50
"Wham!",50,2,"2019-01-15",25
"Young Money",50,2,"2017-07-21",25
"Jaden",49,8,"2018-01-07",6.125
"ZAYN",49,2,"2017-03-27",24.5
"Flo Rida",48,9,"2016-04-23",5.33333333333333
"Jon Bellion",48,2,"2016-04-24",24
"Noisestorm",48,1,"2019-08-23",48
"Ryan Trey",48,2,"2020-01-02",24
"Trey Songz",48,3,"2017-06-09",16
"B.o.B",47,5,"2020-08-29",9.4
"Bob Seger",47,3,"2020-03-06",15.6666666666667
"The Mamas & The Papas",47,3,"2020-11-14",15.6666666666667
"The Neighbourhood",47,8,"2019-01-24",5.875
"Dua Lipa",46,4,"2020-02-18",11.5
"Iyaz",46,1,"2018-02-09",46
"M83",46,1,"2021-02-15",46
"Neon Trees",46,3,"2021-03-15",15.3333333333333
"Outkast",46,6,"2020-06-09",7.66666666666667
"Wiz Khalifa",46,9,"2016-04-20",5.11111111111111
"A$AP Mob",45,6,"2021-03-22",7.5
"Beyonce",45,6,"2017-09-22",7.5
"Giveon",45,8,"2020-11-22",5.625
"Milky Chance",45,4,"2021-06-23",11.25
"Russ",45,7,"2017-11-28",6.42857142857143
"Thin Lizzy",45,17,"2019-10-25",2.64705882352941
"benny blanco",45,2,"2019-06-21",22.5
"Daniel Caesar",44,12,"2018-08-28",3.66666666666667
"GROUPLOVE",44,6,"2021-02-11",7.33333333333333
"Galantis",44,2,"2021-02-15",22
"Mac DeMarco",44,1,"2021-07-28",44
"Van Morrison",44,1,"2021-03-14",44
"Deraj",43,1,"2018-07-31",43
"Gotye",42,1,"2020-08-17",42
"P-Lo",42,3,"2019-04-07",14
"Redbone",42,3,"2018-12-29",14
"The Lemonheads",42,2,"2019-08-30",21
"Tiesto",42,2,"2018-07-12",21
"Eurythmics",41,2,"2018-02-15",20.5
"Dayglow",40,6,"2021-02-11",6.66666666666667
"Guns N' Roses",40,2,"2017-10-15",20
"Jethro Tull",40,23,"2020-03-04",1.73913043478261
"RL Grime",40,1,"2020-04-04",40
"BROCKHAMPTON",39,8,"2018-02-20",4.875
"BabyTron",39,14,"2022-06-16",2.78571428571429
"Dominic Fike",39,9,"2020-05-02",4.33333333333333
"Macklemore",39,1,"2017-10-07",39
"NoMBe",39,2,"2019-08-05",19.5
"Twista",39,2,"2019-09-06",19.5
"Famous Dex",38,2,"2018-01-24",19
"Kiiara",38,9,"2016-04-18",4.22222222222222
"Old Man Canyon",38,1,"2018-01-07",38
"Shawn Mendes",38,8,"2017-08-12",4.75
"The Script",38,2,"2017-05-16",19
"Ben Platt",37,2,"2019-03-31",18.5
"Imagine Dragons",37,5,"2017-10-09",7.4
"Lil Yachty",37,13,"2018-03-09",2.84615384615385
"BlocBoy JB",36,1,"2018-02-25",36
"Labh Janjua",36,2,"2020-02-27",18
"Young Stoner Life",36,11,"2021-04-16",3.27272727272727
